username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Alenochka1085;2017-05-19 16:32;0;0;"@inaraakchurina @persugola @classisintrnl @aviapres @Kadopelka https:// twitter.com/firnbach_shane /status/865597453004718080 …";;@inaraakchurina @persugola @classisintrnl @aviapres @Kadopelka;;"865605973087404032";https://twitter.com/Alenochka1085/status/865605973087404032;
aleks1122as;2016-10-16 02:48;0;0;"" На", блять ну сколько можно?!";;;;"787485294543110148";https://twitter.com/aleks1122as/status/787485294543110148;aviapres
Kuzik33;2016-10-11 14:11;0;0;"Если не секрет что они там делали?";;;;"785845386741186560";https://twitter.com/Kuzik33/status/785845386741186560;aviapres
Magomed7474;2016-09-20 09:46;0;0;"Сотрудники таможни в аэропорту "Шереметьево" станут первыми обладателями iPhone 7 в России.";;;;"778168466171949056";https://twitter.com/Magomed7474/status/778168466171949056;aviapres
pavel_vehov;2016-09-19 00:02;0;0;"pic.twitter.com/yViE1ha56X";;;;"777659108338102272";https://twitter.com/pavel_vehov/status/777659108338102272;aviapres
brateckrolik2;2016-07-19 04:19;0;0;"@aviapres @VictoriaSologub от японцев ?";;@aviapres @VictoriaSologub;;"755255596446867456";https://twitter.com/brateckrolik2/status/755255596446867456;STORM1623
brateckrolik2;2016-07-19 04:11;1;0;"@VictoriaSologub 4 вагона снарядов ! на Сахалине ! Куда их везли ?!";;@VictoriaSologub;;"755253693952487426";https://twitter.com/brateckrolik2/status/755253693952487426;aviapres
RNazarich;2016-07-18 04:51;0;0;"Две детей????";;;;"754901345287766021";https://twitter.com/RNazarich/status/754901345287766021;aviapres
antiigorechek72;2016-05-17 11:07;0;0;"нашим элитами не перекрывают дела на западе,взамен-кудрины во власти";;;;"732528006309281792";https://twitter.com/antiigorechek72/status/732528006309281792;aviapres
Ded_Maxaj;2016-05-09 05:53;0;1;"@aviapres @Dasssha2010 @BCEX_HET Теперь догадываетесь, где художник взял идею "макового клеща"? pic.twitter.com/bgqKyYarMA";;@aviapres @Dasssha2010 @BCEX_HET;;"729549852548464641";https://twitter.com/Ded_Maxaj/status/729549852548464641;aviapres
ak09113;2016-05-09 00:27;0;0;"@aviapres Только,что,снял с себя.Припёрся сволочь с собакой!Порвал,как Тузик грелку!";;@aviapres;;"729467855423582210";https://twitter.com/ak09113/status/729467855423582210;aviapres
sacha2606;2016-04-07 03:54;0;0;"@aviapres а ведь у него была возможность покончить с этим гей клубом";;@aviapres;;"717923591447138304";https://twitter.com/sacha2606/status/717923591447138304;aviapres
azanovamarina;2016-04-02 08:40;0;0;"@aviapres ой, а кто это мог сделать то?";;@aviapres;;"716183519207272448";https://twitter.com/azanovamarina/status/716183519207272448;aviapres
quaker1886;2016-03-16 19:33;0;0;"@aviapres хоть не пытали?)";;@aviapres;;"710187247560216578";https://twitter.com/quaker1886/status/710187247560216578;aviapres
azanovamarina;2016-03-13 17:58;0;0;"@aviapres масленницу неудачно подожгли?";;@aviapres;;"709076142339260417";https://twitter.com/azanovamarina/status/709076142339260417;aviapres
azanovamarina;2016-03-04 15:59;0;0;"@aviapres клиент всегда прав";;@aviapres;;"705784709457059840";https://twitter.com/azanovamarina/status/705784709457059840;aviapres
azanovamarina;2016-02-11 18:35;0;0;"@aviapres наши люди самые лучшие!";;@aviapres;;"697851474525757440";https://twitter.com/azanovamarina/status/697851474525757440;aviapres
