username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
kerriCJ;2017-07-27 02:10;0;0;"@camosaseko Hi! You watching #Catfish too?";;@camosaseko;#Catfish;"890393898123759616";https://twitter.com/kerriCJ/status/890393898123759616;
Marklfc10Mark;2017-07-07 14:22;0;0;"I'm guessing those are his boys in the picture with him!! God bless them";;;;"883330422649872386";https://twitter.com/Marklfc10Mark/status/883330422649872386;Chauntre_S,tariqnasheed,camosaseko
Marklfc10Mark;2017-07-07 14:20;0;4;"Another good man taken!!";;;;"883329998966468609";https://twitter.com/Marklfc10Mark/status/883329998966468609;Chauntre_S,tariqnasheed,camosaseko
Chauntre_S;2017-07-07 13:23;0;3;"He was a good man";;;;"883315555037532161";https://twitter.com/Chauntre_S/status/883315555037532161;Marklfc10Mark,tariqnasheed,camosaseko
Marklfc10Mark;2017-07-07 13:08;0;7;"Thanks brother!! All I see is another unarmed black male dead at the hands of a white police officer.";;;;"883311808026738688";https://twitter.com/Marklfc10Mark/status/883311808026738688;Chauntre_S,tariqnasheed,camosaseko
Chauntre_S;2017-07-07 12:43;2;4;"http:// penpointnews.com/officer-involv ed-shooting-evangeline-parish-alleged-suspect-dead-scene/ …";;;;"883305585441210369";https://twitter.com/Chauntre_S/status/883305585441210369;Marklfc10Mark,tariqnasheed,camosaseko
Marklfc10Mark;2017-07-07 12:36;0;1;"I'm confused who is meant to of shot him and why?";;;;"883303698675486720";https://twitter.com/Marklfc10Mark/status/883303698675486720;tariqnasheed,camosaseko
maxhillier;2017-04-19 07:41;1;1;"My View! http:// paper.li.ln.is/krPLt @KDavidSmithAuth @RhapsodyInAzure @camosaseko #entrepreneur #liberalsunite";;@KDavidSmithAuth @RhapsodyInAzure @camosaseko;#entrepreneur #liberalsunite;"854600748449005568";https://twitter.com/maxhillier/status/854600748449005568;
Nyota_nuru;2017-03-29 15:58;3;1;"pic.twitter.com/FKWxUD8oGj";;;;"847115825274327041";https://twitter.com/Nyota_nuru/status/847115825274327041;nook71715,camosaseko
nook71715;2017-03-29 15:54;2;3;"They kill blacks without any hesitations. No consequences behind there actions. #DarriusStewart";;;#DarriusStewart;"847114680371957760";https://twitter.com/nook71715/status/847114680371957760;Nyota_nuru,camosaseko,ILoveMyWife0007
Nyota_nuru;2017-03-29 15:31;3;2;"@camosaseko @ILoveMyWife0007 meanwhile #BLM Black people are still be gunned down police...justice not served!!!";;@camosaseko @ILoveMyWife0007;#BLM;"847109027167420417";https://twitter.com/Nyota_nuru/status/847109027167420417;nook71715
AmericaDuped;2017-03-02 22:11;0;0;"@camosaseko Enjoy your life and don't interfere in mine that is the Tea Party slogan";;@camosaseko;;"837425067915010048";https://twitter.com/AmericaDuped/status/837425067915010048;
denvernight;2017-03-02 16:09;0;0;"@camosaseko You have NO issues with Hillary lying to Congress? #PresidentTrump DID NOT lie to Congress, neither did Sessions!";;@camosaseko;#PresidentTrump;"837334079968280576";https://twitter.com/denvernight/status/837334079968280576;speechboy71
AntwynetteH;2017-02-10 03:22;0;0;"@camosaseko Thank you for helping spread my story.";;@camosaseko;;"829893325842948097";https://twitter.com/AntwynetteH/status/829893325842948097;
ladytecniq;2017-02-02 20:43;0;0;"Thanks for the recent follow @brandynkaine_ @mudmo @camosaseko ! Happy to connect :) have a great Thursday. https:// commun.it/thank-you/?aid =thankyou134 …";;@brandynkaine_ @mudmo @camosaseko;;"827256066656268290";https://twitter.com/ladytecniq/status/827256066656268290;
