username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
cassidynoah1;2017-09-29 16:58;0;1;"$ cassishere https:// twitter.com/GOAT_vicc/stat us/913788942356549638 …";;;;"913810151932661760";https://twitter.com/cassidynoah1/status/913810151932661760;
CASuperrunner;2017-04-27 20:49;0;0;"A++++++++";;;;"857698249246769152";https://twitter.com/CASuperrunner/status/857698249246769152;theblaze,cassishere
KHBudig;2017-04-16 11:46;0;1;"The latest The MaddMedic Daily! http:// paper.li/KHBudig/131703 7563?edition_id=483c2a60-229a-11e7-a929-002590a5ba2d … Thanks to @LUVofCountry @UFPnews @cassishere #maga #ccw";;@LUVofCountry @UFPnews @cassishere;#maga #ccw;"853575246804340736";https://twitter.com/KHBudig/status/853575246804340736;
KHBudig;2017-04-12 11:46;0;0;"The latest The MaddMedic Daily! http:// paper.li/KHBudig/131703 7563?edition_id=9e69d4a0-1f75-11e7-a929-002590a5ba2d … Thanks to @Jerry3741 @cassishere @sallytca #maga #tcot";;@Jerry3741 @cassishere @sallytca;#maga #tcot;"852125688299651073";https://twitter.com/KHBudig/status/852125688299651073;
hangthebankers;2017-04-12 07:40;0;0;"Accidentally let the truth out.";;;;"852063771900215296";https://twitter.com/hangthebankers/status/852063771900215296;charlotta615,cassishere
TwBaran;2017-04-11 19:36;0;0;"@CecileRichards @HillaryClinton @PPact more like murderer of the century. #ProLife #abortionismurder";;@CecileRichards @HillaryClinton @PPact;#ProLife #abortionismurder;"851881588191309824";https://twitter.com/TwBaran/status/851881588191309824;theblaze,cassishere
KHBudig;2017-04-07 11:46;1;2;"The latest The MaddMedic Daily! http:// paper.li/KHBudig/131703 7563?edition_id=caff3fb0-1b87-11e7-a929-002590a5ba2d … Thanks to @cassishere @chuck0421 @cpcllc #themasters #guns";;@cassishere @chuck0421 @cpcllc;#themasters #guns;"850313757897183232";https://twitter.com/KHBudig/status/850313757897183232;
RichardReese3;2017-03-31 18:45;0;1;"This is right up there with "exposing" DT's tax returns.";;;;"847882630804766720";https://twitter.com/RichardReese3/status/847882630804766720;OccupyDemocrats,cassishere
doc_hite;2017-03-21 14:09;0;0;"@cassishere @josephcurl Comey said he couldn't discuss the investigation, not that there wasn't evidence. Come on";;@cassishere @josephcurl;;"844189109975441408";https://twitter.com/doc_hite/status/844189109975441408;realDailyWire
doc_hite;2017-03-15 14:02;0;0;"@cassishere @POTUS I thought smart people didn't pay taxes... but you paid a bunch of taxes... what gives?";;@cassishere @POTUS;;"842013255652544512";https://twitter.com/doc_hite/status/842013255652544512;TruthFrqncyNews
doc_hite;2017-03-10 20:08;0;0;"@cassishere too bad his website says how he exact opposite is true.";;@cassishere;;"840293244927897600";https://twitter.com/doc_hite/status/840293244927897600;TheIJR
foresthill63;2017-03-04 18:20;0;0;"@cassishere pic.twitter.com/dgDqaPlgiy";;@cassishere;;"838091869414359040";https://twitter.com/foresthill63/status/838091869414359040;DiscloseTV
KHBudig;2017-03-04 11:46;0;0;"The latest The MaddMedic Daily! http:// paper.li/KHBudig/131703 7563?edition_id=295f52c0-00d0-11e7-a776-002590a5ba2d … Thanks to @AlexaShrugged @cassishere @tunarose2 #tcot #maga";;@AlexaShrugged @cassishere @tunarose2;#tcot #maga;"837992574342336513";https://twitter.com/KHBudig/status/837992574342336513;
doc_hite;2017-02-20 00:19;0;0;"@cassishere **shown not to be an issue without direct contact. Site labeled for future disposal.";;@cassishere;;"833471070581686276";https://twitter.com/doc_hite/status/833471070581686276;zerohedge
cboncal1972;2017-02-19 16:33;0;0;"not if they keep fighting him all the way, he needs to drain the swamp first";;;;"833353920730783744";https://twitter.com/cboncal1972/status/833353920730783744;BlastingNews,cassishere
foresthill63;2017-02-18 17:10;0;0;"@cassishere Wait .. that was a thing?";;@cassishere;;"833000632978178048";https://twitter.com/foresthill63/status/833000632978178048;worldnetdaily
foresthill63;2017-02-13 15:17;0;0;"@cassishere Whew! Thank God no one watches!";;@cassishere;;"831160361516670976";https://twitter.com/foresthill63/status/831160361516670976;DRUDGE_REPORT
CutestBabyInUSA;2017-02-13 14:07;0;0;"IF you are near here in California, THIS IS NOT A DRILL.";;;;"831142755694829573";https://twitter.com/CutestBabyInUSA/status/831142755694829573;DRUDGE_REPORT,cassishere
foresthill63;2017-02-02 20:58;0;0;"@cassishere @infowars I find it funny that they don't get the irony of calling everyone else a Fascist #ThisIsTheLeft";;@cassishere @infowars;#ThisIsTheLeft;"827259954411106304";https://twitter.com/foresthill63/status/827259954411106304;RealAlexJones
caplondon;2017-02-02 08:16;0;0;"@cassishere your photo has nothing to do with your article.";;@cassishere;;"827068279340593152";https://twitter.com/caplondon/status/827068279340593152;pakalert
smoke1playa;2017-02-01 08:18;0;1;"@cassishere if this is real it's great!";;@cassishere;;"826706353565614080";https://twitter.com/smoke1playa/status/826706353565614080;100PercFEDUP
james__ok;2017-01-31 20:11;0;0;"@cassishere I want one of those";;@cassishere;;"826523360247033856";https://twitter.com/james__ok/status/826523360247033856;CollectiveEvol
Ethelssoninlaw;2017-01-22 07:49;0;0;"@cassishere So?";;@cassishere;;"823075217387831296";https://twitter.com/Ethelssoninlaw/status/823075217387831296;hangthebankers
g_kraig;2017-01-15 19:11;0;0;"@cassishere That is true. What other president gave him a pass on a multimillion dollar tax debt?";;@cassishere;;"820709928939573248";https://twitter.com/g_kraig/status/820709928939573248;MSNBC
smoke1playa;2017-01-09 19:00;0;1;"California is trash. It's not even America anymore";;;;"818533032437039104";https://twitter.com/smoke1playa/status/818533032437039104;worldnetdaily,cassishere
