username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
TexBrussow;2017-10-22 05:32;0;0;"This guy is a real LOON!";;;;"921972497058336769";https://twitter.com/TexBrussow/status/921972497058336769;charmeesTRS
GatewayHef;2017-10-21 23:47;0;1;"Last time I saw a hat like that its owner was doing the two-step, at a Halloween party.";;;;"921885600449548288";https://twitter.com/GatewayHef/status/921885600449548288;charmeesTRS
shootist11263;2017-10-21 09:22;0;0;"She needs to SHUT THE HELL UP! SHE was with the one that was not releasing those supplies! There was A LOT of that stuff in the GARBAGE!";;;;"921668056262246400";https://twitter.com/shootist11263/status/921668056262246400;charmeesTRS
shootist11263;2017-10-21 09:18;0;0;"WHAAAT? Aw damn! <grabs chest and hits the floor> THUD maybe he was replaced by an alien? he's a clone? smh";;;;"921667049251799040";https://twitter.com/shootist11263/status/921667049251799040;charmeesTRS
YouCallWeHaul6;2017-10-20 17:19;0;1;"Her stupid appearance, that's ROCKING!";;;;"921425649788768256";https://twitter.com/YouCallWeHaul6/status/921425649788768256;charmeesTRS,go4gin
SandyHermannJ;2017-10-20 01:09;0;0;"Yes, because Traitor McCain probably got Kickbacks.";;;;"921181540360605696";https://twitter.com/SandyHermannJ/status/921181540360605696;charmeesTRS
old69bear55;2017-10-18 12:36;0;1;"";;;;"920629759465451520";https://twitter.com/old69bear55/status/920629759465451520;charmeesTRS,BrentPayne59
FauxNewsHound;2017-10-18 11:49;0;0;"Who in the hell would take advice from that mess?";;;;"920617820844683264";https://twitter.com/FauxNewsHound/status/920617820844683264;charmeesTRS
DuckUndertaker;2017-10-17 16:31;0;0;"I'm not from AZ, but if I was, I think I would be supporting a recall effort on this RINO asap!";;;;"920326449713725440";https://twitter.com/DuckUndertaker/status/920326449713725440;charmeesTRS
WalWe06101973;2017-10-17 14:17;0;0;"She should be in prison, insinuating a crime is a crime in it self";;;;"920292697394630657";https://twitter.com/WalWe06101973/status/920292697394630657;charmeesTRS
WalWe06101973;2017-10-17 14:16;0;0;"They should be sent to CaNaDa";;;;"920292376316448768";https://twitter.com/WalWe06101973/status/920292376316448768;charmeesTRS
WalWe06101973;2017-10-17 14:15;0;0;"Its a big ring of globalist, recruiting people using sexual abuse, the very bad people";;;;"920292205629202432";https://twitter.com/WalWe06101973/status/920292205629202432;charmeesTRS
WalWe06101973;2017-10-17 14:10;0;0;"Not just traitore, they r members of the Globalists Fifth Column in the USA";;;;"920290840643276800";https://twitter.com/WalWe06101973/status/920290840643276800;charmeesTRS
