username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
DeplorableNewt;2017-10-22 11:08;0;0;"Trump train has derailed globalist elitist plans";;;;"922057103484874752";https://twitter.com/DeplorableNewt/status/922057103484874752;chirrismogui
DeplorableNewt;2017-10-22 11:02;0;0;"Imagine my surprise.";;;;"922055523456909312";https://twitter.com/DeplorableNewt/status/922055523456909312;chirrismogui
jankennard;2017-10-20 22:43;0;0;"Everything that is wrong in America lays at obama's feet.";;;;"921507208684326914";https://twitter.com/jankennard/status/921507208684326914;chirrismogui
Kag2020Maga;2017-10-20 22:15;0;0;"She could have said "Bless Her Heart" that would be perfect!";;;;"921500173494349825";https://twitter.com/Kag2020Maga/status/921500173494349825;chirrismogui
Eliz_Hightower;2017-10-20 21:22;0;0;"Democrat voters are not lazy, they’re waking up! pic.twitter.com/kJqsAx3aMq";;;;"921486897033117696";https://twitter.com/Eliz_Hightower/status/921486897033117696;chirrismogui
quippingalong;2017-10-20 04:17;0;0;"#CCOT That is going to take a long time and a lot of work. Shd start w CA, then NM, AZ, TX, CO, NY. A lot of work.";;;#CCOT;"921228881671024640";https://twitter.com/quippingalong/status/921228881671024640;chirrismogui
ErwinKaren;2017-10-19 02:31;0;0;"No one deserves it more than her";;;;"920839669465612288";https://twitter.com/ErwinKaren/status/920839669465612288;chirrismogui
mike_datlof;2017-10-19 01:23;0;0;"Get behind Dr Kelli Ward and vote Flake OUT!!";;;;"920822780190392320";https://twitter.com/mike_datlof/status/920822780190392320;chirrismogui
ParkerSheri912;2017-10-18 01:32;0;0;"Lol that won't happen. It's the only team in the NFL that us community owned. Private citizens won't put up with him hurting their $$";;;;"920462490630344704";https://twitter.com/ParkerSheri912/status/920462490630344704;chirrismogui,StoshAuf
tamaraj59082888;2017-10-18 01:27;0;0;"FBI has proof of @HillaryClinton sold Uranium and made deals with Russia as secretary of State and received over 100 million dollars in Clinton Foundation from Russia. Gave Russia control over our Uranium. Watch @seanhannity NOW..That is real Russia collusion. #POTUS";;@HillaryClinton @seanhannity;#POTUS;"920461413860200449";https://twitter.com/tamaraj59082888/status/920461413860200449;chirrismogui
antiGOPaganda;2017-10-18 01:27;0;0;". #snakenews for #MAGAlomaniacs pic.twitter.com/cfso6qKiX0";;;#snakenews #MAGAlomaniacs;"920461240245325824";https://twitter.com/antiGOPaganda/status/920461240245325824;chirrismogui
rafshmatko;2017-10-17 18:59;0;0;"@chirrismogui https:// twitter.com/rafshmatko/sta tus/722102947052658689 …";;@chirrismogui;;"920363738154315776";https://twitter.com/rafshmatko/status/920363738154315776;
Danjay56;2017-10-17 18:09;0;0;""The Man in the Moon" 1991 Robert Mulligan was the director, died in 2008 Starring with Sam Waterston & Tess Harper Someone HAD to know...";;;;"920350950967033857";https://twitter.com/Danjay56/status/920350950967033857;chirrismogui
ArchieJustice;2017-10-17 12:58;0;0;"Trokl";;;;"920272908886343680";https://twitter.com/ArchieJustice/status/920272908886343680;chirrismogui
rodgov57;2017-10-17 12:34;0;0;"Sad, that people want to divide our country.";;;;"920266802155925507";https://twitter.com/rodgov57/status/920266802155925507;chirrismogui
cares_matic;2017-10-16 22:05;1;1;"She has no shame at all.. never has .. queen of Arkancide";;;;"920048071295229952";https://twitter.com/cares_matic/status/920048071295229952;chirrismogui,PaineLana
AnaCha333;2017-10-16 21:56;0;0;"Is she going to continue with the blame game until she died? In that case I hope is soon cuz amm tired of that shit";;;;"920045837891158018";https://twitter.com/AnaCha333/status/920045837891158018;chirrismogui,lillys_news
PaineLana;2017-10-16 19:38;0;0;"Sadiq gave her a tip!";;;;"920011175437520896";https://twitter.com/PaineLana/status/920011175437520896;chirrismogui,RRamjet3rd
Madwook2016;2017-10-16 17:07;0;0;"Everybody but herself. This is fascinating. She is truly narcissistically a megalomaniac. Keep it coming Hillary.";;;;"919973163059908609";https://twitter.com/Madwook2016/status/919973163059908609;chirrismogui
libzhaznone;2017-10-16 03:18;0;0;"He’s probably a pedo";;;;"919764515939586048";https://twitter.com/libzhaznone/status/919764515939586048;chirrismogui
TheIconBobbyD;2017-10-16 03:08;0;0;"Little 5ft.6 inch Bob DeNiro startin to really think hes a Gangster from his movies, he couldnt beat where I been";;;;"919761878049542145";https://twitter.com/TheIconBobbyD/status/919761878049542145;chirrismogui,lovingmykids65
ChasinLightning;2017-10-16 00:51;0;0;"Yes! A good old thunder punch to the throat is definitely MOST APPROPRIATE! .";;;;"919727408479199232";https://twitter.com/ChasinLightning/status/919727408479199232;WildBill_inTN,chirrismogui
OnlyInColorado;2017-10-16 00:50;0;0;"#WhatADick";;;#WhatADick;"919727192648462336";https://twitter.com/OnlyInColorado/status/919727192648462336;chirrismogui
RodriguezBertie;2017-10-15 22:14;0;0;"That's interesting Satanists display the cross upside down";;;;"919687940418269184";https://twitter.com/RodriguezBertie/status/919687940418269184;chirrismogui
n_4_d_5;2017-10-15 17:25;0;0;"He had it made, a ridiculously dry unfunny show that has been on for years with a large fan base of lemmings. ..ya should have stayed silent";;;;"919615314597425153";https://twitter.com/n_4_d_5/status/919615314597425153;chirrismogui
fredflin200;2017-10-14 22:19;0;0;"The guy doesn't need treatment he needs to be locked up. Why isn't he in jail?";;;;"919326740509483008";https://twitter.com/fredflin200/status/919326740509483008;chirrismogui
lolang1111;2017-10-13 02:12;0;0;"Seth who??!!!!!!";;;;"918660560950120450";https://twitter.com/lolang1111/status/918660560950120450;chirrismogui
DeplorableNewt;2017-10-13 01:34;0;0;"Made that choice loooong before Trump became our POTUS! How does talentless Meyers even keep his show?";;;;"918651152568381440";https://twitter.com/DeplorableNewt/status/918651152568381440;chirrismogui
