username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
cassius_a;2017-11-01 20:42;0;0;"This is not a fool-proof methodology. One username is " cookiiieeessss ." But still: the appearance of "black" in these usernames is striking.";;;;"925825432657842176";https://twitter.com/cassius_a/status/925825432657842176;
jajab1nxz;2017-10-28 06:24;0;0;"Sweeet kaayoooooooooo ang cookiiieeessss";;;;"924159799788318720";https://twitter.com/jajab1nxz/status/924159799788318720;
katiekb718;2017-10-21 04:46;0;1;"CRACK COOKIIIEEESSSS";;;;"921598486491090945";https://twitter.com/katiekb718/status/921598486491090945;chris_stroh,Ghost_of_Hood,AliceStroh
_keciisputot;2017-09-26 12:05;0;0;"COOKIIIEEESSSS";;;;"912649233307623426";https://twitter.com/_keciisputot/status/912649233307623426;
Death_Dark_Lord;2017-04-20 21:31;0;2;"Les saints cookies sont à moiiiiii ! COOKIIIEEESSSS !!!";;;;"855172214165057536";https://twitter.com/Death_Dark_Lord/status/855172214165057536;Narcis_Black,Dobby_ElfeLibre,voldemort_le_bg
blicqer;2017-01-21 15:50;0;0;"#SaturdayMotivation Thank you @USAjobs2017 @cookiiieeessss @cathylsLOVE for being TOP engaged community members this week!";;@USAjobs2017 @cookiiieeessss @cathylsLOVE;#SaturdayMotivation;"822833686714400768";https://twitter.com/blicqer/status/822833686714400768;
blicqer;2017-01-14 17:50;1;1;"#SaturdayMotivation Thank you @cookiiieeessss @DGuei @MrGreenLeaf100 for being TOP engaged community members this week!";;@cookiiieeessss @DGuei @MrGreenLeaf100;#SaturdayMotivation;"820327176826486785";https://twitter.com/blicqer/status/820327176826486785;
HeardAndrew;2016-09-14 11:59;0;0;"#thanks @cookiiieeessss thanks for the recent follow. Much appreciated :) >> Want this ? https:// commun.it/get-more-follo wers/?aid=thankyou112 …";;@cookiiieeessss;#thanks;"776027640863924225";https://twitter.com/HeardAndrew/status/776027640863924225;
RobinEdgar;2016-09-14 00:46;0;0;"* @k_stallworth93 @cookiiieeessss Good question, but you might want to ask "Look at this definition of white supremacy." #words #definitions";;@k_stallworth93 @cookiiieeessss;#words #definitions;"775858227032522752";https://twitter.com/RobinEdgar/status/775858227032522752;KSS_93
IAmJLuvDaPrince;2016-09-09 03:41;0;0;"Thanks for following me, @acejinev @FinnaGlo @cookiiieeessss @ZzzacharyZzz @CliftonHughes_ . Let's connect soon! via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@acejinev @FinnaGlo @cookiiieeessss @ZzzacharyZzz @CliftonHughes_;;"774090284124639232";https://twitter.com/IAmJLuvDaPrince/status/774090284124639232;
mrjprds;2016-09-08 13:53;0;0;"cookiiieeessss";;;;"773881881104220160";https://twitter.com/mrjprds/status/773881881104220160;
TheDonaldsDolls;2016-09-08 13:19;0;0;"@cookiiieeessss hey cutie! As a white old lady....if kind of HOT! Smooches, thanks for follow! D LL";;@cookiiieeessss;;"773873273851346944";https://twitter.com/TheDonaldsDolls/status/773873273851346944;
MrNegroMilitant;2016-08-31 13:53;0;0;"@cookiiieeessss #VoteGreenIn2016 #VeteransForKaepernick ʂɧʘʋʈʘʋʈ #SteinBaraka #PalestineYemenSyria";;@cookiiieeessss;#VoteGreenIn2016 #VeteransForKaepernick #SteinBaraka #PalestineYemenSyria;"770982909092036608";https://twitter.com/MrNegroMilitant/status/770982909092036608;
4Huskrs;2016-08-31 13:06;0;0;"@cookiiieeessss Thanks For Follow";;@cookiiieeessss;;"770970908970192897";https://twitter.com/4Huskrs/status/770970908970192897;
gilbertjimenez2;2016-08-24 04:07;0;0;"Thanks for the recent follow @cookiiieeessss @acejinev Happy to connect :) have a great Wednesday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@cookiiieeessss @acejinev;;"768298644722200578";https://twitter.com/gilbertjimenez2/status/768298644722200578;
allrightjoeO;2016-08-15 11:09;0;0;"@cookiiieeessss thanks for the follow, love cookies!!!";;@cookiiieeessss;;"765143268313206784";https://twitter.com/allrightjoeO/status/765143268313206784;
hugsnkissz3;2016-08-12 08:30;0;0;"@cookiiieeessss Thanks for the follow";;@cookiiieeessss;;"764016198434467841";https://twitter.com/hugsnkissz3/status/764016198434467841;
Enlighten__Up;2016-07-31 19:08;0;2;"Thanks for the recent follow @cookiiieeessss @DatWiseNigga @SerenSketches Happy to connect :) have a great Sunday.";;@cookiiieeessss @DatWiseNigga @SerenSketches;;"759828003362709504";https://twitter.com/Enlighten__Up/status/759828003362709504;
larshurst;2016-07-27 18:14;0;0;"Thanks for the recent follow @cookiiieeessss @Daphne_Howell Happy to connect :) have a great Wednesday.";;@cookiiieeessss @Daphne_Howell;;"758365007948034048";https://twitter.com/larshurst/status/758365007948034048;
KingDad42;2016-06-26 06:08;0;0;"That feel when @froudsigmund @jefazyfytog @acejinev @cookiiieeessss @FinnaGlo @barboilwz and @NotasMedicina all unfollow you. :(";;@froudsigmund @jefazyfytog @acejinev @cookiiieeessss @FinnaGlo @barboilwz @NotasMedicina;;"746948180814659584";https://twitter.com/KingDad42/status/746948180814659584;
Aldonjor;2016-06-25 19:13;0;0;"Thanks for the recent follow @cookiiieeessss @Kanchez254 @QuoneBoy Happy to connect :) have a great Saturday. >> http:// bit.ly/_want_this_free";;@cookiiieeessss @Kanchez254 @QuoneBoy;;"746783333816774656";https://twitter.com/Aldonjor/status/746783333816774656;
IamDJacox;2016-06-25 14:20;1;1;"@cookiiieeessss only in Amerikkka #smdh";;@cookiiieeessss;#smdh;"746709728298958848";https://twitter.com/IamDJacox/status/746709728298958848;EBONYMag
rizzo7_;2016-06-19 05:44;0;0;"yes, cookiiieeessss";;;;"744405423524982785";https://twitter.com/rizzo7_/status/744405423524982785;
