username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
michaelquery1;2017-08-17 22:21;0;1;"Trump pay us to protest..";;;;"898308794165338112";https://twitter.com/michaelquery1/status/898308794165338112;deborrth
CmithJohn;2017-08-16 06:35;0;0;"a watup @deborrth leme halatchhu one min.. one time I wrote a rap wit da name deborah ... haha";;@deborrth;;"897708466961362950";https://twitter.com/CmithJohn/status/897708466961362950;
brewster1961;2017-08-15 20:40;2;0;"We must PRESERVE our CONFEDERATE HISTORY. Most of the HATE people don't even know why they HATE. Should be taught in school like when I went";;;;"897558561294884864";https://twitter.com/brewster1961/status/897558561294884864;deborrth
Rick19647;2017-08-13 02:11;0;0;"These folks no nothing about the issue! Jumping to conclusions when they need to jump off a cliff!";;;;"896554665160179712";https://twitter.com/Rick19647/status/896554665160179712;deborrth
Rick19647;2017-08-13 01:09;0;0;"F Hillary! Wrong again!";;;;"896539210643107844";https://twitter.com/Rick19647/status/896539210643107844;deborrth
royalbeautysecr;2017-08-11 11:28;0;0;"Since when can a Minority Party call the shots????";;;;"895970147827101700";https://twitter.com/royalbeautysecr/status/895970147827101700;deborrth
DeborahDaly55;2017-08-10 12:17;0;0;"I thank God everyday this vile woman lost the election.";;;;"895620043903569920";https://twitter.com/DeborahDaly55/status/895620043903569920;deborrth
BruzzoJohn;2017-08-05 13:25;0;0;"That's Our President. Patriotic and unapologetic.";;;;"893825278602076161";https://twitter.com/BruzzoJohn/status/893825278602076161;deborrth
ChoudryAb;2017-08-05 11:41;0;0;"Oooo sooo sad";;;;"893799025513836544";https://twitter.com/ChoudryAb/status/893799025513836544;deborrth
Red_Kanoe;2017-08-04 01:35;0;0;"too funny";;;;"893284148609142784";https://twitter.com/Red_Kanoe/status/893284148609142784;deborrth
noseall;2017-08-02 20:39;0;0;"@deborrth Hi, I posted my answer (75% of it) for ??? waving Americans on Facebook (Google it). I fit the pieces About Trump & Anti-Christ. pic.twitter.com/LGk43Cd8E7";;@deborrth;;"892847247821479936";https://twitter.com/noseall/status/892847247821479936;
FlyOverCntryWon;2017-08-02 13:06;0;0;"From 1924-1964 we did stop all legal immigration into the U.S in order for the people already here to assimilate.";;;;"892733384883134464";https://twitter.com/FlyOverCntryWon/status/892733384883134464;deborrth
mizzknowitalltv;2017-07-31 23:46;0;0;"@deborrth thanks for the follow";;@deborrth;;"892169520512720897";https://twitter.com/mizzknowitalltv/status/892169520512720897;
babysgramma;2017-07-31 17:23;0;2;"Who are these people asking, that they get such results? They're not asking me or I would set them straight quick! #MAGA";;;#MAGA;"892073304613433346";https://twitter.com/babysgramma/status/892073304613433346;deborrth
jwk_789;2017-07-31 17:16;2;3;"Congress is losing their base.....MSM has none to lose";;;;"892071399753265152";https://twitter.com/jwk_789/status/892071399753265152;deborrth,CrotzerJudy
kgo2017;2017-07-31 03:30;0;0;"@deborrth https:// twitter.com/stan_silas/sta tus/891473162101288960 …";;@deborrth;;"891863555460517888";https://twitter.com/kgo2017/status/891863555460517888;CONNORFORTRUMP,ConnorPaddy
MattJ87220412;2017-07-31 00:17;0;0;"What a whining little snot.";;;;"891814945951686657";https://twitter.com/MattJ87220412/status/891814945951686657;deborrth
Kiera4America;2017-07-30 19:32;0;0;"@BeeSuzan @Madamadalina91 @dragonladydc @al3rdbase @MikE_LLLLLL @TrevorMFranklin @deborrth @mobilescheaper via http:// unfollowspy.com";;@BeeSuzan @Madamadalina91 @dragonladydc @al3rdbase @MikE_LLLLLL @TrevorMFranklin @deborrth @mobilescheaper;;"891743414433193984";https://twitter.com/Kiera4America/status/891743414433193984;
sippybites;2017-07-30 17:52;0;2;"Thanks for the recent follow @deborrth @My__Thai @PalTerror ! Happy to connect :) have a great this week";;@deborrth @My__Thai @PalTerror;;"891718244402429952";https://twitter.com/sippybites/status/891718244402429952;
burrbunch;2017-07-30 10:18;0;0;"#welcometweet @deborrth thank you 4 following I follow back as long as u r not safespace liberal via https:// Statusbrew.com";;@deborrth;#welcometweet;"891603951820443648";https://twitter.com/burrbunch/status/891603951820443648;
travelinthrucal;2017-07-30 07:51;0;0;"Hi @deborrth Thank you for the follow. Loved your page & couldn't stop reading it. Can't wait for more. Jacqui";;@deborrth;;"891566931593003010";https://twitter.com/travelinthrucal/status/891566931593003010;
truth_american;2017-07-29 12:06;0;0;"@trickxie fellow tweeters if you don't follow >>>> @deborrth follow her she puts out great stuff.";;@trickxie @deborrth;;"891268570692321280";https://twitter.com/truth_american/status/891268570692321280;
noonefoxfan;2017-07-28 14:36;1;1;"Yeah and the decision not to prosecute Hillary came from _______ Fill in the blank. Should be easy to figure out.";;;;"890943933664112640";https://twitter.com/noonefoxfan/status/890943933664112640;deborrth,LaOkieKat
Fifon19;2017-07-28 12:53;0;0;"Hello";;;;"890918224753303553";https://twitter.com/Fifon19/status/890918224753303553;deborrth
DeborahDaly55;2017-07-28 10:22;0;0;"I don't think this will go well for her and that makes me smile";;;;"890880090669699073";https://twitter.com/DeborahDaly55/status/890880090669699073;deborrth
IPro709;2017-07-27 18:13;0;0;". @loudobbs @seanhannity #Trump 's ALTERED photo. Thumbs down for #DIEHL";;@loudobbs @seanhannity;#Trump #DIEHL;"890636334301200384";https://twitter.com/IPro709/status/890636334301200384;deborrth
jskrepak;2017-07-27 17:20;0;0;"Geesh. he looks terrible!";;;;"890623032342990848";https://twitter.com/jskrepak/status/890623032342990848;deborrth
albertbbbalbert;2017-07-27 13:03;0;0;"@deborrth Thanks for the follow.";;@deborrth;;"890558376555556867";https://twitter.com/albertbbbalbert/status/890558376555556867;
kay_kingsbury;2017-07-27 12:18;0;0;"Murkowski is a RINO, not surprising, a tratior, too";;;;"890546902038716416";https://twitter.com/kay_kingsbury/status/890546902038716416;deborrth
kay_kingsbury;2017-07-27 12:11;0;0;"So, "W's" ethics lawyer doesn't appreciate Kellyanne's disdain for the Globalists. Tough. I'm w/her.";;;;"890545165517148160";https://twitter.com/kay_kingsbury/status/890545165517148160;deborrth
rajesh50443;2017-07-27 10:47;0;0;"@deborrth you have unbeatable beauty. Cute";;@deborrth;;"890524009011462145";https://twitter.com/rajesh50443/status/890524009011462145;
