username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Rus2013F;2017-08-06 09:16;1;0;"Позволил бы себе президент такой отдых, будь он простым пенсионером))";;;;"894124902583808000";https://twitter.com/Rus2013F/status/894124902583808000;kriwin,geomakss123
kriwin;2017-08-06 09:11;2;1;"Цена такого отдыха дороже чем заграницей Простые Русские люди не могут себе позволить отдыхать в России Абсурдно но Факт !";;;;"894123878137683968";https://twitter.com/kriwin/status/894123878137683968;geomakss123
alekskos33;2017-07-16 14:53;0;0;"Запад в борьбе с Россией готов и черта поддержать";;;;"886599749809438721";https://twitter.com/alekskos33/status/886599749809438721;geomakss123
Stasman13;2017-04-20 15:02;0;0;"Только идиоты озабоченные могут назвать эти фото порно....";;;;"855074085881217025";https://twitter.com/Stasman13/status/855074085881217025;geomakss123
quitratex91;2017-03-27 16:26;0;0;"Лента нарушений. Подпишись @grigorievms Прошу ретвит AzimLegend KSUusmanova geomakss123 bayramovvidadi JohnDzjurakh https:// twitter.com/grigorievms/st atus/840647079760429057 …";;@grigorievms;;"846398109995323392";https://twitter.com/quitratex91/status/846398109995323392;
Stasman13;2017-03-14 18:19;0;0;"Обороноспособность?...А на нас нападают?";;;;"841715374286635009";https://twitter.com/Stasman13/status/841715374286635009;geomakss123
Stasman13;2017-01-22 10:11;0;0;"Самый умный?...";;;;"823110734678753281";https://twitter.com/Stasman13/status/823110734678753281;geomakss123
1971Aksukdima;2016-12-28 08:51;0;0;"Может, сама связала ... )";;;;"814031000183472128";https://twitter.com/1971Aksukdima/status/814031000183472128;geomakss123
1971Aksukdima;2016-12-07 08:37;0;0;"Водка не только вредна, но и полезна. )";;;;"806417300781985792";https://twitter.com/1971Aksukdima/status/806417300781985792;geomakss123
Leha797;2016-12-05 12:08;0;0;"pic.twitter.com/9Q9LcBmNJC";;;;"805745687350693888";https://twitter.com/Leha797/status/805745687350693888;geomakss123
kriwin;2016-10-28 16:44;0;0;"слава Богу что всё закончилось нормально Ну проблемы в обществе есть пока не ряфнешь Не за шевелится";;;;"792044349831995397";https://twitter.com/kriwin/status/792044349831995397;kriwin,geomakss123,LiveJournal
kriwin;2016-10-28 16:28;1;0;"цинизм и равнодушия общества России к себе любимым";;;;"792040271391457282";https://twitter.com/kriwin/status/792040271391457282;geomakss123,LiveJournal
UmkaVS;2016-09-13 10:05;0;0;"а все МПК.... там твари сидят в отличии от МОКа";;;;"775636602995572736";https://twitter.com/UmkaVS/status/775636602995572736;geomakss123
vectornn;2016-09-11 11:21;0;0;"@LiveJournal pic.twitter.com/6iDstuVGNB";;@LiveJournal;;"774930742338019328";https://twitter.com/vectornn/status/774930742338019328;geomakss123
Stasman13;2016-09-07 18:04;0;0;"что бы устроить,надо туда еще попасть!";;;;"773582684723503104";https://twitter.com/Stasman13/status/773582684723503104;geomakss123
Leha797;2016-07-25 17:34;0;0;"за чей счет банкет фейерверков у нас такой pic.twitter.com/nx6dlRdlOq";;;;"757630124443443202";https://twitter.com/Leha797/status/757630124443443202;geomakss123
seleznevadarya3;2016-06-01 07:19;0;0;"@geomakss123 http:// missbelt14.junjeopssu.ru";;@geomakss123;;"737906477923479553";https://twitter.com/seleznevadarya3/status/737906477923479553;
shuraRogozhnik;2016-05-25 13:30;0;0;"@geomakss123 Поздравляю вас! 140 лет переводу Библии РПЦ 1100 просмотров https:// yadi.sk/i/he6E-wbSoZE9e";;@geomakss123;;"735463061440581632";https://twitter.com/shuraRogozhnik/status/735463061440581632;
Leha797;2016-05-10 20:42;0;0;"@geomakss123 не ей надо тату перекрыть не красиво";;@geomakss123;;"730135890736119808";https://twitter.com/Leha797/status/730135890736119808;geomakss123
1inga;2016-05-07 07:47;1;0;"@geomakss123 @dochura2003 Да уж питерские зарплаты просто диву даются московским.";;@geomakss123 @dochura2003;;"728853860694003712";https://twitter.com/1inga/status/728853860694003712;geomakss123
Capricor__Maria;2016-04-24 13:59;0;0;"@geomakss123 Как же так....а напоить пёсика не додумались(((((";;@geomakss123;;"724236263650385921";https://twitter.com/Capricor__Maria/status/724236263650385921;geomakss123
Petrovichmos;2016-04-12 12:42;0;0;"@geomakss123 @RusskiiMuromec Помнит.Любит.Гордится. pic.twitter.com/vj78I5ddtN";;@geomakss123 @RusskiiMuromec;;"719868186037002244";https://twitter.com/Petrovichmos/status/719868186037002244;geomakss123
advardstupino;2016-03-12 07:53;3;3;"Классных выходных) @Iz_Vishnewsk @vladislaveb @yshenkovibdgolu @geomakss123 @Sarmatspeaks pic.twitter.com/Yqhnu4e97H";;@Iz_Vishnewsk @vladislaveb @yshenkovibdgolu @geomakss123 @Sarmatspeaks;;"708561642066415616";https://twitter.com/advardstupino/status/708561642066415616;
RogoznikovS;2016-03-06 05:53;1;0;"@geomakss123 Жизнь и смерть - рай и ад: всегда на земле рядом ходят! А золотая серидина - это басни сатанистов, что бы большенство,ушло в ад";;@geomakss123;;"706357137891565568";https://twitter.com/RogoznikovS/status/706357137891565568;geomakss123
Rus2013F;2016-03-04 22:16;0;0;"Thanks for the recent follow @geomakss123 @NUk4tlgCw47RKsR Happy to connect :) have a great Friday. Sent Free by http:// bit.ly/get_free_tweet";;@geomakss123 @NUk4tlgCw47RKsR;;"705879624027213825";https://twitter.com/Rus2013F/status/705879624027213825;
CzaroBoy;2016-03-04 16:56;0;0;"Привет Спасибо,что читаешь меня. https:// twitter.com/kravts_1121 Читай мою вторую страницу @geomakss123 @moonbdeals via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@geomakss123 @moonbdeals;;"705799048679129088";https://twitter.com/CzaroBoy/status/705799048679129088;
49Bogdanov;2016-03-04 09:38;0;0;"@geomakss123 Привет. Просто сейчас убегаю. А надо в архиве порыть - есть фото у плотины на Охте, тебе понравится!!! Заходи в паблик !!! ВК.";;@geomakss123;;"705688758520250368";https://twitter.com/49Bogdanov/status/705688758520250368;geomakss123
49Bogdanov;2016-03-04 09:29;1;0;"@geomakss123 Привет. Добавил и здесь и в ЖЖ. Есть пара интересных фоток с места твоего юношества,но сейчас не найти. И просто классный ЖЖ";;@geomakss123;;"705686558448418816";https://twitter.com/49Bogdanov/status/705686558448418816;
LyudCool;2016-03-04 09:28;0;0;"@geomakss123 Вот ПРИДУРКИ! Так самих себя унижать, причем, добровольно!";;@geomakss123;;"705686462977675264";https://twitter.com/LyudCool/status/705686462977675264;geomakss123
Gemneye4real;2016-02-07 17:50;1;2;"@geomakss123 FWD: RT: ET: "Den Wah!" on YouTube https:// youtu.be/KFFvUbbTZ44 *NEW ON ITUNES! http:// itunes.apple.com/us/album/den-w … *GET IT TODAY!";;@geomakss123;;"696390603194679297";https://twitter.com/Gemneye4real/status/696390603194679297;
luciddreamsus;2016-01-27 16:55;0;0;"@geomakss123 Супер пупер гениальный";;@geomakss123;;"692390607436779520";https://twitter.com/luciddreamsus/status/692390607436779520;geomakss123
luciddreamsus;2016-01-27 16:52;0;0;"@geomakss123 вообще столько лет а ума нет !";;@geomakss123;;"692389701836238848";https://twitter.com/luciddreamsus/status/692389701836238848;geomakss123
luciddreamsus;2016-01-27 16:44;0;0;"@geomakss123 почему ты твиттишь недогодноту в ленту своим фолловерам а тем более какие то новости всего один вопрос ты оборзел ?";;@geomakss123;;"692387689509814272";https://twitter.com/luciddreamsus/status/692387689509814272;
o_KROWN_o;2016-01-23 12:09;0;0;"@geomakss123 няяяя";;@geomakss123;;"690868886946844673";https://twitter.com/o_KROWN_o/status/690868886946844673;
Pindostan_Debt;2016-01-11 15:15;0;0;"@geomakss123 Сейчас я составляю 1 432 292 249 034 391 руб.";;@geomakss123;;"686567006619963392";https://twitter.com/Pindostan_Debt/status/686567006619963392;geomakss123
