username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
mrscoachwitt;2017-09-12 18:15;0;0;"Unofficially after 9: Olivia 51, Morgan 53, Gracie 55 .";;;;"907668948409360384";https://twitter.com/mrscoachwitt/status/907668948409360384;
itz_gracie55;2017-09-03 22:38;0;0;"True";;;;"904473615646826496";https://twitter.com/itz_gracie55/status/904473615646826496;colesprouse
itz_gracie55;2017-08-10 05:54;0;0;"Same";;;;"895523820144078848";https://twitter.com/itz_gracie55/status/895523820144078848;lilireinhart
itz_gracie55;2017-07-29 13:59;0;1;"Same";;;;"891297196301324288";https://twitter.com/itz_gracie55/status/891297196301324288;cherylbthoughts
allison_sadler2;2017-03-19 13:49;0;2;"@gracie_55 @noah_anderson19 https:// twitter.com/commonwhitegrl s/status/843293118153801728 …";;@gracie_55 @noah_anderson19;;"843459399125422080";https://twitter.com/allison_sadler2/status/843459399125422080;
BrionaSlaton;2017-03-14 00:00;0;1;"Can college come sooner so I can get out of here and hangout with @gracie_55 everyday";;@gracie_55;;"841438881299996672";https://twitter.com/BrionaSlaton/status/841438881299996672;
rypowallday;2017-03-10 20:20;0;2;"@gracie_55 ??? https:// twitter.com/causewereguys/ status/840255990926839812 …";;@gracie_55;;"840296337841278977";https://twitter.com/rypowallday/status/840296337841278977;
mk0524;2017-02-21 04:27;0;4;"Great job tonight @gracie_55 https:// twitter.com/m4sportsphoto/ status/833872471640010752 …";;@gracie_55;;"833895851139424257";https://twitter.com/mk0524/status/833895851139424257;
Citizen_Ross;2017-02-01 21:36;0;1;". @AleciaWestbrook , @gracie_55 shine as @PHS_GBasketball stuns No. 4-ranked Hickman to open NKC Invitational http://www. plattecountycitizen.com/theplattecount ycitizen/park-hill-south-girls-stun-top-seed-in-opening-round-of-nkc-invitational122017 …";;@AleciaWestbrook @gracie_55 @PHS_GBasketball;;"826907043386781699";https://twitter.com/Citizen_Ross/status/826907043386781699;
tartansinatra;2017-01-27 05:07;1;0;"@graciewoodrow Yes Gracie, 55 % of Scots voted to stay in U.K. and 75% voted to stay in EU. Leaving EU forces a question on our union #bbcqt";;@graciewoodrow;#bbcqt;"824846220279427073";https://twitter.com/tartansinatra/status/824846220279427073;
_boosieJ;2016-12-17 23:49;0;1;"thanks G";;;;"810270804462235648";https://twitter.com/_boosieJ/status/810270804462235648;5grace_c,gracie_55
kateischens;2016-11-29 00:36;0;1;"thanks babe can't wait to ball out this yr";;;;"803397305428754434";https://twitter.com/kateischens/status/803397305428754434;5grace_c,gracie_55
JustineHemaya;2016-11-24 17:26;0;1;"love you so much!!! thank u";;;;"801839440121434112";https://twitter.com/JustineHemaya/status/801839440121434112;5grace_c,gracie_55
santellanbailey;2016-11-03 01:27;0;1;"awww thanks g cun love you boo thang";;;;"793987954645401600";https://twitter.com/santellanbailey/status/793987954645401600;5grace_c,gracie_55
Citizen_Ross;2016-08-17 01:39;1;0;"South golf: @gracie_55 , Nitzel hoping to join Steczak as state qualifiers this season http://www. plattecountycitizen.com/theplattecount ycitizen/south-golf-looking-to-return-steczak-to-state-with-company1382016 …";;@gracie_55;;"765724726870192128";https://twitter.com/Citizen_Ross/status/765724726870192128;
stylehaulsteph;2016-07-12 03:14;0;0;"I know!! I knew you would love! She's gracie55 you need to check her out she is adorable! And another Lauren megafan!!";;;;"752702590014492672";https://twitter.com/stylehaulsteph/status/752702590014492672;laurenxgodwin
PieperIzabella;2016-06-22 14:05;0;1;"@gracie_55";;@gracie_55;;"745618620399509507";https://twitter.com/PieperIzabella/status/745618620399509507;FreddyAmazin
PieperIzabella;2016-06-10 04:35;0;2;"avi @gracie_55";;@gracie_55;;"741126648574119937";https://twitter.com/PieperIzabella/status/741126648574119937;Real_SpencD
Real_SpencD;2016-05-23 04:23;0;6;"check out the new avi ft @gracie_55";;@gracie_55;;"734600620884267008";https://twitter.com/Real_SpencD/status/734600620884267008;
hey_shay97;2016-04-20 21:47;0;1;"@gracie_55 I love u nugget";;@gracie_55;;"722904523472134147";https://twitter.com/hey_shay97/status/722904523472134147;5grace_c
TallentNicole;2016-04-06 04:08;0;0;"@TurntAlien @TheFitGoals @gracie_55";;@TurntAlien @TheFitGoals @gracie_55;;"717564558240530432";https://twitter.com/TallentNicole/status/717564558240530432;TurntAlien
_boosieJ;2016-03-24 01:04;0;1;"Happy birthday 2 @gracie_55 !! Have a wonderful night";;@gracie_55;;"712807234418253824";https://twitter.com/_boosieJ/status/712807234418253824;
DillonThomas_11;2016-03-24 00:58;0;4;"@kaitlyn_roos @gracie_55 everything ain't about you girl.";;@kaitlyn_roos @gracie_55;;"712805878710161409";https://twitter.com/DillonThomas_11/status/712805878710161409;kaitlyn_roos
ChasePutnam16;2016-03-24 00:34;0;2;"Happy birthday angel @gracie_55";;@gracie_55;;"712799667180822528";https://twitter.com/ChasePutnam16/status/712799667180822528;
SophEdmunds;2016-03-24 00:01;0;0;"Happy birthday gorgeous! @gracie_55";;@gracie_55;;"712791381886918657";https://twitter.com/SophEdmunds/status/712791381886918657;
DillonThomas_11;2016-03-23 23:31;1;9;"Happy birthday to the one and only @gracie_55 #NeverForget pic.twitter.com/lcBpsZ0oej";;@gracie_55;#NeverForget;"712783795015946240";https://twitter.com/DillonThomas_11/status/712783795015946240;
Jessica_Ecton5;2016-03-23 22:52;0;1;"Happy Birthday sweet girl! @gracie_55";;@gracie_55;;"712774131989815301";https://twitter.com/Jessica_Ecton5/status/712774131989815301;
EmilyDitto;2016-03-23 20:11;0;3;"hb graciela @gracie_55 !! pic.twitter.com/h0OdgX4lA2";;@gracie_55;;"712733529746984960";https://twitter.com/EmilyDitto/status/712733529746984960;
grant_ray_;2016-03-23 18:31;0;1;"@gracie_55 Happy Birthday!!!!!";;@gracie_55;;"712708342221680640";https://twitter.com/grant_ray_/status/712708342221680640;
_cfishy;2016-03-23 14:31;0;2;"Happy bday Gracie u ain't shit @gracie_55 https:// twitter.com/feeley_kelly/s tatus/712647392487559168 …";;@gracie_55;;"712647880704528384";https://twitter.com/_cfishy/status/712647880704528384;
feeley_kelly;2016-03-23 14:29;0;4;"happy birthday @gracie_55 !!! love u and ur hot pink sports bras ;) have a great day!! pic.twitter.com/QzttmrGymV";;@gracie_55;;"712647392487559168";https://twitter.com/feeley_kelly/status/712647392487559168;
miller_maisie;2016-03-23 14:25;0;2;"Happy birthday to this crazy girl, I hope you have the best day love you boo @gracie_55 pic.twitter.com/0PGUkQ8c6U";;@gracie_55;;"712646438451159041";https://twitter.com/miller_maisie/status/712646438451159041;
matt_hempel;2016-03-17 01:21;0;2;"@gracie_55 I hear you're a defensive juggernaut. Congrats!";;@gracie_55;;"710274944110755840";https://twitter.com/matt_hempel/status/710274944110755840;5grace_c
Citizen_Ross;2016-03-04 01:00;0;3;"PH South starters are @MayleighOder @gracie_55 @raquellynnreid @AleciaWestbrook @AshtonGray10";;@MayleighOder @gracie_55 @raquellynnreid @AleciaWestbrook @AshtonGray10;;"705558424445194240";https://twitter.com/Citizen_Ross/status/705558424445194240;
northland_bryce;2016-03-01 00:25;1;1;". @gracie_55 with 10 points in the fourth quarter to help Park Hill South pull away and set up a Thursday matchup with St. Joseph Central.";;@gracie_55;;"704462605780439040";https://twitter.com/northland_bryce/status/704462605780439040;
PieperIzabella;2016-02-19 21:30;0;2;"[Valentine] @PieperIzabella 's Valentine should be @gracie_55 ! Who should be yours? via http:// affinitweet.com / pic.twitter.com/7gynrsu08E";;@PieperIzabella @gracie_55;;"700794486042050561";https://twitter.com/PieperIzabella/status/700794486042050561;
northland_bryce;2016-02-13 00:11;0;0;". @gracie_55 hits a 3 of her own to give Park Hill South the lead back. Timeout Trojans";;@gracie_55;;"698298296339533824";https://twitter.com/northland_bryce/status/698298296339533824;
isabelladunn20;2016-02-08 01:06;0;0;"hey go to younow at Gracie55";;;;"696500359343312896";https://twitter.com/isabelladunn20/status/696500359343312896;
JustineHemaya;2016-01-31 01:58;0;2;"@JustineHemaya ( . )( . ) @gracie_55 !!!!";;@JustineHemaya @gracie_55;;"693614173498920960";https://twitter.com/JustineHemaya/status/693614173498920960;JustineHemaya
MayleighOder;2016-01-29 02:20;0;9;"@donnashahbazi @kateischens @raquellynnreid @gracie_55 @AshtonGray10 @leahbooth24 S/O TO RAGE CAGE #donna";;@donnashahbazi @kateischens @raquellynnreid @gracie_55 @AshtonGray10 @leahbooth24;#donna;"692895131205173248";https://twitter.com/MayleighOder/status/692895131205173248;donnashahbazi
