username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
deborah_garland;2017-10-26 17:38;1;1;"Andrew was playing it cool with Gwen . That's how guys get into trouble. #MUSTLOVEFASHION $1.99 http:// amzn.to/2ftngYL pic.twitter.com/LL4xsuqIqx";;;#MUSTLOVEFASHION;"923604852483264512";https://twitter.com/deborah_garland/status/923604852483264512;
nicholaisays;2017-10-23 23:52;0;0;"Because chasing Gwen Verdon’s career was too obscure, Renée Zellweger will secure her gay legacy by playing Judy Garland instead.";;;;"922611723575668736";https://twitter.com/nicholaisays/status/922611723575668736;
JCBwellUS;2017-10-17 20:57;0;3;"Had Gorsuch had any professionalism he'd have publically declined his nomination in lieu of consideration of Garland 's nomination.";;;;"920393261021384705";https://twitter.com/JCBwellUS/status/920393261021384705;JCrongeyer,TrueFactsStated
rigel2020;2017-10-17 02:29;1;6;"nope. she won by a FRIGGIN Landslide.23% to be exact.check out @saill 's data & compare it to garland 's data and my data and @EachVoteSacred";;@saill @EachVoteSacred;;"920114447800086529";https://twitter.com/rigel2020/status/920114447800086529;oldreal1,old_real
deborah_garland;2017-09-07 16:35;2;3;"Follow the sparkling fuse as Gwen brings to life a sexy devil who just happens to wear Prada #MUSTLOVEFASHION http:// amzn.to/2xoqXDk pic.twitter.com/63jCDNhU5T";;;#MUSTLOVEFASHION;"905831944499421186";https://twitter.com/deborah_garland/status/905831944499421186;
JWilck;2017-08-07 13:52;0;0;"Gwen and Andrew are just the beginning: A Darling Cove Novel #MUSTLOVEFASHION #Romance @deborah_ garland http:// amzn.to/2ucgF7m";;@deborah_;#MUSTLOVEFASHION #Romance;"894556868785393665";https://twitter.com/JWilck/status/894556868785393665;
CSRizzoli23;2017-06-21 20:33;0;1;"The garland looks lovely Gwen ! Brilliantly done x";;;;"877625445063286784";https://twitter.com/CSRizzoli23/status/877625445063286784;catherinerusse2,galaxygwen
tammy778;2017-06-21 20:31;0;0;"Very pretty and elegant How about a picture of you CR in the garland ? Only if Gwen doesn't mind of course? #Midsummer";;;#Midsummer;"877625146193846275";https://twitter.com/tammy778/status/877625146193846275;catherinerusse2,galaxygwen
yozick_daniel;2017-06-19 13:40;0;0;"marvel-dc-art:Rocket Raccoon & Groot #9 - “Gone With the Gwen ’d” (2016) color by Michael Garland https:// tmblr.co/Z2yWMv2MuI7G3";;;#9;"876796864254836736";https://twitter.com/yozick_daniel/status/876796864254836736;
liveloveVampire;2017-06-16 15:14;0;0;"Gwen thinks Deborah has the best Queens Garland Bushels around! http:// fb.me/8RImP8Jj0";;;;"875733449587302401";https://twitter.com/liveloveVampire/status/875733449587302401;
liveloveVampire;2017-06-15 14:29;0;0;"Gwen thinks Carole has the best Queens Garland Bushels around! http:// fb.me/1aoHmOYKO";;;;"875359611754209281";https://twitter.com/liveloveVampire/status/875359611754209281;
KimKDelRey;2017-06-09 17:50;0;1;"Thank you!! I always think of you when it comes to Judy garland , old Hollywood & gwen of course!";;;;"873235775269294080";https://twitter.com/KimKDelRey/status/873235775269294080;lamb83
LGarland_NOW;2017-06-04 08:25;0;0;""Katakan bahwa kau adalah anak dari Genevieve dan Ephraim Garland . Mereka akan langsung menanggapmu sebagai adek Gwen ." ―";;;;"871281678978658304";https://twitter.com/LGarland_NOW/status/871281678978658304;LGarland_NOW
liveloveVampire;2017-05-21 14:24;0;0;"Gwen thinks Fernanda has the best Queens Garland Bushels around! http:// fb.me/3RC7Qjrry";;;;"866298554968555520";https://twitter.com/liveloveVampire/status/866298554968555520;
liveloveVampire;2017-05-20 14:31;0;0;"Gwen thinks Fernanda has the best Queens Garland Bushels around! http:// fb.me/8sPS9BwRG";;;;"865937934951763968";https://twitter.com/liveloveVampire/status/865937934951763968;
