username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
piddonkadonk;2017-10-17 18:40;0;1;"She’s baaaackkkkk! Forced Henson cuddling is the name of the game! #HandsomeHenson #HannahBanana … https://www. instagram.com/p/BaXAmKqAaPG/";;;#HandsomeHenson #HannahBanana;"920358835503714305";https://twitter.com/piddonkadonk/status/920358835503714305;
DT_Loughborough;2017-08-29 10:55;8;10;"Handsome Henson is looking for his #foreverhome ! Once he gets to know you, he reveals a bubbly & bright personality http:// ow.ly/1xdh30eIKzw pic.twitter.com/LxF7O2kJoY";;;#foreverhome;"902484763252064256";https://twitter.com/DT_Loughborough/status/902484763252064256;
piddonkadonk;2017-07-23 21:37;0;0;"my boy Handsome Henson and I http:// ift.tt/2qVaQdA pic.twitter.com/IIWFJkntMz";;;;"889238081248874498";https://twitter.com/piddonkadonk/status/889238081248874498;
DT_Loughborough;2017-06-09 10:25;2;1;"Handsome Henson is looking for a home with adults only and no other pets https://www. dogstrust.org.uk/rehoming/dogs/ dog/filters/lou~~~~~n~/1132937/henson … pic.twitter.com/bPCpmH4ytm";;;;"873123788430352384";https://twitter.com/DT_Loughborough/status/873123788430352384;
DT_MANCHESTER;2016-12-10 15:06;5;8;"Handsome Henson enjoying a bite to eat #doggycupcake #adoptdontshop #dogstrustmanchester pic.twitter.com/eGbN0KbK5t";;;#doggycupcake #adoptdontshop #dogstrustmanchester;"807602456351936513";https://twitter.com/DT_MANCHESTER/status/807602456351936513;
AndrewJStone;2016-11-09 20:26;0;0;"Mood. #HandsomeHenson @Pearl Street - Boulder, Co https://www. instagram.com/p/BMmk4Hchgrn/";;@Pearl;#HandsomeHenson;"796448874151833600";https://twitter.com/AndrewJStone/status/796448874151833600;
FenwickCbury;2016-10-27 13:07;1;0;"@ted_baker ’s handsome HENSON suitcase is the perfect excuse to plan your next getaway. Available on the Lower Ground Floor. pic.twitter.com/zJJmER8j1c";;@ted_baker;;"791627259111104512";https://twitter.com/FenwickCbury/status/791627259111104512;
1stclasspetserv;2016-09-10 15:10;0;0;"Handsome Henson at Llys yr Fran today";;;;"774626085132701696";https://twitter.com/1stclasspetserv/status/774626085132701696;
MHPresents;2016-09-09 19:20;0;0;"that would be Henson. Like Jim. #HandsomeHenson";;;#HandsomeHenson;"774326664993968128";https://twitter.com/MHPresents/status/774326664993968128;CowpokeCorral
piddonkadonk;2016-09-02 04:21;0;0;"#TBT to when Henson got stuck under the couch #HandsomeHenson @Schneider HQ https://www. instagram.com/p/BJ1wYbnjNHQ/";;@Schneider;#TBT #HandsomeHenson;"771563634489040897";https://twitter.com/piddonkadonk/status/771563634489040897;
BartleyKamaal1;2016-07-28 01:44;0;0;"have some respect the man is dead";;;;"758478161424347137";https://twitter.com/BartleyKamaal1/status/758478161424347137;handsome_henson
emmyanne007;2016-05-31 12:15;1;1;"HAPPY BIRTHDAY HANDSOME @henson_era I love you!";;@henson_era;;"737618417440546817";https://twitter.com/emmyanne007/status/737618417440546817;
DT_MANCHESTER;2016-05-24 11:30;2;7;"#TongueOutTuesday from the very handsome Henson :) pic.twitter.com/ikvFKeslze";;;#TongueOutTuesday;"735070533990158336";https://twitter.com/DT_MANCHESTER/status/735070533990158336;
piddonkadonk;2016-04-24 21:30;0;0;"Half-brothers gotta SIT for those SNACKS! #HandsomeHenson #CaptainColt b_keber valharris8… https://www. instagram.com/p/BEmSB3BNH0g/";;;#HandsomeHenson #CaptainColt;"724349831288893441";https://twitter.com/piddonkadonk/status/724349831288893441;
piddonkadonk;2016-04-23 19:58;0;1;"Friday night backyard spring vibes. #smores #friends #HandsomeHenson #latergram @Schneider HQ https://www. instagram.com/p/BEjismHtH5P/";;@Schneider;#smores #friends #HandsomeHenson #latergram;"723964269105152000";https://twitter.com/piddonkadonk/status/723964269105152000;
ForgottenProf;2016-04-22 16:27;1;3;"#FF @morehouse64 @Dark_Red_Hair @jenna_il @Chairmnoomowmow @joe_nuzz @TrucksHorsesDog @stranahan @2AFightR @robviglione @handsome_henson";;@morehouse64 @Dark_Red_Hair @jenna_il @Chairmnoomowmow @joe_nuzz @TrucksHorsesDog @stranahan @2AFightR @robviglione @handsome_henson;#FF;"723548918026358784";https://twitter.com/ForgottenProf/status/723548918026358784;
1stclasspetserv;2016-04-13 16:08;0;0;"Handsome Henson";;;;"720282621079498752";https://twitter.com/1stclasspetserv/status/720282621079498752;
ForgottenProf;2016-04-08 16:45;2;1;"#FF @AmerPatriot1 @BeladonnaRogers @CalFreedomMom @Discoveringme40 @10thAmendment @FrankDCamp @JohnJwso @happkendrahappy @handsome_henson";;@AmerPatriot1 @BeladonnaRogers @CalFreedomMom @Discoveringme40 @10thAmendment @FrankDCamp @JohnJwso @happkendrahappy @handsome_henson;#FF;"718479787220541440";https://twitter.com/ForgottenProf/status/718479787220541440;
LastGoodNerve1;2016-04-08 15:55;1;2;"@Oyabun112 @handsome_henson @rodnebrakauldin @ReyMalar @fashiontrennd @AndreaDeMill @cw_spn #yourethebest #FF pic.twitter.com/bP1jwklBUg";;@Oyabun112 @handsome_henson @rodnebrakauldin @ReyMalar @fashiontrennd @AndreaDeMill @cw_spn;#yourethebest #FF;"718467432109711360";https://twitter.com/LastGoodNerve1/status/718467432109711360;
landsend99;2016-04-07 12:15;0;0;"@PatriotTweetz @handsome_henson they better stop stealing our votes people are getting MAD #MakeAmericaGreatAgain #VoteTrump2016";;@PatriotTweetz @handsome_henson;#MakeAmericaGreatAgain #VoteTrump2016;"718049465370849281";https://twitter.com/landsend99/status/718049465370849281;PatriotTweetz
RickBulow1974;2016-04-07 09:58;0;0;"@handsome_henson had to share this on my @RebelMouse . Thank you! http:// rbl.ms/1phgyom";;@handsome_henson @RebelMouse;;"718014990968610816";https://twitter.com/RickBulow1974/status/718014990968610816;handsome_henson
