username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
prakash24429779;2017-07-21 11:12;0;0;"Hi frd how are you and nice picture";;;;"888355933511860224";https://twitter.com/prakash24429779/status/888355933511860224;happkendrahappy,AmericanAlbert
LesFoster6;2017-05-04 03:10;0;1;"They could be cell mate's HTC foes for her rype";;;;"859968531873619969";https://twitter.com/LesFoster6/status/859968531873619969;JimKuther,happkendrahappy
TrentFuller7;2017-05-03 15:06;0;0;"Well those illegal and dead people voted don't help either.";;;;"859786192165916672";https://twitter.com/TrentFuller7/status/859786192165916672;cmdorsey,happkendrahappy
reFocusZone;2017-05-03 09:10;0;0;"#Canada : Socialist PM Trudeau will override court ruling on School CHOICE: http:// trib.al/R9c536L #cdnpoli #maga #ukip #ccot #tcot #tlot";;;#Canada #cdnpoli #maga #ukip #ccot #tcot #tlot;"859696537680703488";https://twitter.com/reFocusZone/status/859696537680703488;DailyCaller,happkendrahappy
RobHoey;2017-04-30 22:13;0;0;"@happkendrahappy you RT my blog but refuse to follow me. I've followed U several times. I don't get it";;@happkendrahappy;;"858806499308711936";https://twitter.com/RobHoey/status/858806499308711936;
Patriotancestry;2017-04-29 00:11;0;0;"Thanks for the retweets this week @servative @hyddrox @happkendrahappy much appreciated! Want this https:// commun.it/grow-your-foll owers?aid=thankyou144 …";;@servative @hyddrox @happkendrahappy;;"858111385238216704";https://twitter.com/Patriotancestry/status/858111385238216704;
rossw04;2017-04-28 10:52;0;0;"Lock them up for a long time";;;;"857910503267545088";https://twitter.com/rossw04/status/857910503267545088;securefreedom,happkendrahappy
RobHoey;2017-04-26 02:19;0;0;"You can keep your doctor. It was a video What, like with a cloth? You can keep your insurance";;;;"857056537449312258";https://twitter.com/RobHoey/status/857056537449312258;joncoopertweets,happkendrahappy
RobHoey;2017-04-26 02:16;0;0;"You must have evidence. I can't wait to see it.";;;;"857055672256663555";https://twitter.com/RobHoey/status/857055672256663555;joncoopertweets,happkendrahappy
kacie_kellfire;2017-04-24 05:02;0;1;"Omg I'm not sure which is more hilarious. Ninja wannabes trying to kill a sign or these comments.";;;;"856372720912785410";https://twitter.com/kacie_kellfire/status/856372720912785410;BevHillsAntifa,happkendrahappy
Diamondrosegrfx;2017-04-21 10:47;0;0;"@happkendrahappy @eeb1 @sassysassyred @FOXLA @FoxNewsOnIine @foxnewspolitics ~ Nothing new here... move along folks.";;@happkendrahappy @eeb1 @sassysassyred @FOXLA @FoxNewsOnIine @foxnewspolitics;;"855372365714395137";https://twitter.com/Diamondrosegrfx/status/855372365714395137;US_Army_Vet
rossw04;2017-04-17 17:04;0;0;"1";;;;"854017705426472965";https://twitter.com/rossw04/status/854017705426472965;Kamani1147,happkendrahappy
rossw04;2017-04-17 17:04;0;0;"With kids what they going to do when they run into a wall of MEN";;;;"854017622039572480";https://twitter.com/rossw04/status/854017622039572480;Kamani1147,happkendrahappy
MKSnelling1;2017-04-17 13:08;0;2;"It's not a safe place for unborn";;;;"853958270888890369";https://twitter.com/MKSnelling1/status/853958270888890369;RealJamesWoods,happkendrahappy
Rtbrown1221;2017-04-14 06:47;0;0;"@ShepNewsTeam is fake news dunno why he is still at Fox he just hurts their ratings";;@ShepNewsTeam;;"852775208742076417";https://twitter.com/Rtbrown1221/status/852775208742076417;luvGodncountry,happkendrahappy,yidwithlid
dmcgowen1776;2017-04-13 12:48;1;0;"His Admin swirled in scandal & botched everything it touched. He NEVER took responsibility. The Observer in Chief http:// soapbox1776.blogspot.com/2013/12/the-pr esident-who-likes-to-watch.html …";;;;"852503677147508736";https://twitter.com/dmcgowen1776/status/852503677147508736;cmdorsey,happkendrahappy
jimkeith1;2017-04-08 15:29;0;0;"That costs $$$ not going to happen! Partisan left wing talking points are manufactured for free!!";;;;"850732342213660673";https://twitter.com/jimkeith1/status/850732342213660673;greta,happkendrahappy
kacie_kellfire;2017-04-08 03:25;0;0;"@nikkihaley is kicking ass up there!!!";;@nikkihaley;;"850550042205270017";https://twitter.com/kacie_kellfire/status/850550042205270017;RBPundit,happkendrahappy
