username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
hereandthere_01;2017-08-11 22:26;0;0;"And I don't care who gives it to me.";;;;"896135807995478016";https://twitter.com/hereandthere_01/status/896135807995478016;hereandthere_01
hereandthere_01;2017-06-05 02:32;0;0;"At least I know I will be just fine inshallah";;;;"871555366353612800";https://twitter.com/hereandthere_01/status/871555366353612800;hereandthere_01
hereandthere_01;2017-05-12 00:14;0;0;"Yes rn I'm feeling sick because of that!";;;;"862823175268298752";https://twitter.com/hereandthere_01/status/862823175268298752;hereandthere_01
hereandthere_01;2017-05-12 00:13;0;0;"Refusing to do them with you, but agree to do them with others, literally.";;;;"862822888335867904";https://twitter.com/hereandthere_01/status/862822888335867904;hereandthere_01
hereandthere_01;2017-05-12 00:09;0;0;"List*";;;;"862821923381583874";https://twitter.com/hereandthere_01/status/862821923381583874;hereandthere_01
hereandthere_01;2017-05-12 00:08;0;0;"Fucking sick and tired of being sick and tired!!!!!!!!!!";;;;"862821821040799744";https://twitter.com/hereandthere_01/status/862821821040799744;hereandthere_01
hereandthere_01;2017-05-12 00:08;0;0;"When I am going to be just normal!!!!!";;;;"862821739226648576";https://twitter.com/hereandthere_01/status/862821739226648576;hereandthere_01
hereandthere_01;2017-05-12 00:08;0;0;"I get sick when I'm angry, hungry, sad, heart broken, nervous, hold my emotions in...and the lit goes on and on..";;;;"862821639830065152";https://twitter.com/hereandthere_01/status/862821639830065152;hereandthere_01
hereandthere_01;2017-05-05 21:10;0;0;"Because of the way you talk.";;;;"860602625225629698";https://twitter.com/hereandthere_01/status/860602625225629698;hereandthere_01
hereandthere_01;2017-04-23 19:38;0;0;"But it made me depressed the entire time I was watching it!!!";;;;"856230777553657856";https://twitter.com/hereandthere_01/status/856230777553657856;hereandthere_01
__hereandthere_;2017-03-21 12:42;0;1;"#YUMEGIWAGIRLFRIEND #Amelie #polly #goodonthereel";;;#YUMEGIWAGIRLFRIEND #Amelie #polly #goodonthereel;"844167269945028608";https://twitter.com/__hereandthere_/status/844167269945028608;__hereandthere_
__hereandthere_;2017-03-21 12:40;1;1;"#アカイロ #Haloat四畳半 #KAKASHI #グッドモーニングアメリカ #HEADLAMP #サヨナラの最終回 #YUTORISEDAI #abinitio #アオイハル #CHERRYNADE169 #SHES #ハルカミライ #theHowl";;;# #Haloat #KAKASHI # #HEADLAMP # #YUTORISEDAI #abinitio # #CHERRYNADE169 #SHES # #theHowl;"844166884748533760";https://twitter.com/__hereandthere_/status/844166884748533760;__hereandthere_
__hereandthere_;2017-03-21 12:33;0;2;"#said #上野大樹 #Cloque . #RhythmicToyWorld #AJISAI #MAGICOFLiFE #sumika #HOWLBEQUIET #アマリリス #Unblock #IvytoFraudulentGame #NOWEATHER #QLTONE";;;#said # #Cloque #RhythmicToyWorld #AJISAI #MAGICOFLiFE #sumika #HOWLBEQUIET # #Unblock #IvytoFraudulentGame #NOWEATHER #QLTONE;"844165068761714689";https://twitter.com/__hereandthere_/status/844165068761714689;__hereandthere_
s_101322;2017-03-21 11:59;0;1;"いえいえ、大丈夫です！また行けたら行きたいです！！たくさんの音楽に出会わせてくださりありがとうございました 全バンド、ライブは初見でとても刺激的でした。初めて曲を聴いたバンドに惚れてしまいCDを衝動買いしてしまいましたw楽しませていただきました！";;;;"844156465929629696";https://twitter.com/s_101322/status/844156465929629696;__hereandthere_
kotn31;2017-03-20 07:10;0;1;"けーちゃんで1枚お願いします";;;;"843721420219736065";https://twitter.com/kotn31/status/843721420219736065;__hereandthere_
kotn31;2017-03-20 07:07;0;0;"取り置きはまだ可能ですか？";;;;"843720712942583808";https://twitter.com/kotn31/status/843720712942583808;__hereandthere_
__hereandthere_;2017-03-20 01:43;1;2;"本日の公演もiPhoneなどでの動画、写真撮影を禁止とさせていただきます。公式でカメラマン( @Su_r7 )が入りますので、終演後アップする予定の写真を楽しみに、今日は、目の前の音を、見て、聴いて、感じて、楽しんでください◎";;@Su_r7;;"843639123374034945";https://twitter.com/__hereandthere_/status/843639123374034945;__hereandthere_
