username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
WallyPerko1;2016-05-28 20:46;0;0;"AMEN!";;;;"736659867771899906";https://twitter.com/WallyPerko1/status/736659867771899906;ignitedfirestar,SuperCzech01,rxpatriot46
WaqarHu29761278;2016-04-07 09:50;0;0;"@ignitedfirestar @kh_khofen very bad remark for your islam";;@ignitedfirestar @kh_khofen;;"718013091473002497";https://twitter.com/WaqarHu29761278/status/718013091473002497;ignitedfirestar
kidd_gaga1;2016-03-25 13:43;0;0;"@ignitedfirestar pic.twitter.com/CWKhvO1iZW";;@ignitedfirestar;;"713360647048851456";https://twitter.com/kidd_gaga1/status/713360647048851456;
fetishlani;2016-03-22 19:08;0;0;"@ignitedfirestar ferme ta gueule";;@ignitedfirestar;;"712355178792525825";https://twitter.com/fetishlani/status/712355178792525825;ignitedfirestar
GagaMagazineUK;2016-03-22 18:45;2;12;". @ignitedfirestar Islam doesn't kill, small minded attitudes like this cause hate for the innocent. If Islam kills so does every religion.";;@ignitedfirestar;;"712349448333074434";https://twitter.com/GagaMagazineUK/status/712349448333074434;ignitedfirestar
gpbattrap26;2016-03-10 01:43;0;0;"@ignitedfirestar but her husband does....";;@ignitedfirestar;;"707743734180483078";https://twitter.com/gpbattrap26/status/707743734180483078;ignitedfirestar
gpbattrap26;2016-03-10 01:38;0;0;"@ignitedfirestar Good, maybe she'll let her husband balance the budget again...";;@ignitedfirestar;;"707742458055151616";https://twitter.com/gpbattrap26/status/707742458055151616;ignitedfirestar
JackAnderson75;2016-02-29 22:36;0;0;"@ignitedfirestar @dansch2002 @kin2souls & the only thing stopping the gov from taking your bike is the interpretation of the constitution";;@ignitedfirestar @dansch2002 @kin2souls;;"704435209865928704";https://twitter.com/JackAnderson75/status/704435209865928704;ignitedfirestar
JackAnderson75;2016-02-29 22:34;0;0;"@ignitedfirestar @dansch2002 @kin2souls A republic is the same as a representative democracy";;@ignitedfirestar @dansch2002 @kin2souls;;"704434644889038849";https://twitter.com/JackAnderson75/status/704434644889038849;ignitedfirestar
JackAnderson75;2016-02-29 22:33;0;0;"@ignitedfirestar @dansch2002 @kin2souls This is not accurate. The first description fits a direct democracy without limitations.";;@ignitedfirestar @dansch2002 @kin2souls;;"704434264104964096";https://twitter.com/JackAnderson75/status/704434264104964096;ignitedfirestar
avhigs;2016-02-29 18:18;0;0;"@ignitedfirestar that's not the point of the hashtag omg";;@ignitedfirestar;;"704370255871631360";https://twitter.com/avhigs/status/704370255871631360;ignitedfirestar
LVview;2016-02-29 16:54;0;0;"@ignitedfirestar Not sure why you would follow me. I love freedom too but Christian conservatives generally want to restrict it.";;@ignitedfirestar;;"704349028360695808";https://twitter.com/LVview/status/704349028360695808;
anarchic_teapot;2016-02-29 11:21;2;2;"#Progun is never #prolife @ignitedfirestar Forcing women to bear unwanted children is not #prolife either. You're #protheocracy";;@ignitedfirestar;#Progun #prolife #prolife #protheocracy;"704265108403388416";https://twitter.com/anarchic_teapot/status/704265108403388416;
Private_yum;2016-02-25 18:57;0;0;"@ignitedfirestar There is no individual right to own a gun in the constitution";;@ignitedfirestar;;"702930393968685056";https://twitter.com/Private_yum/status/702930393968685056;ignitedfirestar
BeccaLeigh1116;2016-02-25 10:19;0;0;"The Becca Daily is out! http:// ln.is/paper.li/Becca Leigh1/6ZinJ … Stories via @ignitedfirestar @Wayne_Drake_";;@ignitedfirestar @Wayne_Drake_;;"702800127124226048";https://twitter.com/BeccaLeigh1116/status/702800127124226048;
PreachinJames;2016-02-25 09:32;0;0;"@ignitedfirestar @I_AmAmerica I like how this is put. We should give up our wrongs .";;@ignitedfirestar @I_AmAmerica;;"702788350269222912";https://twitter.com/PreachinJames/status/702788350269222912;ignitedfirestar
kennyjacobs;2016-02-25 04:19;0;0;"Just saying hello to my new follower @ignitedfirestar , looking forward to tweeting with you. #sayhello http:// who.unfollowed.me";;@ignitedfirestar;#sayhello;"702709363874529280";https://twitter.com/kennyjacobs/status/702709363874529280;
palmquac;2016-02-24 14:31;0;0;"@ignitedfirestar not sure why you followed me, but you're going to be disappointed";;@ignitedfirestar;;"702501149509681152";https://twitter.com/palmquac/status/702501149509681152;
palliddh;2016-02-24 13:53;0;0;"@ignitedfirestar Ms, Davis, read my TL all you want but don't expect dialogue; we seem diametrically opposed & conversation is limited.";;@ignitedfirestar;;"702491466908766208";https://twitter.com/palliddh/status/702491466908766208;
desertcronenm;2016-02-20 02:12;0;2;"@Artzthings @alanaty2 @rootwoman123 @high_on_glitter @PBDerby69 @ignitedfirestar Thank you. sir.";;@Artzthings @alanaty2 @rootwoman123 @high_on_glitter @PBDerby69 @ignitedfirestar;;"700865702014521344";https://twitter.com/desertcronenm/status/700865702014521344;Artzthings
ritageo52;2016-02-19 22:11;0;0;"@ignitedfirestar thank you for the follow";;@ignitedfirestar;;"700804999429955584";https://twitter.com/ritageo52/status/700804999429955584;
Artzthings;2016-02-19 22:01;0;1;"Thanks for the follow! @alanaty2 @desertcronenm @rootwoman123 @high_on_glitter @PBDerby69 @ignitedfirestar via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@alanaty2 @desertcronenm @rootwoman123 @high_on_glitter @PBDerby69 @ignitedfirestar;;"700802364932919296";https://twitter.com/Artzthings/status/700802364932919296;
SuperckookLarry;2016-02-19 09:08;0;0;"@ignitedfirestar and will await your response";;@ignitedfirestar;;"700607956065189889";https://twitter.com/SuperckookLarry/status/700607956065189889;
SuperckookLarry;2016-02-19 09:08;0;0;"@ignitedfirestar now why would a christian conservative want to follow me";;@ignitedfirestar;;"700607763315978240";https://twitter.com/SuperckookLarry/status/700607763315978240;
gridermeg2;2016-02-18 10:45;0;0;"@ignitedfirestar @jennithepooh041 @IBDeditorials He knew where,&why he was going there. Why would U expect anything different from a radical";;@ignitedfirestar @jennithepooh041 @IBDeditorials;;"700269780708827138";https://twitter.com/gridermeg2/status/700269780708827138;ignitedfirestar
jerrymichalski;2016-02-17 04:14;0;0;"love that u just followed me, @ignitedfirestar , though I seem to b at the opposite end of the political spectrum. look fwd to our convos.";;@ignitedfirestar;;"699809180329246721";https://twitter.com/jerrymichalski/status/699809180329246721;
OneMilintheBank;2016-02-13 23:25;0;0;"@ignitedfirestar One Million inthe Bank 4 awards-Gold Medal Entrepreneurship & Finance & 1st Best Informational & 3rd BestSelf Help BookPZRT";;@ignitedfirestar;;"698649332367527936";https://twitter.com/OneMilintheBank/status/698649332367527936;
GernertLynn;2016-02-11 07:54;0;0;"@ignitedfirestar If we bring up an issue where we think DT is wrong they say ew lie. They don't have a plan to win only to play victim.";;@ignitedfirestar;;"697690252324941825";https://twitter.com/GernertLynn/status/697690252324941825;ignitedfirestar
Private_yum;2016-02-10 16:02;0;0;"@ignitedfirestar #America is #NotExceptional #CruzCrew ? More like #CrLoserCrew ! #LMAO";;@ignitedfirestar;#America #NotExceptional #CruzCrew #CrLoserCrew #LMAO;"697450473507262464";https://twitter.com/Private_yum/status/697450473507262464;
maxomai;2016-02-10 14:37;0;0;"@ignitedfirestar Lady, you are following the WRONG person.";;@ignitedfirestar;;"697429262698065921";https://twitter.com/maxomai/status/697429262698065921;
FredKiesche;2016-02-10 14:20;0;1;"It's really clear that new follower . @ignitedfirestar did not take the time to read my Twitter Profile before following me.";;@ignitedfirestar;;"697424819822993409";https://twitter.com/FredKiesche/status/697424819822993409;
jlrowe;2016-02-10 13:49;0;0;"@ignitedfirestar False friends of Constitution & ANTI #ArticleV >follow Liberal Con-Con Disinfo Campaign> http:// tinyurl.com/LeftAnti5 #tcot #ccot";;@ignitedfirestar;#ArticleV #tcot #ccot;"697417190568501248";https://twitter.com/jlrowe/status/697417190568501248;ignitedfirestar
Beylotte;2016-02-05 22:50;0;0;"@ignitedfirestar #CruzCrew really. You're tweets have a funny way of expressing your support. Prove it or stop following me please";;@ignitedfirestar;#CruzCrew;"695741382657323008";https://twitter.com/Beylotte/status/695741382657323008;
saddletrap;2016-02-05 17:47;0;1;"@ignitedfirestar ...thanks for the follow. . @saddletrap";;@ignitedfirestar @saddletrap;;"695665160321519617";https://twitter.com/saddletrap/status/695665160321519617;
PoliticalSatire;2016-02-05 14:59;0;0;"The Democratic Daily is out! http:// paper.li/liberaltalkinp t/1309431524?edition_id=1de73ad0-cc19-11e5-a5cc-0cc47a0d1609 … Stories via @ignitedfirestar";;@ignitedfirestar;;"695622907007991808";https://twitter.com/PoliticalSatire/status/695622907007991808;
izzipatriot;2016-02-05 13:16;0;0;"@ignitedfirestar Thank you for the follow";;@ignitedfirestar;;"695596882987511808";https://twitter.com/izzipatriot/status/695596882987511808;
McnealyGeorge;2016-02-05 12:23;0;1;"#welcometweet @2pokerprincess @pinntrust @Shooters_Wife2 @NinthStateNH @jd_rna @ignitedfirestar via http:// uapp.ly";;@2pokerprincess @pinntrust @Shooters_Wife2 @NinthStateNH @jd_rna @ignitedfirestar;#welcometweet;"695583458798665728";https://twitter.com/McnealyGeorge/status/695583458798665728;
