username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
lourdescuracao;2017-10-27 10:20;0;0;"ur such a jolly ollie ;))";;;;"923856845667680260";https://twitter.com/lourdescuracao/status/923856845667680260;MetalOllie
char_walker18;2017-10-21 13:26;0;0;"And you jolly ollie";;;;"921729493580025857";https://twitter.com/char_walker18/status/921729493580025857;Ollie_Janerz17,sumerjanee
robstagg;2017-10-14 09:44;0;0;"Great show - Matt is really on form, so is Floyd and Jolly Ollie ... awesome!!!";;;;"919136720926494720";https://twitter.com/robstagg/status/919136720926494720;SaturdayKitchen
Katelyn37242219;2017-09-29 15:24;1;2;"Holly Jolly Ollie";;;;"913786653864468485";https://twitter.com/Katelyn37242219/status/913786653864468485;TheOrionSound
byron_a;2017-09-17 01:10;0;0;"I'm at Jolly Ollie 's Pub in Hendersonville, TN https://www. swarmapp.com/c/di3GmY2w3gV";;;;"909223095185141760";https://twitter.com/byron_a/status/909223095185141760;
MayginMarie;2017-09-15 02:17;0;1;"It would be dope if the jolly ollie man got a backstory. Like why tf was he so mean?!";;;;"908515095420039169";https://twitter.com/MayginMarie/status/908515095420039169;
BillNBlazin247;2017-09-14 03:59;0;2;"Sadly We all gotta feel that one smh I mean Macho man Randy savage could've beaten trump hell the jolly Ollie man from Hey Arnold wudda won";;;;"908178490167611392";https://twitter.com/BillNBlazin247/status/908178490167611392;HilarysDryCunt,the_fire_berns
bicyclebri;2017-09-09 02:04;0;0;"Block your fan on instragram why?? Now I have voodoo doll no Kia repeat for you and jolly Ollie";;;;"906337508098584576";https://twitter.com/bicyclebri/status/906337508098584576;TheSandraGal
zyblonius;2017-09-07 16:01;0;0;"Jolly Ollie Goshmanns #SketchADoodle pic.twitter.com/e3GN2ZvZik";;;#SketchADoodle;"905823323195572226";https://twitter.com/zyblonius/status/905823323195572226;
allTEE_noAYY;2017-09-07 05:49;1;0;"Jolly Ollie man said gotcha bitch https:// twitter.com/princeeros_/st atus/905668569236627456 …";;;;"905669326316814336";https://twitter.com/allTEE_noAYY/status/905669326316814336;
deepfriedlard;2017-09-04 00:21;0;0;"Love the short guy statistics y'all were throwing out earlier. I miss Jolly Ollie .";;;;"904499601339805696";https://twitter.com/deepfriedlard/status/904499601339805696;bgtennisnation
Donnafett;2017-08-26 01:54;0;1;"Jolly ollie";;;;"901261644696887296";https://twitter.com/Donnafett/status/901261644696887296;realretroism
Pajamurai;2017-08-16 22:40;0;1;""Why does god make the Jolly Ollie man cranky? Why does god make Stinky so stinky?" I think y'all are gonna like the podcast I'm editing.";;;;"897951307134246913";https://twitter.com/Pajamurai/status/897951307134246913;
