username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Grass1776;2017-08-19 20:36;0;0;"Oh really and which one of us his a photo of trump has their profile pic #shitstain ? #shitstainoftheday";;;#shitstain #shitstainoftheday;"899007274353516544";https://twitter.com/Grass1776/status/899007274353516544;patriotusa77b,jusmasxTrt
Helmicano;2017-08-18 21:35;0;0;"That's fine..people that know me, know that I'm not. They're the ones that matter.";;;;"898659577884942336";https://twitter.com/Helmicano/status/898659577884942336;jusmasxTrt
policrits;2017-08-18 20:30;0;0;"Hi Judith! @jusmasxTrt Thanks for following. I blog at http://www. policrits.com . If you get bored take a look! Craig";;@jusmasxTrt;;"898643388550889473";https://twitter.com/policrits/status/898643388550889473;
jcompany49;2017-08-18 19:47;0;0;"I have a feeling that number will increase next election!!";;;;"898632526880587776";https://twitter.com/jcompany49/status/898632526880587776;jusmasxTrt
moosenosquirrel;2017-08-18 19:38;0;0;"Like there was a negotiation lol";;;;"898630154871861249";https://twitter.com/moosenosquirrel/status/898630154871861249;jusmasxTrt
PRaudino;2017-08-18 19:36;0;0;"Together with Hillary!!! Same jail cell too!!!";;;;"898629610522296321";https://twitter.com/PRaudino/status/898629610522296321;jusmasxTrt,KenFrank1230
CaliDeplorable2;2017-08-18 19:20;0;0;"Hope she has the guts to resign now.";;;;"898625737195872257";https://twitter.com/CaliDeplorable2/status/898625737195872257;jusmasxTrt
csmnor;2017-08-18 16:05;0;0;"If you are enlightened educated and reasonable you would say no. If you are radical you may say yes. If you are hypocrite you say no.";;;;"898576685531922432";https://twitter.com/csmnor/status/898576685531922432;jusmasxTrt,carolinagirl63
Arji5139;2017-08-18 15:58;0;0;"Good point!";;;;"898574871524921345";https://twitter.com/Arji5139/status/898574871524921345;jusmasxTrt
POOROLJC;2017-08-18 06:33;0;0;"pic.twitter.com/JR61PWzx6f";;;;"898432699232165893";https://twitter.com/POOROLJC/status/898432699232165893;jusmasxTrt
GeorgeCaldwell_;2017-08-18 06:26;0;0;"Antifa attacking black people.";;;;"898430767637815296";https://twitter.com/GeorgeCaldwell_/status/898430767637815296;jusmasxTrt
Jaredthecuck;2017-08-18 04:31;0;0;"You're a nazi. You know that, right?";;;;"898401886734241796";https://twitter.com/Jaredthecuck/status/898401886734241796;jusmasxTrt,MRMINDCRIME1
HumanRaph;2017-08-18 04:18;0;0;"But why protect nazis and racist people? That is the question.";;;;"898398585615667200";https://twitter.com/HumanRaph/status/898398585615667200;jusmasxTrt
Dux87;2017-08-18 03:55;0;0;"Stonewall Jackson died a loser, Robert E. Lee died a loser, and every statue honouring those traitors will be torn down by the people.";;;;"898392983007055872";https://twitter.com/Dux87/status/898392983007055872;jusmasxTrt
Dux87;2017-08-18 03:55;0;0;"Cus Conf statues honour TRAITORS. Confederates wanted to break US, what it stood for, and wanted a banana republic against its values. F em!";;;;"898392777616183296";https://twitter.com/Dux87/status/898392777616183296;jusmasxTrt
mekumpf;2017-08-18 03:53;0;0;"But will you see this on MSM? No!";;;;"898392332961239041";https://twitter.com/mekumpf/status/898392332961239041;jusmasxTrt
Rgieras;2017-08-17 20:02;0;0;"Police ARE able to stop, they're just told NOT to.";;;;"898273840719122433";https://twitter.com/Rgieras/status/898273840719122433;jusmasxTrt,ChrisBragdon
RetiredMan01;2017-08-17 19:43;0;0;"No - local police can call in as much back up as they deem necessary; they aren't the problem. Mayors, even Govs ordering stand down are.";;;;"898268984914698241";https://twitter.com/RetiredMan01/status/898268984914698241;jusmasxTrt
ShariGalvez;2017-08-17 15:56;0;0;"@Acosta Hey Acosta, why are you mad Trump blamed antifa? why are you mad? why are you mad? why why why why why. annoying? @realDonaldTrump";;@Acosta @realDonaldTrump;;"898211858674593792";https://twitter.com/ShariGalvez/status/898211858674593792;jusmasxTrt,doctorgene2
michael_yongue;2017-08-17 14:42;0;2;"Romney. You owe me gas money, plus $20 (flat rate), for wasting my time and energy to go vote for you.";;;;"898193309021216769";https://twitter.com/michael_yongue/status/898193309021216769;jusmasxTrt
reallyo10;2017-08-17 14:38;0;0;"If I knew he was this kinda POS , I would of never voted for him. Even with Obama being Prez.";;;;"898192436031352832";https://twitter.com/reallyo10/status/898192436031352832;jusmasxTrt
MyReaume;2017-08-17 13:04;0;0;"Romney is actually a Communist, he just doesn't know it. Although. Left is just more PC";;;;"898168777220792320";https://twitter.com/MyReaume/status/898168777220792320;jusmasxTrt
alsdowntown;2017-08-17 10:27;0;0;"It probably took at least 10 of them to do that. I'm sure a couple of them were big dikes";;;;"898129221763174400";https://twitter.com/alsdowntown/status/898129221763174400;jusmasxTrt
VicrdrJohn;2017-08-17 02:52;0;0;"https://www. facebook.com/newlypress/vid eos/1870277369903302/ …";;;;"898014753469022208";https://twitter.com/VicrdrJohn/status/898014753469022208;jusmasxTrt
RodNBarbie1;2017-08-17 01:29;0;0;"I don't advocate removing history. Erase history and you erase it's lessons.";;;;"897993760931549184";https://twitter.com/RodNBarbie1/status/897993760931549184;jusmasxTrt
puretexas1972;2017-08-17 00:48;0;0;"His religion supports sharia law";;;;"897983388216246273";https://twitter.com/puretexas1972/status/897983388216246273;jusmasxTrt
alsdowntown;2017-08-16 22:33;0;0;"I bet if statues of ELTON JOHN,ELLEN,BOY GEORGE, ROSIE O'DONNELL were up. The media would want them Gold plated";;;;"897949392673673217";https://twitter.com/alsdowntown/status/897949392673673217;jusmasxTrt
JamesJbean76;2017-08-16 22:08;0;0;"She is a liar, she said if TRUMP wins she would leave America, well her hateful ass is still here and that makes her a liar";;;;"897943194784202752";https://twitter.com/JamesJbean76/status/897943194784202752;jusmasxTrt
gigi1793129;2017-08-16 22:01;0;0;"We denounce her!!";;;;"897941491737403392";https://twitter.com/gigi1793129/status/897941491737403392;jusmasxTrt
texasflutegal;2017-08-16 20:00;0;0;"@jusmasxTrt Thank you for following me!";;@jusmasxTrt;;"897910860047405057";https://twitter.com/texasflutegal/status/897910860047405057;
CPanther95;2017-08-16 19:48;0;1;"pic.twitter.com/6vBFRturo7";;;;"897907824696713217";https://twitter.com/CPanther95/status/897907824696713217;jusmasxTrt
moej4242;2017-08-16 18:59;0;1;"I like that the New Right";;;;"897895647256260608";https://twitter.com/moej4242/status/897895647256260608;jusmasxTrt
vickieDiSabato;2017-08-16 17:00;0;0;"We hate you too you hate America you hate women you love Muslims you love black lives matter and you love Isis";;;;"897865627154644993";https://twitter.com/vickieDiSabato/status/897865627154644993;jusmasxTrt
acre1291;2017-08-16 16:07;0;0;"This buttface will not be around to see whether he's gonna be right.";;;;"897852418611982336";https://twitter.com/acre1291/status/897852418611982336;jusmasxTrt
