username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Rbjacobs;2017-11-03 13:25;0;0;"I'm sorry for the delay. I have expedited this matter";;;;"926440134916141057";https://twitter.com/Rbjacobs/status/926440134916141057;justinmccall
mikesharman;2017-11-03 09:49;0;1;"rad thank you";;;;"926385896236175361";https://twitter.com/mikesharman/status/926385896236175361;T_iLOVEbooks,justinmccall
T_iLOVEbooks;2017-11-03 09:45;0;1;"All sorted :-)";;;;"926384775962808320";https://twitter.com/T_iLOVEbooks/status/926384775962808320;mikesharman,justinmccall
mikesharman;2017-11-03 06:16;0;0;"- @t_ilovebooks - did you get Justin and Brandon's books sorted ? With their addresses etc ? X";;@t_ilovebooks;;"926332195660337152";https://twitter.com/mikesharman/status/926332195660337152;justinmccall
mikesharman;2017-11-03 06:14;0;0;"@justinmccall please may I have your and Brandon's delivery addresses for book drop off x";;@justinmccall;;"926331634605019136";https://twitter.com/mikesharman/status/926331634605019136;
4x4community;2017-11-02 10:37;0;0;"Photoshoot for Jeep Wrangler: Forum: General 4x4 Discussion Posted By: justinmccall Post Time: 2017/11/02 at 12:25… http:// dlvr.it/Pyr45R pic.twitter.com/QQzCDt0hmG";;;;"926035566046482434";https://twitter.com/4x4community/status/926035566046482434;
Rbjacobs;2017-10-31 13:02;0;0;"I'm sorry for only getting back to you now. Have you since been contacted?";;;;"925347173834870784";https://twitter.com/Rbjacobs/status/925347173834870784;justinmccall
mikesharman;2017-10-30 21:29;0;1;"haha! #adulting - really appreciate the support dude";;;#adulting;"925112356891512833";https://twitter.com/mikesharman/status/925112356891512833;justinmccall
Rbjacobs;2017-10-30 10:21;0;0;"You are so welcome";;;;"924944420834865152";https://twitter.com/Rbjacobs/status/924944420834865152;justinmccall
Rbjacobs;2017-10-30 10:19;0;0;"The team has been notified and will be in touch with you directly to discuss.";;;;"924943725775683587";https://twitter.com/Rbjacobs/status/924943725775683587;justinmccall
Rbjacobs;2017-10-30 10:17;0;0;"My apologies for the delay. I have escalated this matter and you will be contacted as soon as possible";;;;"924943405146308608";https://twitter.com/Rbjacobs/status/924943405146308608;justinmccall
_Carla_N;2017-10-29 09:06;0;0;"Lol I cried for most of this flight.";;;;"924563073184215040";https://twitter.com/_Carla_N/status/924563073184215040;justinmccall
HondaSA;2017-10-24 12:46;0;0;"Have a lovely day. Thanks again. :)";;;;"922806378816827392";https://twitter.com/HondaSA/status/922806378816827392;justinmccall
HondaSA;2017-10-24 12:45;0;0;"We value your feedback and we will consider this for the future. Please let us know if there is anything else we can help you with.";;;;"922806263062376448";https://twitter.com/HondaSA/status/922806263062376448;justinmccall
HondaSA;2017-10-24 12:44;0;0;"Hi there, thank you for getting in touch. We appreciate your feedback. Please note that different branches operate at different times.";;;;"922805940449050625";https://twitter.com/HondaSA/status/922805940449050625;justinmccall
Rbjacobs;2017-10-24 10:50;0;0;"Hi there. If you're still unable to update the App please let our App team look into it on 0875750362.";;;;"922777366409236480";https://twitter.com/Rbjacobs/status/922777366409236480;justinmccall
