username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Sascha_Reiche;2017-07-17 18:08;0;0;"Absurder Bot...";;;;"887011193336016896";https://twitter.com/Sascha_Reiche/status/887011193336016896;lindaschwarz121
IndiePressWatch;2017-05-12 18:57;0;0;"Hey @lindaschwarz121 @Nichola25506553 thanks for being top new followers this week! Much appreciated :) >> http:// bit.ly/_want_this_free";;@lindaschwarz121 @Nichola25506553;;"863105791657639936";https://twitter.com/IndiePressWatch/status/863105791657639936;
an_niem;2017-04-30 12:21;0;2;"Thanks for the recent follow @Entreprendre @lindaschwarz121 Happy to connect :) have a great Sunday. >> Get FREE? https:// bit.ly/_tweet_thanks_ new_followers …";;@Entreprendre @lindaschwarz121;;"858657456146272256";https://twitter.com/an_niem/status/858657456146272256;
HannesHanath;2017-04-20 10:31;0;1;"Thanks for the recent follow @DavidAames23001 @lindaschwarz121 Happy to connect :) have a great Thursday. Get it https:// commun.it/thank-you/?aid =thankyou127 …";;@DavidAames23001 @lindaschwarz121;;"855005933231058945";https://twitter.com/HannesHanath/status/855005933231058945;
RobertSchonbeck;2017-04-12 04:12;0;0;"@lindaschwarz121 Anders sind ja eigentlich nur die Wagen.";;@lindaschwarz121;;"852011394010501120";https://twitter.com/RobertSchonbeck/status/852011394010501120;morgenpost
AnneKritik;2017-04-11 21:32;0;0;"Wie oft noch und alle schaun zu?";;;;"851910760599085057";https://twitter.com/AnneKritik/status/851910760599085057;Tagesspiegel,lindaschwarz121
Moritzbhg;2017-04-11 13:33;0;0;"@lindaschwarz121 https:// twitter.com/David_TXAZ/sta tus/851617635968073729 …";;@lindaschwarz121;;"851790398020358144";https://twitter.com/Moritzbhg/status/851790398020358144;
an_niem;2017-03-22 14:04;0;0;"Thanks for the recent follow @lindaschwarz121 @DigitaleMedizin Happy to connect :) have a great Wednesday. https:// commun.it/thank-you/?aid =thankyou135 …";;@lindaschwarz121 @DigitaleMedizin;;"844550330708873216";https://twitter.com/an_niem/status/844550330708873216;
PJKINGPIN;2017-03-21 23:20;0;0;"@lindaschwarz121 hi Linda! Thank u for the #Follow feel free to tweet anytime!!";;@lindaschwarz121;#Follow;"844327814753071108";https://twitter.com/PJKINGPIN/status/844327814753071108;
dominikbertrams;2017-03-21 13:57;0;0;"Die @CDU setzt jetzt wohl auch #Bots ein @lindaschwarz121";;@CDU @lindaschwarz121;#Bots;"844186249334284289";https://twitter.com/dominikbertrams/status/844186249334284289;
krausebenjamin;2017-03-17 14:28;0;0;"und ich folge auch gerne zurück";;;;"842744475847999489";https://twitter.com/krausebenjamin/status/842744475847999489;krausebenjamin,lindaschwarz121
krausebenjamin;2017-03-17 14:27;0;0;"@lindaschwarz121 Danke fürs folgen :)";;@lindaschwarz121;;"842744269362413568";https://twitter.com/krausebenjamin/status/842744269362413568;
Jennerwein6971;2016-08-26 17:26;0;0;"#ff @kleinerdonner_m @lostinthatlife @lisaheifl @lomonoki0756 @_sheshen @lindaschwarz121 @m_azetylen @MonicaMSinger @NoelArt112 @nelesch_";;@kleinerdonner_m @lostinthatlife @lisaheifl @lomonoki0756 @_sheshen @lindaschwarz121 @m_azetylen @MonicaMSinger @NoelArt112 @nelesch_;#ff;"769224620486582272";https://twitter.com/Jennerwein6971/status/769224620486582272;
R0xxst4r;2016-07-22 13:23;0;0;"@lindaschwarz121 are you crazy? pic.twitter.com/i1Njt6xDr7";;@lindaschwarz121;;"756479722490650624";https://twitter.com/R0xxst4r/status/756479722490650624;
kossonosow;2016-07-22 08:06;0;0;"da hatte Clinton aber eine bessere Idee.";;;;"756400088377856000";https://twitter.com/kossonosow/status/756400088377856000;klingeldraht,AlexBfromG,lindaschwarz121
jantendotv;2016-07-22 07:36;0;0;"Ich erkenne alle regulären Medien an. Medien werden nur gewöhnlich nicht von der rechten Szene anerkannt.";;;;"756392519299166208";https://twitter.com/jantendotv/status/756392519299166208;
jantendotv;2016-07-22 07:30;0;0;"Also bist du so ein Lügenpressen-Mensch? In dem Fall würdest du nämlich selbst nicht an den Artikel glauben!";;;;"756391029692063744";https://twitter.com/jantendotv/status/756391029692063744;
jantendotv;2016-07-22 07:21;0;0;"Ne, ne. Welches Gesetz hat sie deiner Meinung nach denn gebrochen?";;;;"756388629707096064";https://twitter.com/jantendotv/status/756388629707096064;
jantendotv;2016-07-22 07:06;0;0;"Also, bitte. Du kannst doch Merkel nicht mit Hitler vergleichen! Hitler war verrückt da gibt es keine Paralelen!";;;;"756384961867972608";https://twitter.com/jantendotv/status/756384961867972608;
MarioZockt72;2016-07-22 06:08;0;0;"Ich hoffe, das ist sarkastisch gemeint...";;;;"756370299034148864";https://twitter.com/MarioZockt72/status/756370299034148864;lindaschwarz121
