username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
knurpen;2017-10-24 05:13;0;0;"Idag kör vi bana med Harley Davidson...monteblanco banan i… https://www. instagram.com/p/Banl3LsDw3Mq f2fdDrlerCNsAXl91BiigEXzOk0/ …";;;;"922692575491960835";https://twitter.com/knurpen/status/922692575491960835;
DralynnSwick;2017-09-02 18:18;0;0;"I just added this to my closet on Poshmark: Ladies Med Harley -Davidson Ocala Top. https:// bnc.lt/focc/cnxqjBYr5F via @poshmarkapp #shopmycloset";;@poshmarkapp;#shopmycloset;"904045846072721409";https://twitter.com/DralynnSwick/status/904045846072721409;
MedanviserJosse;2017-09-01 17:42;0;5;"En upplevelsesag med Harley Davidson och Trans Am för Lycke. Det svåra blir lättare att hantera när det blandas med massa roligt! #medanviser pic.twitter.com/aE94jWOLC9";;;#medanviser;"903674410024005632";https://twitter.com/MedanviserJosse/status/903674410024005632;
DralynnSwick;2017-09-01 13:31;0;0;"I just added this to my closet on Poshmark: Ladies Med Harley -Davidson Ocala Top. https:// bnc.lt/focc/cnxqjBYr5F via @poshmarkapp #shopmycloset";;@poshmarkapp;#shopmycloset;"903611212583149568";https://twitter.com/DralynnSwick/status/903611212583149568;
DralynnSwick;2017-08-21 00:11;0;0;"I just added this to my closet on Poshmark: Ladies Med Harley -Davidson Ocala Top. https:// bnc.lt/focc/7CY4TXRgMF via @poshmarkapp #shopmycloset";;@poshmarkapp;#shopmycloset;"899423635831521280";https://twitter.com/DralynnSwick/status/899423635831521280;
tjockse;2017-07-27 06:25;0;0;"Gin med Harley -Davidson-delar i http:// tjock.se/strupen/art/36 8379/gin_med_harleydavidsondelar_i/ …";;;;"890458104709697536";https://twitter.com/tjockse/status/890458104709697536;
annakonstanse;2017-07-18 17:36;0;1;"Cringer når jeg ser folk med Harley Davidson-klær som aldri har tatt i en motorsykkel.";;;;"887365406465433604";https://twitter.com/annakonstanse/status/887365406465433604;
matiashs;2017-06-16 22:57;0;1;"spill tnt med harley davidson for den. var søt";;;;"875849838411296771";https://twitter.com/matiashs/status/875849838411296771;Satanihalsen
Tobbe_Palmqvist;2017-06-03 10:15;0;0;"Pappa / Son dag med Harley på Randiz Kristianstad – känner sig busig på Randiz Lekland Kristianstad http:// fb.me/1iNX8A3g6";;;;"870947136464138240";https://twitter.com/Tobbe_Palmqvist/status/870947136464138240;
SkullsTBH;2017-05-02 18:42;0;0;"MENS MED HARLEY DAVIDSON BROWN, BLACK EMBROIDERED SKULL ON SLEEVE BUTTON SHIRT ● #skulls #MerchInBio pic.twitter.com/NZhC3RVksn";;;#skulls #MerchInBio;"859478219996712960";https://twitter.com/SkullsTBH/status/859478219996712960;
Khakushia_Ebay;2017-04-30 10:42;0;0;"Check out WOMENS MED HARLEY -DAVIDSON FLAG / SKULL SHIRT WITH STUDDED DETAILS #HarleyDavidson http://www. ebay.com/itm/WOMENS-MED -HARLEY-DAVIDSON-FLAG-SKULL-SHIRT-WITH-STUDDED-DETAILS/112380851285?roken=cUgayN&soutkn=mlbvk4 … via @eBay";;@eBay;#HarleyDavidson;"858632541665984513";https://twitter.com/Khakushia_Ebay/status/858632541665984513;
flyingpigvtg;2017-04-30 10:27;0;0;"WOMENS MED HARLEY -DAVIDSON FLAG / SKULL SHIRT WITH STUDDED DETAILS | #eBaythrifters http:// m.ebay.com/itm/1123808512 85?_trksid=p3984.m1555.l2649&_mwBanner=1 …";;;#eBaythrifters;"858628783519223809";https://twitter.com/flyingpigvtg/status/858628783519223809;
Root4HomeTeam;2017-04-15 02:03;0;0;"http:// ift.tt/2pgVYrL Women's Size Med. Harley Davidson Brown Leather Jacket Distressed Leather LK";;;;"853066250762813440";https://twitter.com/Root4HomeTeam/status/853066250762813440;
mecaner1968;2017-04-14 18:27;0;0;"Marissa Miller on a Harley | marisa miller i en ny reklam kampanj med harley davidson xoxo t ... http:// pinterest.com/pin/7555492749 56369257/ …";;;;"852951395254898688";https://twitter.com/mecaner1968/status/852951395254898688;
brusosus;2017-04-06 12:22;0;0;"@PodFF vill gärna komma i kontakt för att dryfta en ide.Hänger ihop med Harley Owners Group Stockholm. Ser fram mot kontakt #HOG#kul #Harley";;@PodFF;#HOG #kul #Harley;"849960593696190466";https://twitter.com/brusosus/status/849960593696190466;
Root4HomeTeam;2017-03-15 05:14;0;0;"http:// ift.tt/2mqOrRN Women's Size Med. Harley Davidson Brown Leather Jacket Distressed Leather LK";;;;"841880244718043138";https://twitter.com/Root4HomeTeam/status/841880244718043138;
AmalieValentin;2017-02-11 22:15;0;0;"kør lige en opdatering! Hvilke hits har I været igennem? Er der nogen med Harley Davidson leggings på?";;;;"830540889835577346";https://twitter.com/AmalieValentin/status/830540889835577346;SimonCrackLinde
noraalundqvist;2017-01-23 00:00;0;1;"SKA FÅ TRÄFFA OCH KRAMAS MED HARLEY IMORGON";;;;"823319570912083972";https://twitter.com/noraalundqvist/status/823319570912083972;
ThomasE05709025;2016-12-26 21:16;0;0;"Kul film med Harley Davidson";;;;"813493812140118018";https://twitter.com/ThomasE05709025/status/813493812140118018;
73Agneta;2016-12-26 20:32;0;0;"Fortsätter tv kvällen med "Harley and the Davidson" Alla tre intressen på tv samma dag";;;;"813482526484418560";https://twitter.com/73Agneta/status/813482526484418560;
BiografNyheder;2016-12-06 11:55;0;0;"Solofilm med Harley Quinn på vej http:// ift.tt/2gL9Xl1";;;;"806104745568010240";https://twitter.com/BiografNyheder/status/806104745568010240;
AlexWitt8;2016-11-20 00:47;0;0;"I just added this to my closet on Poshmark: Wmns size med Harley Davidson shirt. https:// bnc.lt/focc/I7MvhdLxry via @poshmarkapp #shopmycloset";;@poshmarkapp;#shopmycloset;"800138371636989952";https://twitter.com/AlexWitt8/status/800138371636989952;
KretsloppRadio;2016-10-31 10:59;0;0;"My new sounds: Morgonmässan - 2016 - 10 - 31 - Halloweenspecial Med Harley Quinn Och Regina George https:// soundcloud.com/studentradion9 8-9/morgonmassan-2016-10-31-halloweenspecial-med-harley-quinn-och-regina-george … on #SoundCloud";;;#SoundCloud;"793044749523513344";https://twitter.com/KretsloppRadio/status/793044749523513344;
