username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
blicqer;2017-08-06 13:50;0;0;"#SundayFunday Thank you @Darkshadowmedia @melanymelanin @MetalFloss for the recent retweet. Have a great week!";;@Darkshadowmedia @melanymelanin @MetalFloss;#SundayFunday;"894193861911871488";https://twitter.com/blicqer/status/894193861911871488;
blicqer;2017-08-04 10:50;0;0;"#FollowFriday Thank you @Darkshadowmedia @melanymelanin @MetalFloss for being TOP engaged community members this week!";;@Darkshadowmedia @melanymelanin @MetalFloss;#FollowFriday;"893423791531057152";https://twitter.com/blicqer/status/893423791531057152;
blicqer;2017-07-30 14:50;0;1;"#SundayFunday Thank you @melanymelanin for the recent retweet. Have a great week!";;@melanymelanin;#SundayFunday;"891672243620777984";https://twitter.com/blicqer/status/891672243620777984;
blicqer;2017-07-29 12:50;2;1;"#SaturdayMotivation Thank you @Darkshadowmedia @melanymelanin @MetalFloss for being TOP High Value Members this week!";;@Darkshadowmedia @melanymelanin @MetalFloss;#SaturdayMotivation;"891279668250370048";https://twitter.com/blicqer/status/891279668250370048;
blicqer;2017-07-28 13:50;0;0;"#FollowFriday Thank you @Darkshadowmedia @melanymelanin @MetalFloss for being TOP engaged community members this week!";;@Darkshadowmedia @melanymelanin @MetalFloss;#FollowFriday;"890932375127031809";https://twitter.com/blicqer/status/890932375127031809;
blicqer;2017-07-23 11:50;1;1;"#FundaySunday Thank you @FrancinePharms1 @melanymelanin for the recent retweets. Have a great week!";;@FrancinePharms1 @melanymelanin;#FundaySunday;"889090227029123072";https://twitter.com/blicqer/status/889090227029123072;
blicqer;2017-07-21 11:50;0;0;"#FollowFriday Thank you @melanymelanin @nook71715 @JazzyJDOne for being TOP engaged community members this week!";;@melanymelanin @nook71715 @JazzyJDOne;#FollowFriday;"888365459157995521";https://twitter.com/blicqer/status/888365459157995521;
blicqer;2017-07-16 17:50;2;4;"#SundayFunday Thank you @Darkshadowmedia @FrancinePharms1 @melanymelanin for being TOP engaged community members last week!";;@Darkshadowmedia @FrancinePharms1 @melanymelanin;#SundayFunday;"886644113315155968";https://twitter.com/blicqer/status/886644113315155968;
blicqer;2017-07-15 16:50;1;2;"#SaturdayMotivation Thank you @melanymelanin @reghud @Ancestorgramnet for being TOP High Value Members this week!";;@melanymelanin @reghud @Ancestorgramnet;#SaturdayMotivation;"886266626219397120";https://twitter.com/blicqer/status/886266626219397120;
blicqer;2017-07-14 10:50;2;2;"#FollowFriday Thank you @Darkshadowmedia @FrancinePharms1 @melanymelanin for the recent retweets. Have a great weekend!";;@Darkshadowmedia @FrancinePharms1 @melanymelanin;#FollowFriday;"885813646579953664";https://twitter.com/blicqer/status/885813646579953664;
shawncostelo78;2017-07-10 13:02;0;0;"Wouldn't of happen on his watch.";;;;"884397347781914624";https://twitter.com/shawncostelo78/status/884397347781914624;Politics_PR,melanymelanin
blicqer;2017-06-30 11:50;0;2;"#FollowFriday Thank you @melanymelanin @RASTON48 @DeneenSoul for being TOP engaged community members this week!";;@melanymelanin @RASTON48 @DeneenSoul;#FollowFriday;"880755321177821184";https://twitter.com/blicqer/status/880755321177821184;
blicqer;2017-06-25 11:50;0;1;"#SundayFunday Thank you @melanymelanin @JazzyJDOne @DrlocksLocks for the recent retweets. Have a great week!";;@melanymelanin @JazzyJDOne @DrlocksLocks;#SundayFunday;"878943366536462337";https://twitter.com/blicqer/status/878943366536462337;
blicqer;2017-06-18 11:50;0;0;"#SundayFunday Thank you @melanymelanin @JazzyJDOne @DrlocksLocks for the recent retweets. Have a great week!";;@melanymelanin @JazzyJDOne @DrlocksLocks;#SundayFunday;"876406674071932928";https://twitter.com/blicqer/status/876406674071932928;
blicqer;2017-06-16 14:50;0;1;"#FollowFriday Thank you @melanymelanin @JazzyJDOne @DrlocksLocks for being TOP engaged community members this week!";;@melanymelanin @JazzyJDOne @DrlocksLocks;#FollowFriday;"875727183976726532";https://twitter.com/blicqer/status/875727183976726532;
blicqer;2017-06-11 11:50;0;0;"#SundayFunday Thank you @melanymelanin @RASTON48 @AngelaB86393011 for the recent retweets. Have a great week!";;@melanymelanin @RASTON48 @AngelaB86393011;#SundayFunday;"873869947637780480";https://twitter.com/blicqer/status/873869947637780480;
RASTON48;2017-06-10 14:36;0;0;"Thank You.";;;;"873549310981423104";https://twitter.com/RASTON48/status/873549310981423104;blicqer,melanymelanin,AngelaB86393011
