username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Blacktradelines;2017-05-07 20:50;0;0;"Black History Education @Cherchezla_ish @uhhmall @ravenicholson #blackbusiness https://www. youtube.com/watch?v=M7MNiB 8sTzM …";;@Cherchezla_ish @uhhmall @ravenicholson;#blackbusiness;"861322489598664704";https://twitter.com/Blacktradelines/status/861322489598664704;
chidread;2017-04-22 13:27;0;1;"The latest Spotlight Entertainment Blog by POMMG! http:// paper.li/chidread/14452 39696?edition_id=7c3c9150-275f-11e7-924f-002590a5ba2d … Thanks to @ravenicholson @DeLunaVintage #digitalmarketing";;@ravenicholson @DeLunaVintage;#digitalmarketing;"855775171579400193";https://twitter.com/chidread/status/855775171579400193;
Jennyjinx;2017-04-17 22:06;0;1;"The latest The Jinxed Daily! http:// paper.li/Jennyjinx?edit ion_id=1f55dee0-23ba-11e7-b2a6-0cc47a0d15fd … Thanks to @ravenicholson @RosettaDrone @seanr1978 #theresistance #resist";;@ravenicholson @RosettaDrone @seanr1978;#theresistance #resist;"854093769574141952";https://twitter.com/Jennyjinx/status/854093769574141952;
LauraMiers;2017-04-10 13:42;0;0;"Randomly selected by computer apparently -- and this man is reportedly a physician?";;;;"851430301498843136";https://twitter.com/LauraMiers/status/851430301498843136;TheNewThinkerr,ravenicholson
chidread;2017-04-03 13:27;0;0;"The latest Spotlight Entertainment Blog by POMMG! http:// paper.li/chidread/14452 39696?edition_id=5786e9c0-1871-11e7-803f-002590a5ba2d … Thanks to @ravenicholson @iLoveSarahRich @DiscoverSelf";;@ravenicholson @iLoveSarahRich @DiscoverSelf;;"848889805048078337";https://twitter.com/chidread/status/848889805048078337;
Jennyjinx;2017-03-01 22:06;0;0;"The latest The Jinxed Daily! http:// paper.li/Jennyjinx?edit ion_id=579f9070-fecb-11e6-89dc-0cc47a0d15fd … Thanks to @CarlNyberg312 @ravenicholson @olivefotini #privacy #jointaddress";;@CarlNyberg312 @ravenicholson @olivefotini;#privacy #jointaddress;"837061557439901699";https://twitter.com/Jennyjinx/status/837061557439901699;
nickeljo50;2017-02-26 21:49;0;0;"Top retweeters this week, @Honeyschil @lydiadaye @ravenicholson : Thank you :) Grow followers ➪ http:// bit.ly/free_followers_";;@Honeyschil @lydiadaye @ravenicholson;;"835970047369703426";https://twitter.com/nickeljo50/status/835970047369703426;
Jennyjinx;2017-02-25 22:06;0;1;"The latest The Jinxed Daily! http:// paper.li/Jennyjinx?edit ion_id=adde9fd0-fba6-11e6-89dc-0cc47a0d15fd … Thanks to @lwdgrfx @ravenicholson @ClearlyCrystalB #theresistance #dumptrump";;@lwdgrfx @ravenicholson @ClearlyCrystalB;#theresistance #dumptrump;"835612001036554240";https://twitter.com/Jennyjinx/status/835612001036554240;
TheJLV;2017-02-20 15:23;0;0;"Just nonsense.";;;;"833698651629162497";https://twitter.com/TheJLV/status/833698651629162497;JamPey10,ravenicholson
JamPey10;2017-02-20 15:04;0;0;"@ravenicholson uh...sure...all my teacher friends are very anti-DeVos...without being paid.";;@ravenicholson;;"833693741810667520";https://twitter.com/JamPey10/status/833693741810667520;TheJLV
maicurls;2017-02-14 12:39;0;0;"@ravenicholson thank you";;@ravenicholson;;"831482978316451842";https://twitter.com/maicurls/status/831482978316451842;
chidread;2017-02-13 13:27;0;0;"The latest Spotlight Entertainment Blog by POMMG! http:// paper.li/chidread/14452 39696?edition_id=39ae0610-f1f0-11e6-a776-002590a5ba2d … Thanks to @RamonasNails @ravenicholson @JensAnders1977 #marketing";;@RamonasNails @ravenicholson @JensAnders1977;#marketing;"831132807376273409";https://twitter.com/chidread/status/831132807376273409;
WIBeetle;2017-02-05 01:33;0;0;"@ravenicholson Nice bathroom!";;@ravenicholson;;"828053833473544192";https://twitter.com/WIBeetle/status/828053833473544192;FUNKY1byNature
nobbywonthecup;2017-01-30 05:50;0;0;"@ravenicholson @AAMcLane @MeiaLua22 the real reason why Brexit happened. Immigration...Immigration...Immigration. Racist fools";;@ravenicholson @AAMcLane @MeiaLua22;;"825944255281627136";https://twitter.com/nobbywonthecup/status/825944255281627136;TalibKweli
JamPey10;2017-01-29 22:10;0;1;"@ravenicholson @USATODAY @womenmarch I mean, can't blame her for wanting a tiny break from all this!";;@ravenicholson @USATODAY @womenmarch;;"825828428708470784";https://twitter.com/JamPey10/status/825828428708470784;TooDistantLover
Jennyjinx;2017-01-22 22:06;1;1;"The latest The Jinxed Daily! http:// paper.li/Jennyjinx?edit ion_id=08e8f830-e0ef-11e6-97e6-0cc47a0d15fd … Thanks to @ravenicholson @patiharriss @garroucdub #theresistance #ourrevolution";;@ravenicholson @patiharriss @garroucdub;#theresistance #ourrevolution;"823290789811855361";https://twitter.com/Jennyjinx/status/823290789811855361;
nickchagnon;2017-01-22 20:31;0;0;"'class' in sports is just something they made up to control athletes. Enjoy the game today.";;;;"823266838649786368";https://twitter.com/nickchagnon/status/823266838649786368;NolanHack,ravenicholson
NolanHack;2017-01-22 20:19;0;0;"if youre a pats fan obviously you dont know what that means the steelers' mystique didnt start with a tuck rule";;;;"823263797733425152";https://twitter.com/NolanHack/status/823263797733425152;nickchagnon,ravenicholson
nickchagnon;2017-01-22 20:09;0;0;"lol not sure what that means but you cheer ur team n I'll cheer mine n lets both fight #Trump";;;#Trump;"823261412248064000";https://twitter.com/nickchagnon/status/823261412248064000;NolanHack,ravenicholson
NolanHack;2017-01-22 20:06;0;0;"Ben is scum but comparing the pats to the steelers in terms of class is a joke";;;;"823260550494883840";https://twitter.com/NolanHack/status/823260550494883840;nickchagnon,ravenicholson
nickchagnon;2017-01-22 20:03;0;0;"@ravenicholson so is the Steelers rapist QB!";;@ravenicholson;;"823259891599101952";https://twitter.com/nickchagnon/status/823259891599101952;NolanHack
Luluwatching;2016-12-17 02:58;0;0;"If people working for Obama don't want to work for Trump they have the right to move on so what is she talking about?";;;;"809955790098415617";https://twitter.com/Luluwatching/status/809955790098415617;deray,ravenicholson
Jennyjinx;2016-12-15 22:06;1;1;"The latest The Jinxed Daily! http:// paper.li/Jennyjinx?edit ion_id=c8e04f30-c312-11e6-992b-0cc47a0d15fd … Thanks to @ravenicholson @BrettRossi2000 @markemer #informtheelectors #resisttrump";;@ravenicholson @BrettRossi2000 @markemer;#informtheelectors #resisttrump;"809520133668532224";https://twitter.com/Jennyjinx/status/809520133668532224;
j7vii;2016-12-12 12:44;0;0;"@ravenicholson #DumpTrump";;@ravenicholson;#DumpTrump;"808291488123809793";https://twitter.com/j7vii/status/808291488123809793;AfricanaCarr
DMeroth;2016-12-09 20:07;0;0;"@ravenicholson @TheRightScoop I hope he also told Rudy that he's insane and gave directions to the nearest rubber room.";;@ravenicholson @TheRightScoop;;"807315817176137728";https://twitter.com/DMeroth/status/807315817176137728;nmsaints87124
Orllchris78;2016-12-06 04:19;0;0;"@ravenicholson @anthoknees every single time. Guatemalan";;@ravenicholson @anthoknees;;"805989979574910976";https://twitter.com/Orllchris78/status/805989979574910976;Chiva1908
Jennyjinx;2016-11-22 22:11;0;1;"The latest The Jinxed Daily! http:// paper.li/Jennyjinx?edit ion_id=9765b400-b100-11e6-8380-0cc47a0d15fd … Thanks to @ravenicholson @CrackedPestle @LZipher #nodapl #p2";;@ravenicholson @CrackedPestle @LZipher;#nodapl #p2;"801186329627336704";https://twitter.com/Jennyjinx/status/801186329627336704;
KennyReck;2016-11-18 16:57;0;0;"@ravenicholson You need this in your life: https://www. mixcloud.com/kenny-djkennyr eck-haggerty/push-4-peace-the-mixtape-peace-over-prejudice/ … pic.twitter.com/cCyII27kGZ";;@ravenicholson;;"799657899559677952";https://twitter.com/KennyReck/status/799657899559677952;
Amaliada;2016-11-09 12:48;0;0;"Actually, it was the neocons who let that genie out of the bottle & people tired of war. Trump will do less.";;;;"796333722035331072";https://twitter.com/Amaliada/status/796333722035331072;aliamjadrizvi,ravenicholson
bisor_ann;2016-10-30 20:55;0;0;"@ravenicholson https:// twitter.com/KeithOlbermann /status/792829625323950080 …";;@ravenicholson;;"792832303550435329";https://twitter.com/bisor_ann/status/792832303550435329;
Orllchris78;2016-10-20 22:36;0;0;"@ravenicholson how can someone go without an ID??";;@ravenicholson;;"789233880565944321";https://twitter.com/Orllchris78/status/789233880565944321;pittgriffin
Orllchris78;2016-10-14 10:50;0;0;"@ravenicholson @farenthold he would enjoy that very much";;@ravenicholson @farenthold;;"786881980419940352";https://twitter.com/Orllchris78/status/786881980419940352;allinwithchris
gdiciples21519;2016-10-12 21:13;0;1;"@ravenicholson Tell me more about the Native Americans & the so-called Indian ppl I'm curious ? pic.twitter.com/AOTpjwPEEO";;@ravenicholson;;"786313836408152064";https://twitter.com/gdiciples21519/status/786313836408152064;AmericanIndian8
Orllchris78;2016-10-10 18:30;0;0;"@ravenicholson those are his bully tactics.";;@ravenicholson;;"785548113012338688";https://twitter.com/Orllchris78/status/785548113012338688;CNN
ShameTorturers;2016-10-07 10:16;0;1;"@ravenicholson yes. So sick of hypocrites getting professionally offended by normal things, turning blind eye to real issues";;@ravenicholson;;"784336692287188993";https://twitter.com/ShameTorturers/status/784336692287188993;shupe_laura
Just2Opine;2016-10-06 21:02;0;0;"@ravenicholson While you idiots wait to ruin the lives of those yo'll call when these killers come to your neighborhood. Enjoy! pic.twitter.com/LP0s7Abd8A";;@ravenicholson;;"784136756128079873";https://twitter.com/Just2Opine/status/784136756128079873;ShaunKing
TheMaghrebTimes;2016-10-06 20:08;0;0;"U should respect the privacy of the dead and their families, don't use them, you'r being as low as hillary.";;;;"784123109859266560";https://twitter.com/TheMaghrebTimes/status/784123109859266560;randyshort,ravenicholson
chidread;2016-10-06 13:32;0;0;"The latest Spotlight Entertainment Blog by POMMG! http:// paper.li/chidread/14452 39696?edition_id=54375aa0-8bc9-11e6-ab6f-002590a5ba2d … Thanks to @ImaSwerve @ravenicholson @MusicByStan #marketing #ad";;@ImaSwerve @ravenicholson @MusicByStan;#marketing #ad;"784023540748185600";https://twitter.com/chidread/status/784023540748185600;
DDemondKing;2016-09-13 15:59;0;0;"Thank you so much for the follow good brotha @ravenicholson #DDK123";;@ravenicholson;#DDK123;"775725511788011521";https://twitter.com/DDemondKing/status/775725511788011521;
EngagedE;2016-09-11 17:54;0;1;"Thanks for the recent follow @vivekg9460 @ravenicholson Happy to connect :) have a great Sunday. >> Want this ? https:// commun.it/?aid=thankyou1 05 …";;@vivekg9460 @ravenicholson;;"775029741275361281";https://twitter.com/EngagedE/status/775029741275361281;
