username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
rabodcavalopink;2017-08-26 11:56;0;0;"Kd a Ursula heim";;;;"901413099504365568";https://twitter.com/rabodcavalopink/status/901413099504365568;rabodcavalopink
JensSilbermann;2017-07-17 18:14;0;0;"Wird immer sicherer & Herr Maas hat sich seine Klatsche heute in Dresden abgeholt - Hamburg - BW - Th-Themar - usw...";;;;"887012659509563393";https://twitter.com/JensSilbermann/status/887012659509563393;ursula_heim
JensSilbermann;2017-07-17 17:44;0;0;"Jetzt tun sie Horst aber wirklich weh - wer soll denn den jetzt wieder trösten!?";;;;"887005060277948416";https://twitter.com/JensSilbermann/status/887005060277948416;ursula_heim
JensSilbermann;2017-07-17 17:35;0;0;"Stimmt - aber Angie hat daran nicht mitgearbeitet & Trump passt das gar nicht - wie wir wissen, Frau Merkel braucht immer etwas länger.";;;;"887002824831270913";https://twitter.com/JensSilbermann/status/887002824831270913;ursula_heim
Twidttdi;2017-07-17 17:01;0;0;"Wie Schulz sich als #Kanzler präsentiert wissen wir nicht. Von Merkel wissen wir es schon: #DDR politische geprägtes Verhalten";;;#Kanzler #DDR;"886994225862250496";https://twitter.com/Twidttdi/status/886994225862250496;ursula_heim
JensSilbermann;2017-07-17 16:56;0;2;"Ich halte beide für zu überheblich - Ich bin für... pic.twitter.com/wJFnPe5oEF";;;;"886992902374776832";https://twitter.com/JensSilbermann/status/886992902374776832;ursula_heim
JensSilbermann;2017-07-17 16:24;0;0;"Eine klare Aussage der Kanzlerin - bis 2021 mach ich noch - nach mir - interessiert mich nicht.";;;;"886985014054969346";https://twitter.com/JensSilbermann/status/886985014054969346;ursula_heim
daskochrezept;2017-07-17 08:24;0;0;"vielen Dank fürs Teilen! Liebe Grüße";;;;"886864131781001216";https://twitter.com/daskochrezept/status/886864131781001216;daskochrezept,ursula_heim
Kalaidos_FH;2017-06-30 17:32;0;1;"Und der Credit Suisse Award for Best Teaching geht in diesem Jahr an ... Ursula Heim (Dozentin für Orgel und Cembalo) #KalaidosHochschultag";;;#KalaidosHochschultag;"880841482219003904";https://twitter.com/Kalaidos_FH/status/880841482219003904;
_presse_tante_;2017-05-31 11:07;0;0;"Hey @ModernSlavery6 @ursula_heim thanks for being top new followers this week! Much appreciated :) >> Want this ? https:// commun.it/get-more-follo wers/?aid=thankyou154 …";;@ModernSlavery6 @ursula_heim;;"869873060261675008";https://twitter.com/_presse_tante_/status/869873060261675008;
m4yl0n;2017-04-24 17:07;0;0;"@ursula_heim sorry, aber #merkelstinkt ... Nach finanzkapitalismus, rüstungsexporten, Krieg und Populismus ... @DiePARTEI für die Zukunft";;@ursula_heim @DiePARTEI;#merkelstinkt;"856555244418990080";https://twitter.com/m4yl0n/status/856555244418990080;
TJVkanasta;2017-04-12 13:53;0;0;"Gut fur sie!";;;;"852157823710625792";https://twitter.com/TJVkanasta/status/852157823710625792;ursula_heim
Hallaschka_HH;2017-04-11 18:16;0;0;"Thanks for the recent follow @sto_christi @ursula_heim @Pommerenke11 Happy to connect :) have a great Tuesday. https:// commun.it/thank-you/?aid =thankyou135 …";;@sto_christi @ursula_heim @Pommerenke11;;"851861621932789761";https://twitter.com/Hallaschka_HH/status/851861621932789761;
pastorluisalvar;2017-03-17 08:08;0;0;"#thanks @PUSHAudio @ursula_heim thanks for the recent follow. Much appreciated :) Grow followers ➪ http:// bit.ly/free_followers _top_follower …";;@PUSHAudio @ursula_heim;#thanks;"842648906999697409";https://twitter.com/pastorluisalvar/status/842648906999697409;
KeineAFD2017;2017-03-02 13:52;0;0;"@ursula_heim pic.twitter.com/stdL0sxpZw";;@ursula_heim;;"837299616987107329";https://twitter.com/KeineAFD2017/status/837299616987107329;
MeMoEBFR;2017-02-03 06:40;0;1;"Offenburg: Die Hilfe ist sehr willkommen - Mitarbeiter des Jugendbüros spenden ans St.- Ursulaheim http:// ow.ly/rcaH308DypC ( @mittelbadische )";;@mittelbadische;;"827406457809170433";https://twitter.com/MeMoEBFR/status/827406457809170433;
MeMoEBFR;2017-01-26 09:02;0;0;"Offenburg: St.- Ursula-Heim bietet Wohnungslosen Schutz vor der Kälte http:// ow.ly/9TGe308mLdj ( @mittelbadische )";;@mittelbadische;;"824543015964438528";https://twitter.com/MeMoEBFR/status/824543015964438528;
KickOutTheUS;2016-07-21 11:00;0;0;"Merkel hat das Blut Deutscher an den Händen. Daher #AfD wählen.";;;#AfD;"756081307189403648";https://twitter.com/KickOutTheUS/status/756081307189403648;ursula_heim
