username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1952kvn;2017-11-03 21:19;0;0;"А спец находится в плохой форме судя по его заявлениям";;;;"926559513515356162";https://twitter.com/1952kvn/status/926559513515356162
1952kvn;2017-11-03 19:11;0;0;"Попробовали бы бомбить Мало не показалось бы";;;;"926527387214532608";https://twitter.com/1952kvn/status/926527387214532608
1952kvn;2017-11-03 15:28;0;0;"Такому придурку можем уступить койку в психушке";;;;"926471156907077633";https://twitter.com/1952kvn/status/926471156907077633
1952kvn;2017-11-03 15:26;0;0;"Чапаев";;;;"926470734804811776";https://twitter.com/1952kvn/status/926470734804811776
1952kvn;2017-11-03 15:24;0;0;"Явно увезли в психушку";;;;"926470060830547968";https://twitter.com/1952kvn/status/926470060830547968
1952kvn;2017-11-03 15:22;0;0;"Придурков хватает";;;;"926469606688133121";https://twitter.com/1952kvn/status/926469606688133121
1952kvn;2017-11-03 15:19;0;0;"Да жаль США-куда они катятся";;;;"926468983292878851";https://twitter.com/1952kvn/status/926468983292878851
1952kvn;2017-11-03 15:17;0;0;"Вам уже ничего не поможет-тем более вот такая фигня";;;;"926468438234664960";https://twitter.com/1952kvn/status/926468438234664960
1952kvn;2017-11-03 15:13;1;0;"Нет";;;;"926467492318412800";https://twitter.com/1952kvn/status/926467492318412800
1952kvn;2017-11-03 05:06;0;1;"Оговорка по Фрейду";;;;"926314622273146880";https://twitter.com/1952kvn/status/926314622273146880
1952kvn;2017-11-03 05:05;0;0;"Глупость нельзя понять";;;;"926314487203975169";https://twitter.com/1952kvn/status/926314487203975169
1952kvn;2017-11-03 05:03;0;0;"Опять нас дурят";;;;"926313770460307456";https://twitter.com/1952kvn/status/926313770460307456
1952kvn;2017-11-03 05:02;1;0;"Праздновали бы с удовольствием";;;;"926313569427353603";https://twitter.com/1952kvn/status/926313569427353603
1952kvn;2017-11-03 05:00;0;0;"Зачем думать о людях ?";;;;"926313200378941440";https://twitter.com/1952kvn/status/926313200378941440
1952kvn;2017-11-03 05:00;0;1;"Россия была наивной посчитав Запад партнёром";;;;"926312995952713728";https://twitter.com/1952kvn/status/926312995952713728
1952kvn;2017-11-03 04:58;0;0;"Конечно Они все хорошо устроились а мы должны оберегать их благополучие";;;;"926312673595322368";https://twitter.com/1952kvn/status/926312673595322368
1952kvn;2017-11-03 04:57;0;0;"Все за Давно пора";;;;"926312291997495296";https://twitter.com/1952kvn/status/926312291997495296
