username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
5x;2017-11-03 20:15;0;2;"Все пздц,теперь жители Оттавы и Ванкувера никогда не смогут посетить Пермский край и Саранск и набрать биоматериалов";;;;"926543413713014785";https://twitter.com/5x/status/926543413713014785
5x;2017-11-03 19:36;0;0;"ужас какой - канадцы не смогу посещать Мухосранск и Зажопинск http:// interfax.ru/586135";;;;"926533521950298112";https://twitter.com/5x/status/926533521950298112
5x;2017-11-03 19:35;0;0;"ужас какой - канадцы не смогу посещать Мухосранск и Зажопинск http:// m.interfax.ru/586135?utm_sou rce=mob&utm_medium=cpc&utm_campaign=mob …";;;;"926533305998200832";https://twitter.com/5x/status/926533305998200832
5x;2017-11-03 17:27;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/fZFZA6YjvLH …";;;;"926501192766820352";https://twitter.com/5x/status/926501192766820352
5x;2017-11-03 16:37;0;0;"Рузькемиръ он такой....";;;;"926488532641861632";https://twitter.com/5x/status/926488532641861632
5x;2017-11-03 15:44;0;0;"СТРАННАЯ КНИГА ПО ДОМОВОДСТВУ 1960 ГОДА! Пока читала, думала помру. Подробнее в этом ВИДЕО! https://www. shabl.pro/post/10041";;;;"926475281828909056";https://twitter.com/5x/status/926475281828909056
5x;2017-11-03 11:52;0;0;"http:// maxpark.com/community/4765 /content/6064128#share …";;;#share;"926416692682600448";https://twitter.com/5x/status/926416692682600448
5x;2017-11-03 10:27;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/fZFZA6YjvLH …";;;;"926395293104574464";https://twitter.com/5x/status/926395293104574464
5x;2017-11-03 09:57;0;0;"А вот при Бараке так возмутительно не давили.... http:// maxpark.com/community/4765 /content/6063585 …";;;;"926387807597277185";https://twitter.com/5x/status/926387807597277185
5x;2017-11-02 16:57;0;0;":D";;;;"926131151361765378";https://twitter.com/5x/status/926131151361765378
5x;2017-11-02 05:42;2;7;"https:// plus.google.com/u/1/+uanonamen ko/posts/ScHdbnoTsGd …";;;;"925961249044729857";https://twitter.com/5x/status/925961249044729857
5x;2017-11-02 05:13;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/eQPnbG4NoMZ …";;;;"925954018177966081";https://twitter.com/5x/status/925954018177966081
5x;2017-11-02 04:26;0;0;"https:// goo.gl/NNbD6S";;;;"925942211111456768";https://twitter.com/5x/status/925942211111456768
5x;2017-11-01 19:56;0;0;"https:// scontent.fiev3-1.fna.fbcdn.net/v/t1.0-9/22886 072_1288071981299321_5196317749691904904_n.jpg?oh=6902b549c2856a96e104c83f072c2856&oe=5AA2B507 …";;;;"925813718033805313";https://twitter.com/5x/status/925813718033805313
5x;2017-11-01 16:58;0;0;"https:// goo.gl/NNbD6S";;;;"925769082724634624";https://twitter.com/5x/status/925769082724634624
5x;2017-11-01 07:43;0;1;"@mkomsomolets pic.twitter.com/7KYijv0sX4";;@mkomsomolets;;"925629281144856576";https://twitter.com/5x/status/925629281144856576
5x;2017-11-01 07:24;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/5MehPLiXoRZ …";;;;"925624658577289216";https://twitter.com/5x/status/925624658577289216
5x;2017-11-01 07:13;0;0;"https://www. mixcloud.com/pytinxyilo/2/";;;;"925621679816093696";https://twitter.com/5x/status/925621679816093696
5x;2017-10-31 19:47;3;5;"pic.twitter.com/7QZpnfrFvg";;;;"925449206139154432";https://twitter.com/5x/status/925449206139154432
5x;2017-10-31 19:01;0;0;"Хочу на остров. https:// plus.google.com/u/1/+uanonamen ko/posts/NKtdduMubQi …";;;;"925437649955033088";https://twitter.com/5x/status/925437649955033088
5x;2017-10-31 16:52;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/fqoLTJBbxN8 …";;;;"925405130853355520";https://twitter.com/5x/status/925405130853355520
5x;2017-10-31 16:48;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/fqoLTJBbxN8 …";;;;"925404095598485505";https://twitter.com/5x/status/925404095598485505
5x;2017-10-31 16:09;0;12;"Симферопольский аэропорт принимает 100500 самолёт с европы. https://www. youtube.com/watch?v=0P886J MUvdw …";;;;"925394224190717952";https://twitter.com/5x/status/925394224190717952
5x;2017-10-31 15:06;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/P6kCaAFd5CQ …";;;;"925378332077821955";https://twitter.com/5x/status/925378332077821955
5x;2017-10-31 13:22;1;5;"pic.twitter.com/Wtc2aJEzRD";;;;"925352198388768768";https://twitter.com/5x/status/925352198388768768
5x;2017-10-31 12:52;0;0;"Мне понравилось видео "Скрепометр №2 Убойная медицина" ( http:// youtu.be/Q1hRrVyNo6E?a ) на";;;;"925344767566901248";https://twitter.com/5x/status/925344767566901248
5x;2017-10-31 08:11;0;0;"https:// plus.google.com/u/1/+uanonamen ko/posts/GEedShY5jM8 …";;;;"925274026855026688";https://twitter.com/5x/status/925274026855026688
5x;2017-10-31 08:11;0;1;"https:// plus.google.com/u/1/+uanonamen ko/posts/GEedShY5jM8 …";;;;"925273931161972736";https://twitter.com/5x/status/925273931161972736
5x;2017-10-30 17:15;0;0;"Так, збирають. Тільки не на росії, а по Донбасу та Сірії. Бува цілими тушками, а бува шматками. Груз-200 https://www. gazeta.ru/social/news/20 17/10/30/n_10755632.shtml …";;;;"925048480309096448";https://twitter.com/5x/status/925048480309096448
5x;2017-10-30 12:34;0;0;"Только что сообщили, что Пол Манофорт и его помощник Рик Гейтс сдались ФБР. Т.е. добровольно с вещами пришли туда. Доброе начало!";;;;"924977832442433536";https://twitter.com/5x/status/924977832442433536
