username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Andre__Kotov;2017-11-03 22:16;0;0;"Да, люди, в погонах... Если просьба гражданина законна или идёт в его развитие на благо людям,чиновник должен быть так воспитан,чтобы помочь";;;;"926573838472830976";https://twitter.com/Andre__Kotov/status/926573838472830976
Andre__Kotov;2017-11-03 21:59;2;2;"Возможно, это не их дело, но мавзолей надо оставить, в качестве памяти о нашей революции, ВИ Ленине, ИВ Сталине... pic.twitter.com/XLEjU53sWo";;;;"926569649042489344";https://twitter.com/Andre__Kotov/status/926569649042489344
Andre__Kotov;2017-11-03 21:52;0;1;"...помним, раз даже проехал)";;;;"926567800805756928";https://twitter.com/Andre__Kotov/status/926567800805756928
Andre__Kotov;2017-10-26 16:41;0;0;"... странно, но я тоже сегодня завтракал пельменями, правда пожарил, немного отварив сначала...)";;;;"923590415449821185";https://twitter.com/Andre__Kotov/status/923590415449821185
Andre__Kotov;2017-10-26 16:39;0;0;"...хорошее чувство музыки )";;;;"923589792176246784";https://twitter.com/Andre__Kotov/status/923589792176246784
Andre__Kotov;2017-10-26 16:37;1;0;"Это больше похоже на рекламу. Мужское население - ЗА!))";;;;"923589421500420096";https://twitter.com/Andre__Kotov/status/923589421500420096
Andre__Kotov;2017-10-25 21:22;0;0;"... наверно правильнее будет сказать: " Если бы у нас на то время были вожди подобные Ленину, Сталину, китайскому Мао..."";;;;"923298685827477504";https://twitter.com/Andre__Kotov/status/923298685827477504
Andre__Kotov;2017-10-25 21:18;0;0;"...иначе и быть не могло. Ведь он член другой партии. Хотя, какая-то настальгия по СССР, а иногда и больше, присутствует во многих из нас.";;;;"923297637293371393";https://twitter.com/Andre__Kotov/status/923297637293371393
Andre__Kotov;2017-10-25 21:04;0;0;"... наверно новые патроны проверяли ) Вообще, конечно, безобразие!";;;;"923294119010582528";https://twitter.com/Andre__Kotov/status/923294119010582528
Andre__Kotov;2017-10-25 21:01;0;1;"Похоже "количества" сильно не хватало(!) и оно сильно дополнялось гением и желанием ВИ Ленина, ИВ Сталина... Но возврат "назад" был ещё хуже";;;;"923293498664562688";https://twitter.com/Andre__Kotov/status/923293498664562688
Andre__Kotov;2017-10-25 20:56;0;0;"!)))";;;;"923292258174083072";https://twitter.com/Andre__Kotov/status/923292258174083072
Andre__Kotov;2017-10-25 20:53;0;0;"Уточнение -...по какому то там международному праву. Это легче. Но, какая её, лично, позиция по этому вопросу, как россиянки? Это не ясно.";;;;"923291542478925826";https://twitter.com/Andre__Kotov/status/923291542478925826
Andre__Kotov;2017-10-25 20:49;0;15;"Инженерам бы такую "традицию", в миг Россия бы с колен поднялась!";;;;"923290451821711360";https://twitter.com/Andre__Kotov/status/923290451821711360
Andre__Kotov;2017-10-25 20:48;0;1;"Этих "Борисов Джонсанов" там "каждый день" меняют. Что значат его слова, в таком случае - ничего или почти ничего...";;;;"923290179724627968";https://twitter.com/Andre__Kotov/status/923290179724627968
Andre__Kotov;2017-10-25 20:43;0;0;"Китайцы правильно перестроились, мудро! Нам этой мудрости, а может и порядочности, не хватило. И наш ИВ Сталин рано умер в отличии от их Мао";;;;"923289009287303168";https://twitter.com/Andre__Kotov/status/923289009287303168
Andre__Kotov;2017-10-25 20:38;0;0;"Моя бабушка, царство ей небесное, говорила: "Андрей, плетью обуха не перешибёшь! Не бросай бисер перед свиньями..." Берегите себя Наталья.";;;;"923287755127513088";https://twitter.com/Andre__Kotov/status/923287755127513088
Andre__Kotov;2017-10-25 20:36;0;0;"Там приятная "балерина" и деньги, деньги за прокат хотят получить...)";;;;"923287046847950848";https://twitter.com/Andre__Kotov/status/923287046847950848
Andre__Kotov;2017-10-25 20:33;0;0;"Сделать и такую фотку не проблема...)";;;;"923286458567405568";https://twitter.com/Andre__Kotov/status/923286458567405568
Andre__Kotov;2017-10-25 20:32;0;0;"Хороший оратор и не плохо информирован. Подкупает и то, что ему "позволено" "рубить правду-матку". Но с таким президентом было бы опасно...)";;;;"923286100847812609";https://twitter.com/Andre__Kotov/status/923286100847812609
Andre__Kotov;2017-10-20 20:27;0;1;"Им будет трудно, первое время, работать в структуре, созданной прежними губернаторами.";;;;"921472919183781893";https://twitter.com/Andre__Kotov/status/921472919183781893
Andre__Kotov;2017-10-20 20:16;0;0;"Психуют те, кто пользуясь положением у власти, просто поделил между собой народное добро и не желают признать, что добились не умом и трудом";;;;"921470292660314112";https://twitter.com/Andre__Kotov/status/921470292660314112
Andre__Kotov;2017-10-20 20:10;0;0;"... много женщин";;;;"921468691191123968";https://twitter.com/Andre__Kotov/status/921468691191123968
Andre__Kotov;2017-10-20 20:02;0;1;"Это ДА! Жаль мы с Кубы убрали...";;;;"921466554734309377";https://twitter.com/Andre__Kotov/status/921466554734309377
Andre__Kotov;2017-10-20 20:00;0;0;"))";;;;"921466296843362314";https://twitter.com/Andre__Kotov/status/921466296843362314
Andre__Kotov;2017-10-20 19:58;0;0;"И это правильно.Почему только надо было дожидаться случая в школе.Но охотникам,имеющим нарезное оружие-людям надёжным, разрешил бы пистолеты";;;;"921465582196875264";https://twitter.com/Andre__Kotov/status/921465582196875264
Andre__Kotov;2017-10-20 19:52;0;0;"Борьба с курением важна, также как: ОСАГО, детские кресла, зимняя резина, каски и, вообще, до хрена всего обязательного для простых людей))";;;;"921464177994141696";https://twitter.com/Andre__Kotov/status/921464177994141696
Andre__Kotov;2017-10-20 19:45;0;0;"Не очень впечатляет. Если ракет будет 50, и что, все "Торы" выстрелят по одной? Надо как-то зону неба с группой ракет поделить между ними...";;;;"921462444744237057";https://twitter.com/Andre__Kotov/status/921462444744237057
Andre__Kotov;2017-10-20 19:28;0;0;"Это называется не уместный юмор. И, кто это "проказница мартышка" и остальные?";;;;"921458025713594369";https://twitter.com/Andre__Kotov/status/921458025713594369
Andre__Kotov;2017-10-20 19:07;0;1;"...Белка и Стрелка!))";;;;"921452728072785921";https://twitter.com/Andre__Kotov/status/921452728072785921
Andre__Kotov;2017-10-20 18:31;0;0;"...на Годзиллу похож)";;;;"921443759484751873";https://twitter.com/Andre__Kotov/status/921443759484751873
Andre__Kotov;2017-10-20 18:27;0;0;"...российский народ не тупой";;;;"921442786548834311";https://twitter.com/Andre__Kotov/status/921442786548834311
Andre__Kotov;2017-10-19 10:59;0;0;"Другие, что в Думе, намного меньше получили(?), а их и не видно и не слышно...)";;;;"920967523243307008";https://twitter.com/Andre__Kotov/status/920967523243307008
