username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AurtyB;2017-11-03 21:20;0;0;"send them to mueller";;;;"926559616904855552";https://twitter.com/AurtyB/status/926559616904855552
AurtyB;2017-11-03 21:19;0;0;"i don't give a care";;;;"926559512319971328";https://twitter.com/AurtyB/status/926559512319971328
AurtyB;2017-11-03 21:19;0;0;"i don't care convo was about Bernie fundraising 4 down ticket candidates U want 2 talk about everything else Bernie released taxes eff tRump";;;;"926559444418420738";https://twitter.com/AurtyB/status/926559444418420738
AurtyB;2017-11-03 20:59;0;0;"what debt? Obama was the 1st Presidential candidate to raise +$1 Billion dollars & had excess $$$ from inauguration. What debt?";;;;"926554533127389185";https://twitter.com/AurtyB/status/926554533127389185
AurtyB;2017-11-03 20:56;0;0;"also sounds illegal";;;;"926553709739433986";https://twitter.com/AurtyB/status/926553709739433986
AurtyB;2017-11-03 19:02;0;0;"if you are blaming him for DNC bankruptcy then what else could you mean? Please explain Thanks";;;;"926524936147136513";https://twitter.com/AurtyB/status/926524936147136513
AurtyB;2017-11-03 18:49;0;0;"It's illegal 4 non-profits 2 use funds 4 purposes other then stated reason for asking/donated. So Obama moved DNC $ to OFA sounds illegal";;;;"926521748157329408";https://twitter.com/AurtyB/status/926521748157329408
AurtyB;2017-11-03 18:48;0;0;"It's illegal 4 non-profits 2 use funds for purposes other then stated as reason for asking/donated. Obama moved DNC $ to OFA sounds illegal?";;;;"926521524986793986";https://twitter.com/AurtyB/status/926521524986793986
AurtyB;2017-11-03 17:57;0;0;"#BlackLove";;;#BlackLove;"926508609235714056";https://twitter.com/AurtyB/status/926508609235714056
AurtyB;2017-11-03 17:52;0;1;"yes";;;;"926507441155657729";https://twitter.com/AurtyB/status/926507441155657729
AurtyB;2017-11-03 17:06;0;0;"no but you feel free 2 do so...";;;;"926495924460892160";https://twitter.com/AurtyB/status/926495924460892160
AurtyB;2017-11-03 17:06;2;3;"Republicans are scared of popular DEMs that can raise $ + inspire millions to act!";;;;"926495703039430657";https://twitter.com/AurtyB/status/926495703039430657
AurtyB;2017-11-03 16:59;0;0;"yes its just obvious the trolls want to keep the destructive lies going especially about Bernie & Obama DEMS most popular Elected officials";;;;"926493985144737792";https://twitter.com/AurtyB/status/926493985144737792
AurtyB;2017-11-03 16:53;0;0;"tRump didn't release any";;;;"926492588122701827";https://twitter.com/AurtyB/status/926492588122701827
AurtyB;2017-11-03 16:48;0;0;"They all fulfilled their obligations. Where is the $?";;;;"926491350568185856";https://twitter.com/AurtyB/status/926491350568185856
AurtyB;2017-11-03 16:46;0;0;"Obama was the 1st Presidential candidate 2 raise = +$1 BILLION Bernie ran as a DEM & raised avg $27 from + 45 million ppl & Clinton raised $";;;;"926490748341669889";https://twitter.com/AurtyB/status/926490748341669889
