username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Billy_Hashtag;2017-11-02 01:35;1;3;"I'm touched Amy, but I'm busy.";;;;"925899245617664000";https://twitter.com/Billy_Hashtag/status/925899245617664000
Billy_Hashtag;2017-11-02 01:30;10;44;"#DontThinkICanLiveWithout coffee. pic.twitter.com/FkhrxuVF5w";;;#DontThinkICanLiveWithout;"925897884939190275";https://twitter.com/Billy_Hashtag/status/925897884939190275
Billy_Hashtag;2017-11-02 01:29;16;49;"#DontThinkICanLiveWithout The Beatles. pic.twitter.com/ghBiocQ67U";;;#DontThinkICanLiveWithout;"925897736477642754";https://twitter.com/Billy_Hashtag/status/925897736477642754
Billy_Hashtag;2017-11-02 00:24;0;6;"You poor little thing. I guess that is what the jealous do... take cheap shots.";;;;"925881306088697859";https://twitter.com/Billy_Hashtag/status/925881306088697859
Billy_Hashtag;2017-11-01 23:55;0;6;"I looked at the list. Meh. I'm not worried.";;;;"925874053667319809";https://twitter.com/Billy_Hashtag/status/925874053667319809
Billy_Hashtag;2017-11-01 23:47;0;4;"Jealous much there Shell.";;;;"925871856879656960";https://twitter.com/Billy_Hashtag/status/925871856879656960
Billy_Hashtag;2017-11-01 23:46;0;5;"Yeah I'm back. Elton John wrote a song about that.";;;;"925871720321421312";https://twitter.com/Billy_Hashtag/status/925871720321421312
Billy_Hashtag;2017-11-01 23:45;1;8;"I should be first. I'm prettier than the others on this list.";;;;"925871350308327424";https://twitter.com/Billy_Hashtag/status/925871350308327424
Billy_Hashtag;2017-11-01 01:26;0;0;"I don't know I just sar on her rug biding my time drinking her wine.";;;;"925534587253678082";https://twitter.com/Billy_Hashtag/status/925534587253678082
Billy_Hashtag;2017-11-01 01:21;0;2;"Hmmm... at least I didn't pay a cover charge to hear this joke.";;;;"925533164902211584";https://twitter.com/Billy_Hashtag/status/925533164902211584
Billy_Hashtag;2017-11-01 01:19;1;2;"Yeah @VercettiCJ doesn't count. He paid to be Twitter Famous.";;@VercettiCJ;;"925532751343837185";https://twitter.com/Billy_Hashtag/status/925532751343837185
Billy_Hashtag;2017-11-01 01:17;1;1;"pic.twitter.com/jwJBHDlDXm";;;;"925532301806788608";https://twitter.com/Billy_Hashtag/status/925532301806788608
Billy_Hashtag;2017-11-01 01:05;1;2;"Yeah. I'm just glad you went to the doctor and got rid of that.";;;;"925529243957817350";https://twitter.com/Billy_Hashtag/status/925529243957817350
Billy_Hashtag;2017-11-01 01:04;2;3;"I think the number is up to 4. It gets higher every week.";;;;"925528889606246401";https://twitter.com/Billy_Hashtag/status/925528889606246401
Billy_Hashtag;2017-11-01 01:02;1;2;"I'm glad you saw a Doctor. Yeah, I don't know what scruples means.";;;;"925528512479588352";https://twitter.com/Billy_Hashtag/status/925528512479588352
Billy_Hashtag;2017-11-01 01:01;0;1;"This is disturbing. No wonder why I like you.";;;;"925528167720325127";https://twitter.com/Billy_Hashtag/status/925528167720325127
Billy_Hashtag;2017-11-01 01:00;0;1;"I wonder if that would work to get out of work";;;;"925528022102564864";https://twitter.com/Billy_Hashtag/status/925528022102564864
Billy_Hashtag;2017-11-01 00:53;2;5;"Okay you knew I would retweet this. Well played. pic.twitter.com/RddQaP34pF";;;;"925526169272946688";https://twitter.com/Billy_Hashtag/status/925526169272946688
Billy_Hashtag;2017-11-01 00:52;0;1;"That's great.";;;;"925525825260347398";https://twitter.com/Billy_Hashtag/status/925525825260347398
Billy_Hashtag;2017-11-01 00:51;0;1;"Me too. Uh what were we talking about again.";;;;"925525566928941057";https://twitter.com/Billy_Hashtag/status/925525566928941057
Billy_Hashtag;2017-11-01 00:50;0;2;"Really? I didn't know Twitter took reservations?";;;;"925525293762260993";https://twitter.com/Billy_Hashtag/status/925525293762260993
Billy_Hashtag;2017-11-01 00:47;0;0;"In the bedroom closet. Don't ask how I know, I just know okay?";;;;"925524774603952129";https://twitter.com/Billy_Hashtag/status/925524774603952129
Billy_Hashtag;2017-11-01 00:46;1;1;"I don't get it. Couldn't just go to an Italian restaurant?";;;;"925524532357685248";https://twitter.com/Billy_Hashtag/status/925524532357685248
Billy_Hashtag;2017-11-01 00:42;0;2;"That's a Bad Santa. Wait was it Billy Bob?";;;;"925523306446454789";https://twitter.com/Billy_Hashtag/status/925523306446454789
Billy_Hashtag;2017-11-01 00:40;0;1;"I loved you in American Beauty Mr. GNURB.";;;;"925522983480852480";https://twitter.com/Billy_Hashtag/status/925522983480852480
Billy_Hashtag;2017-11-01 00:40;0;1;"Nothing wrong with that.";;;;"925522806124793856";https://twitter.com/Billy_Hashtag/status/925522806124793856
Billy_Hashtag;2017-11-01 00:39;0;1;"I'll take it. I'm not picky.";;;;"925522609369944065";https://twitter.com/Billy_Hashtag/status/925522609369944065
Billy_Hashtag;2017-11-01 00:35;0;0;"I'll tell them you're ok.";;;;"925521682932125697";https://twitter.com/Billy_Hashtag/status/925521682932125697
Billy_Hashtag;2017-11-01 00:34;1;3;"Talking Heads POINTS!";;;;"925521359165325313";https://twitter.com/Billy_Hashtag/status/925521359165325313
Billy_Hashtag;2017-11-01 00:32;39;79;"#IOnceHad a great tweet. Why are you laughing? It's true! pic.twitter.com/W1QpmUfzD1";;;#IOnceHad;"925520949658685440";https://twitter.com/Billy_Hashtag/status/925520949658685440
Billy_Hashtag;2017-11-01 00:30;26;70;"#IOnceHad a girl, Or should I say she once had me. She showed me her room, Isn't it good, Norwegian Wood. pic.twitter.com/ZHohYHWq04";;;#IOnceHad;"925520288804163584";https://twitter.com/Billy_Hashtag/status/925520288804163584
Billy_Hashtag;2017-10-31 19:25;2;5;"That new AVI is the scariest thing you ever posted on Twitter.";;;;"925443657968373761";https://twitter.com/Billy_Hashtag/status/925443657968373761
Billy_Hashtag;2017-10-31 14:13;5;8;"I'm coming as @KeshaTedder the Goat Princess. pic.twitter.com/qymRIC79X2";;@KeshaTedder;;"925365154409275392";https://twitter.com/Billy_Hashtag/status/925365154409275392
Billy_Hashtag;2017-10-29 15:37;7;37;"#NeverSaidInAMensLockerRoom Want to go shopping for shoes after this?";;;#NeverSaidInAMensLockerRoom;"924661375397453824";https://twitter.com/Billy_Hashtag/status/924661375397453824
Billy_Hashtag;2017-10-29 06:31;5;16;"#DirtyHalloweenTreats S & M's";;;#DirtyHalloweenTreats;"924524041993637894";https://twitter.com/Billy_Hashtag/status/924524041993637894
Billy_Hashtag;2017-10-29 05:59;4;9;"Great game. Thanks to everyone that played and Thanks to @1UpTags for a great debut showing.";;@1UpTags;;"924515934336724992";https://twitter.com/Billy_Hashtag/status/924515934336724992
