username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BleyJennifer;2017-11-03 21:03;0;0;"Ihre Reaktionen haben mich auch überrascht. Jedenfalls ist meine TL jetzt langweiliger. Schade. Schönes Wochenende.";;;;"926555474845192192";https://twitter.com/BleyJennifer/status/926555474845192192
BleyJennifer;2017-11-03 21:01;0;2;"Das Gefühl habe ich auch. Vor allem Provokation. So outen sich wohl weibliche türk. Kotzbrocken im Vergleich zu den sonst männlichen";;;;"926554993158651905";https://twitter.com/BleyJennifer/status/926554993158651905
BleyJennifer;2017-11-03 20:54;0;0;"Schon gut. Es war keine Wertung. Ich wollte mich nur mal informieren. Nicht mehr und nicht weniger. Nacht.";;;;"926553310311612416";https://twitter.com/BleyJennifer/status/926553310311612416
BleyJennifer;2017-11-03 20:49;0;1;"Bist du sicher, daß Kopftuch gleich Scharia heißt? In Gelsenkirchen habe ich eine gefragt, warum sie es trägt. Sie sagte, sie fände es schön";;;;"926551939927724032";https://twitter.com/BleyJennifer/status/926551939927724032
BleyJennifer;2017-11-03 13:51;0;2;"Für Bürokraten gibt es keine Gründe, die absurd genug wären, um ihre Entscheidungen zu rechtfertigen. #Behördenidiotie";;;#Beh;"926446774490984448";https://twitter.com/BleyJennifer/status/926446774490984448
BleyJennifer;2017-11-03 13:50;0;0;"Den kenne ich zwar nicht, aber nichts könnte dreckiger sein, als IS-Propaganda. Wahrscheinlich brauchen Ermittler sie als "Arbeitsgrundlage"";;;;"926446369879023616";https://twitter.com/BleyJennifer/status/926446369879023616
BleyJennifer;2017-11-03 13:46;0;0;"Wußte ich zwar nicht, kann ich mir aber gut vorstellen. #DenkSprachpolizei";;;#DenkSprachpolizei;"926445559531167744";https://twitter.com/BleyJennifer/status/926445559531167744
BleyJennifer;2017-11-03 13:30;0;0;"Dem ging aber ein Streitgespäch zw @MiriamÖzen und mir voraus. Ich weiß nicht ob du das verfolgt hast. Deshalb war sie sowieso schon geladen";;@Miriam;;"926441358390452224";https://twitter.com/BleyJennifer/status/926441358390452224
BleyJennifer;2017-11-03 13:23;2;3;"Mich blockierte @MiriamÖzen gestern nach beiden Tweets: der1. war ob sie auch erotische Photos von Männern habe, ich stünde nicht auf Frauen";;@Miriam;;"926439816065179648";https://twitter.com/BleyJennifer/status/926439816065179648
BleyJennifer;2017-11-03 13:17;0;0;"Sei vorsichtig, was du sagst, das kann @MiriamÖzen und auf #metoo auch als sexuelle Belästigung aufgefaßt werden. #GedankenSprachpolizei";;@Miriam;#metoo #GedankenSprachpolizei;"926438211362148352";https://twitter.com/BleyJennifer/status/926438211362148352
