username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CheefAthlon;2017-11-03 17:56;0;0;"тогда почему нарушаешь третий закон?";;;;"926508470832173056";https://twitter.com/CheefAthlon/status/926508470832173056
CheefAthlon;2017-11-03 17:04;0;0;"@yaga_blya_ru944 наш президент!";;@yaga_blya_ru944;;"926495419168935936";https://twitter.com/CheefAthlon/status/926495419168935936
CheefAthlon;2017-11-02 15:18;0;0;"Goblin News 29: мнение Собчак про Сталина, жертвы Коричневой революции и... https:// youtu.be/06_7P2F7yD4 с помощью @YouTube";;@YouTube;;"926106264672796672";https://twitter.com/CheefAthlon/status/926106264672796672
CheefAthlon;2017-11-01 06:37;0;0;"Смешнее другое- есть люди которые свято верят что Путин возродит СССР v2.0";;;;"925612825334239232";https://twitter.com/CheefAthlon/status/925612825334239232
CheefAthlon;2017-11-01 05:10;0;0;"А вы что , замёрзли ? Доброе утро.";;;;"925590817166807040";https://twitter.com/CheefAthlon/status/925590817166807040
CheefAthlon;2017-11-01 04:15;0;0;"Доброе? Утро?";;;;"925577078459785216";https://twitter.com/CheefAthlon/status/925577078459785216
CheefAthlon;2017-10-31 22:19;0;0;"one person followed me and 2 people unfollowed me // automatically checked by http:// fllwrs.com";;;;"925487471751819264";https://twitter.com/CheefAthlon/status/925487471751819264
CheefAthlon;2017-10-31 17:53;0;0;"без танка и хила пошел";;;;"925420444974485505";https://twitter.com/CheefAthlon/status/925420444974485505
CheefAthlon;2017-10-31 17:51;0;0;"Эпик фэйл на РБ https:// twitter.com/Marfacigareta/ status/925411746873073664 …";;;;"925420052937170945";https://twitter.com/CheefAthlon/status/925420052937170945
CheefAthlon;2017-10-31 15:41;0;0;"Заорал ! https:// twitter.com/sibiriy2016/st atus/925386074628808707 …";;;;"925387215831797760";https://twitter.com/CheefAthlon/status/925387215831797760
CheefAthlon;2017-10-31 15:02;0;0;"Зверски мучает вопрос - а борцы с 'Матильдой' празднуют Хеллоуин ?";;;;"925377404792696833";https://twitter.com/CheefAthlon/status/925377404792696833
CheefAthlon;2017-10-31 11:26;0;0;"I have 4 new followers from USA, and more last week. See http:// tweepsmap.com/!CheefAthlon pic.twitter.com/Z9F1PJnWBb";;;;"925323050060599306";https://twitter.com/CheefAthlon/status/925323050060599306
CheefAthlon;2017-10-31 10:30;0;0;"начните с телеканалов и бесконечных "бандитских сериалов' https:// twitter.com/RT_russian/sta tus/925308346990768129 …";;;;"925308886697041921";https://twitter.com/CheefAthlon/status/925308886697041921
CheefAthlon;2017-10-31 10:18;0;0;"нет ли тут скрытой гомофобии? https:// twitter.com/meduzaproject/ status/925305380191854592 …";;;;"925305875908255746";https://twitter.com/CheefAthlon/status/925305875908255746
CheefAthlon;2017-10-31 10:08;5;1;"Ленинград #МояСтенаПлача pic.twitter.com/VoBPG6LtLC";;;#;"925303392683155458";https://twitter.com/CheefAthlon/status/925303392683155458
CheefAthlon;2017-10-31 09:49;0;0;"из серии-все для народа https:// twitter.com/EvilRussianDr/ status/925258573432672257 …";;;;"925298645704028160";https://twitter.com/CheefAthlon/status/925298645704028160
CheefAthlon;2017-10-31 09:45;0;0;"#ДляГааги #37Год https:// twitter.com/PPKaschenko/st atus/925296740466556929 …";;;# #37;"925297592661135361";https://twitter.com/CheefAthlon/status/925297592661135361
CheefAthlon;2017-10-31 06:52;0;0;"глядя на некоторые страницы иногда вспоминается-'много званных но мало избраных";;;;"925254018863124480";https://twitter.com/CheefAthlon/status/925254018863124480
CheefAthlon;2017-10-31 06:47;0;0;"сильно-мое почтение https:// twitter.com/volkova__v/sta tus/925074332942065664 …";;;;"925252798350086144";https://twitter.com/CheefAthlon/status/925252798350086144
CheefAthlon;2017-10-31 06:41;0;1;"неистово рукопожимаю. Доброе утро.";;;;"925251279114461184";https://twitter.com/CheefAthlon/status/925251279114461184
