username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CrimeaShatun;2017-11-03 20:17;0;0;"Расскажите ка нам как там дела на украинских металлургических комбинатах?)) Работают в 4 смены?)) Чи ждут?";;;;"926543924814139392";https://twitter.com/CrimeaShatun/status/926543924814139392
CrimeaShatun;2017-11-03 19:53;0;0;"Просто шедевр)))) pic.twitter.com/QHLifmnVox";;;;"926537868838932481";https://twitter.com/CrimeaShatun/status/926537868838932481
CrimeaShatun;2017-11-03 19:49;4;2;"Просто украиские СМИ))) Как тут не шизанёшься?))) pic.twitter.com/OjhV9VjkwJ";;;;"926536857499947008";https://twitter.com/CrimeaShatun/status/926536857499947008
CrimeaShatun;2017-11-03 18:23;0;0;"Клоуны совдеповские, а причем тут крымские или рымские?)))) Как могут граждане РФ получать визу вна Украине?))) Какая связь между географическим нахождением человека и получением визы? Виза выдается по месту гражданства человека)))";;;;"926515168028299265";https://twitter.com/CrimeaShatun/status/926515168028299265
CrimeaShatun;2017-11-03 16:13;0;0;"У меня точно также только без "Алилуйя!!!" http:// coub.com/view/7d88z";;;;"926482581603913728";https://twitter.com/CrimeaShatun/status/926482581603913728
CrimeaShatun;2017-11-03 16:13;0;1;"Что значит отказываются декоммунизироваться? В тюрьму их как агентов Путина))";;;;"926482482781982720";https://twitter.com/CrimeaShatun/status/926482482781982720
CrimeaShatun;2017-11-03 14:21;0;3;"Следующую партию оружия продадут чуть дороже)))))";;;;"926454393905582080";https://twitter.com/CrimeaShatun/status/926454393905582080
CrimeaShatun;2017-11-03 07:13;0;1;"А потом "весьмирснами" будут стенать по поводу нарушений прав человека в Крыму)))";;;;"926346536979705862";https://twitter.com/CrimeaShatun/status/926346536979705862
CrimeaShatun;2017-11-03 06:53;1;4;"Будет очень справедливо на ближайшее крупное медиамероприятие лишить аккредитации австрийских журналистов";;;;"926341518486622208";https://twitter.com/CrimeaShatun/status/926341518486622208
CrimeaShatun;2017-11-02 19:53;0;0;"Так СБУ через день ловит агентов и генералов ФСБ, где они все, кроме влажных фантазий СБУ...? Хотя... свидомые и не тайкое лайно схавают...";;;;"926175507129032710";https://twitter.com/CrimeaShatun/status/926175507129032710
CrimeaShatun;2017-11-02 19:21;1;10;"Главное не заниматься коррупцией...";;;;"926167453348122624";https://twitter.com/CrimeaShatun/status/926167453348122624
CrimeaShatun;2017-11-02 14:52;1;1;"Это сказал человек, который носится с портретом царя Николая?";;;;"926099709613281281";https://twitter.com/CrimeaShatun/status/926099709613281281
CrimeaShatun;2017-11-02 06:41;1;2;"И патологоанатом может быть круглой дурой, как мы сейчас видим)))";;;;"925976264447578112";https://twitter.com/CrimeaShatun/status/925976264447578112
CrimeaShatun;2017-11-02 06:40;2;1;"А всего то надо было глава ВТБ прийти на встречу инвесторов в костюме Сталина)))";;;;"925975839363293184";https://twitter.com/CrimeaShatun/status/925975839363293184
CrimeaShatun;2017-11-02 06:27;1;7;"Теперь Россия может снять любого министра обороны европейского))) надо просто чтобы какая то женщина заявила что ее трогали за коленку!!!";;;;"925972533316407296";https://twitter.com/CrimeaShatun/status/925972533316407296
CrimeaShatun;2017-11-01 21:27;0;1;"Это местная вода))) Не из украины завезенная)) просто этикеток в свое время напечатали, не выбрасывать же теперь))";;;;"925836788303835137";https://twitter.com/CrimeaShatun/status/925836788303835137
CrimeaShatun;2017-11-01 10:59;1;3;"Обделался граждан Литвы, кстати)))";;;;"925678595036639233";https://twitter.com/CrimeaShatun/status/925678595036639233
CrimeaShatun;2017-11-01 09:28;1;0;"Судя по кислому выражению лица Петра @poroshenko инвестий не дали)))) https:// twitter.com/poroshenko/sta tus/925652471728496640 …";;@poroshenko;;"925655763598573568";https://twitter.com/CrimeaShatun/status/925655763598573568
CrimeaShatun;2017-11-01 06:37;1;12;"Кучеру)) А из моих знакомых ни один из страны не уехал)) Может у тебя такие друзья просто?)))";;;;"925612811660812288";https://twitter.com/CrimeaShatun/status/925612811660812288
CrimeaShatun;2017-10-31 15:18;0;0;"Исправьте, пожалуйста, на "повешенной"";;;;"925381486487928832";https://twitter.com/CrimeaShatun/status/925381486487928832
CrimeaShatun;2017-10-31 14:40;0;2;"Украинки уже насосали биоматериала на Ленинградке))";;;;"925372001170182144";https://twitter.com/CrimeaShatun/status/925372001170182144
CrimeaShatun;2017-10-31 12:39;0;0;"ТО есть он отомстил чеченцам за свое покушение?";;;;"925341347736883200";https://twitter.com/CrimeaShatun/status/925341347736883200
CrimeaShatun;2017-10-31 12:36;1;0;"Билеты на 2 ноября Симферополь-Москва. Антимонопольный комитет, ау!!!!!!!!!! pic.twitter.com/sRhvgEdArr";;;;"925340756839157762";https://twitter.com/CrimeaShatun/status/925340756839157762
CrimeaShatun;2017-10-31 12:35;0;0;"Украинки уже столько биологических образцов на Ленинградке набрали...";;;;"925340389334233088";https://twitter.com/CrimeaShatun/status/925340389334233088
CrimeaShatun;2017-10-31 11:51;0;0;"Обидно сейчас стало народному протесту))) Они то себя политиками считают))";;;;"925329470445191168";https://twitter.com/CrimeaShatun/status/925329470445191168
CrimeaShatun;2017-10-31 11:49;0;2;"А где встречная резолюция РФ о невозможности обучения на русском языке вна Украине?";;;;"925328927748390914";https://twitter.com/CrimeaShatun/status/925328927748390914
CrimeaShatun;2017-10-31 06:27;1;1;"А что Фейгину в Крыму делать?)) Сами же написали, что парады геев в Крыму заперещены)) Значит и ему тут делать нечего и никто из крымчан не расстроится)) https:// twitter.com/krymrealii/sta tus/925229847747743744 …";;;;"925247735841935360";https://twitter.com/CrimeaShatun/status/925247735841935360
CrimeaShatun;2017-10-31 06:19;0;0;"Самая сильная цитата бойца: Честный бой с Россией – это не самый лучший вариант". Поэтому Амина просто убивала своих сограждан - украинцев.";;;;"925245795414265856";https://twitter.com/CrimeaShatun/status/925245795414265856
CrimeaShatun;2017-10-31 01:45;0;0;"Давно пора уже его снять, все земляки в шоке от его афер.";;;;"925176894768771072";https://twitter.com/CrimeaShatun/status/925176894768771072
CrimeaShatun;2017-10-31 00:45;2;0;"Ожидаемая реакция на убийство Акуевой... действительно, светлый человек, а то что убивала своих же украинцев, то такое.. Главное из РФ никого не впускать и все наладится.. pic.twitter.com/GJF27tIsWl";;;;"925161657583710208";https://twitter.com/CrimeaShatun/status/925161657583710208
CrimeaShatun;2017-10-30 23:15;0;0;"Мы такие)) Мы всех президентов в мире назначаем))) и вас кондитером наказали))";;;;"925139001325117441";https://twitter.com/CrimeaShatun/status/925139001325117441
CrimeaShatun;2017-10-30 22:29;1;2;"Очередной укроЭксперд жестоко унизил мужа Окуевой...)) Ну и попутно раскрыл убийство... Делов то... pic.twitter.com/ov7g3b4X03";;;;"925127480184393729";https://twitter.com/CrimeaShatun/status/925127480184393729
CrimeaShatun;2017-10-30 22:04;2;0;"Это точно))) Наши дети уже не знают элементарного... хотя, казалось бы, у них на порядок больше возможностей. https:// twitter.com/Albertich61/st atus/924970358201114624 …";;;;"925121259607871492";https://twitter.com/CrimeaShatun/status/925121259607871492
CrimeaShatun;2017-10-30 21:05;0;1;"Он уже себе и алиби подготовил, мол как раз с ней о встрече договорился... https:// twitter.com/hamlet_ru/stat us/925084125354184711 …";;;;"925106359598755840";https://twitter.com/CrimeaShatun/status/925106359598755840
CrimeaShatun;2017-10-30 20:49;1;17;"А почему адвокатом у Сытина не Фейгин?)))";;;;"925102281774821378";https://twitter.com/CrimeaShatun/status/925102281774821378
CrimeaShatun;2017-10-30 19:22;2;2;"Я научился смотреть в будущее!!!!! "Покушение устроили агенты ФСБ, чтобы дестабилизировать ситуацию в Украине!!!". Советник министра МВД Антон Геращенко. Уф!!! Надеюсь успел быстрее Геращенко это написать))) https:// twitter.com/CMEPTUHET1417/ status/925078616488235008 …";;;;"925080609340477440";https://twitter.com/CrimeaShatun/status/925080609340477440
CrimeaShatun;2017-10-30 15:53;0;0;"Стесняют спросить.. А куда они будут вводить друг другу этого гопака?)))";;;;"925027994908930048";https://twitter.com/CrimeaShatun/status/925027994908930048
CrimeaShatun;2017-10-30 13:42;0;2;"Кэвин тоже рискует, теперь геи могут начать на него жаловаться/)))";;;;"924994886746759169";https://twitter.com/CrimeaShatun/status/924994886746759169
CrimeaShatun;2017-10-30 13:41;1;3;"Поэтому на него и навалились все)) на белую ворону)))";;;;"924994757528576001";https://twitter.com/CrimeaShatun/status/924994757528576001
CrimeaShatun;2017-10-30 06:25;0;1;"Там хоть один мужик в Голливуде остался кроме Ванштейна?)))";;;;"924885049283051522";https://twitter.com/CrimeaShatun/status/924885049283051522
