username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DeniseT12094989;2017-10-27 02:48;0;0;"This is AMAZING Power Beauties";;;;"923743213495685121";https://twitter.com/DeniseT12094989/status/923743213495685121
DeniseT12094989;2017-10-26 13:27;0;0;"@ava Look at you and your beautiful sister's...The Today Show pic.twitter.com/9ZhefBuCZk";;@ava;;"923541654707064834";https://twitter.com/DeniseT12094989/status/923541654707064834
DeniseT12094989;2017-10-26 12:34;0;0;"I feel you on that.";;;;"923528348109819904";https://twitter.com/DeniseT12094989/status/923528348109819904
DeniseT12094989;2017-10-26 04:02;0;0;"@QueenSugarOWN @ava Dr. Looks Good Kiss Good Held Nova Tight but he never made her Love Come Down like this!Married and Ready to Leave Wow";;@QueenSugarOWN @ava;;"923399432657350661";https://twitter.com/DeniseT12094989/status/923399432657350661
DeniseT12094989;2017-10-26 03:38;0;1;"@ava Couldn't Tweet while Queen Sugar was on I just couldn't..Tonight I'll replay the lines of life I saw tonight..Forgiveness and Pain Wow";;@ava;;"923393426200125440";https://twitter.com/DeniseT12094989/status/923393426200125440
DeniseT12094989;2017-10-26 03:35;0;0;"Love can be Deceitful lead you down the aisles then cause ulgy thoughts destroy your vows Love will unite knowing its going to attack later";;;;"923392576878792704";https://twitter.com/DeniseT12094989/status/923392576878792704
DeniseT12094989;2017-10-26 03:30;0;0;"Raped all the slave precious little girls then the wives became mad at the unsafe child the Blood Line of those men are cruel! Been wicket";;;;"923391374728232961";https://twitter.com/DeniseT12094989/status/923391374728232961
DeniseT12094989;2017-10-26 03:25;0;1;"When Love Kick,Spit,Slap,Pierces your heart call 911 those words just attacked the man so deep within Love What! Love Why You Wrong Love..";;;;"923390172259147776";https://twitter.com/DeniseT12094989/status/923390172259147776
DeniseT12094989;2017-10-23 21:42;0;0;"Slidell Louisiana sending";;;;"922579020398686208";https://twitter.com/DeniseT12094989/status/922579020398686208
DeniseT12094989;2017-10-21 14:54;0;0;"The Media Is Controlled...They show scense from war zones that are year's old but you'll only know if you recognize the color of uniform.";;;;"921751618961465349";https://twitter.com/DeniseT12094989/status/921751618961465349
DeniseT12094989;2017-10-21 14:51;0;0;"I feel Trump Ignorance is intentional he is the Puppet Of Destraction while the Real Rulers Of America pull off large Evil Deals..";;;;"921750783225417730";https://twitter.com/DeniseT12094989/status/921750783225417730
DeniseT12094989;2017-10-21 14:44;0;0;"Wow The Knowledge The Mind Awaits To Be Of Use To The God People Of This Universe.";;;;"921749060838723584";https://twitter.com/DeniseT12094989/status/921749060838723584
DeniseT12094989;2017-10-19 13:45;0;0;"Kissing Remy Sealed The Deal. Davis Your The Oyester shells that kept her from standing strong. Remy gave Charlie his back and his heart";;;;"921009401171005440";https://twitter.com/DeniseT12094989/status/921009401171005440
DeniseT12094989;2017-10-19 13:18;0;2;"Finding The Value In Other's....Ava DuVernay Has Done That Continuously...";;;;"921002671317897217";https://twitter.com/DeniseT12094989/status/921002671317897217
DeniseT12094989;2017-10-19 03:02;0;0;"Darla What Is It You Bout To Say Girl... @QueenSugarOWN";;@QueenSugarOWN;;"920847480773857282";https://twitter.com/DeniseT12094989/status/920847480773857282
DeniseT12094989;2017-10-19 02:58;0;0;"Davis, Remy Got That Boo...Charlie Gone @QueenSugarOWN";;@QueenSugarOWN;;"920846665778712576";https://twitter.com/DeniseT12094989/status/920846665778712576
DeniseT12094989;2017-10-19 02:56;0;0;"Right holding my breath";;;;"920846021516767233";https://twitter.com/DeniseT12094989/status/920846021516767233
DeniseT12094989;2017-10-19 02:55;0;0;"Nova Cold As Hell.... @QueenSugarOWN";;@QueenSugarOWN;;"920845871884972032";https://twitter.com/DeniseT12094989/status/920845871884972032
