username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HepatitisAtoZ;2017-11-03 23:23;0;2;"pic.twitter.com/jKwqpSnjDf";;;;"926590581840760832";https://twitter.com/HepatitisAtoZ/status/926590581840760832
HepatitisAtoZ;2017-11-03 23:14;5;7;"https:// twitter.com/HepatitisAtoZ/ status/926588293495615488 …";;;;"926588356426858499";https://twitter.com/HepatitisAtoZ/status/926588356426858499
HepatitisAtoZ;2017-11-03 23:13;11;17;"much like 50's teens, when teens in Victorian England wanted some alone time, they would take a horse-drawn carriage to Firkytoodling Point";;;;"926588293495615488";https://twitter.com/HepatitisAtoZ/status/926588293495615488
HepatitisAtoZ;2017-11-03 23:08;3;6;"https:// twitter.com/HepatitisAtoZ/ status/926586754840383488 …";;;;"926586820195995648";https://twitter.com/HepatitisAtoZ/status/926586820195995648
HepatitisAtoZ;2017-11-03 23:07;7;9;"Fergietoodling is when youre FIRKYTOODLING Fergie and her humps";;;;"926586754840383488";https://twitter.com/HepatitisAtoZ/status/926586754840383488
HepatitisAtoZ;2017-11-03 22:39;12;31;"i wouldnt touch a Nickelback album... #NotEvenWithA10FtPole .......unless i was using that 10ft pole to smash the Nickelback album";;;#NotEvenWithA10FtPole;"926579674586771456";https://twitter.com/HepatitisAtoZ/status/926579674586771456
HepatitisAtoZ;2017-11-03 22:38;0;0;"WORD!!!!!!!! and Thanks!";;;;"926579240174260224";https://twitter.com/HepatitisAtoZ/status/926579240174260224
HepatitisAtoZ;2017-11-03 22:32;14;37;"#NotEvenWithA10FtPole could fill your Mom's cavernous vag";;;#NotEvenWithA10FtPole;"926577840375697409";https://twitter.com/HepatitisAtoZ/status/926577840375697409
HepatitisAtoZ;2017-11-03 22:31;2;3;"i woodnt touch the delete but on #NotEvenWithA10FtPole";;;#NotEvenWithA10FtPole;"926577667306065921";https://twitter.com/HepatitisAtoZ/status/926577667306065921
HepatitisAtoZ;2017-11-03 21:00;0;0;"Thanks!";;;;"926554707417497601";https://twitter.com/HepatitisAtoZ/status/926554707417497601
HepatitisAtoZ;2017-11-03 20:49;1;2;"Knight Moves";;;;"926551963956862976";https://twitter.com/HepatitisAtoZ/status/926551963956862976
HepatitisAtoZ;2017-11-03 20:49;1;4;"Booby Fisher's";;;;"926551820457082880";https://twitter.com/HepatitisAtoZ/status/926551820457082880
HepatitisAtoZ;2017-11-03 19:30;0;2;"https:// twitter.com/HepatitisAtoZ/ status/926239763539070977 …";;;;"926532130276069377";https://twitter.com/HepatitisAtoZ/status/926532130276069377
HepatitisAtoZ;2017-11-03 19:25;65;106;"guy: hey, you only got 1 sock me: no i have 2. the other is invisible. feel it. guy*bends down me*hits him w/sock full of nickels & robs him";;;;"926530676966481922";https://twitter.com/HepatitisAtoZ/status/926530676966481922
HepatitisAtoZ;2017-11-03 19:00;0;1;"thanks! https:// twitter.com/HepatitisAtoZ/ status/914840079222403077 … https:// twitter.com/HepatitisAtoZ/ status/919329326860066819 … https:// twitter.com/HepatitisAtoZ/ status/914604061256818688 …";;;;"926524402090508290";https://twitter.com/HepatitisAtoZ/status/926524402090508290
HepatitisAtoZ;2017-11-03 15:46;0;1;"https:// twitter.com/HepatitisAtoZ/ status/926475565581914112 …";;;;"926475676156383233";https://twitter.com/HepatitisAtoZ/status/926475676156383233
HepatitisAtoZ;2017-11-03 15:46;7;9;"Yeah One, two Penises hard before you thats what i said now penises, penises who adore you just give some head now";;;;"926475565581914112";https://twitter.com/HepatitisAtoZ/status/926475565581914112
HepatitisAtoZ;2017-11-03 14:47;0;3;"WORD!!!!!!!!!!!! and Thanks Mike! ......a huge #FF to you too and a Happy MFing Friday!";;;#FF;"926460927179927552";https://twitter.com/HepatitisAtoZ/status/926460927179927552
HepatitisAtoZ;2017-11-03 14:39;0;2;"WORD!!!!!! and Thanks for the trophy @aksorojas ! https:// twitter.com/FavstarOfTheDa y/status/926455998977421313 … pic.twitter.com/QN99WxD7rT";;@aksorojas;;"926458810012717056";https://twitter.com/HepatitisAtoZ/status/926458810012717056
HepatitisAtoZ;2017-11-03 13:38;0;3;"https:// twitter.com/HepatitisAtoZ/ status/926443440350597120 …";;;;"926443561909915649";https://twitter.com/HepatitisAtoZ/status/926443561909915649
HepatitisAtoZ;2017-11-03 13:38;8;6;"But its alright now, im deep in dat ass but its alright, im Humpin' Jack's ass his ass ass ass";;;;"926443440350597120";https://twitter.com/HepatitisAtoZ/status/926443440350597120
