username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KarinBorjeesson;2017-11-03 23:11;0;0;"Ok!";;;;"926587660197617666";https://twitter.com/KarinBorjeesson/status/926587660197617666
KarinBorjeesson;2017-11-03 22:29;0;0;". @Chubb and @Lockton : Stop selling #MurderInsurance for the @NRA https:// stopmurderinsurance.org";;@Chubb @Lockton @NRA;#MurderInsurance;"926577191328014336";https://twitter.com/KarinBorjeesson/status/926577191328014336
KarinBorjeesson;2017-11-03 20:10;0;0;"You are welcome!";;;;"926542003839602691";https://twitter.com/KarinBorjeesson/status/926542003839602691
KarinBorjeesson;2017-11-03 18:58;0;0;"";;;;"926523911621238784";https://twitter.com/KarinBorjeesson/status/926523911621238784
KarinBorjeesson;2017-11-03 18:27;1;0;"Attorney to ex-Twitter employee who deactivated Trump account: 'Get a lawyer' http:// thehill.com/policy/cyberse curity/358630-cybersecurity-attorney-to-ex-twitter-employee-get-a-lawyer …";;;;"926516072743952386";https://twitter.com/KarinBorjeesson/status/926516072743952386
KarinBorjeesson;2017-11-03 13:32;0;0;"Got it.";;;;"926441884813230080";https://twitter.com/KarinBorjeesson/status/926441884813230080
KarinBorjeesson;2017-11-03 11:41;3;7;"Thank you! pic.twitter.com/Zt9FZgEDs2";;;;"926414034559258626";https://twitter.com/KarinBorjeesson/status/926414034559258626
KarinBorjeesson;2017-11-03 11:30;1;4;"Hahaha! That just made my day.";;;;"926411342277480448";https://twitter.com/KarinBorjeesson/status/926411342277480448
KarinBorjeesson;2017-11-03 05:45;0;0;"Ok.";;;;"926324418170753024";https://twitter.com/KarinBorjeesson/status/926324418170753024
KarinBorjeesson;2017-11-03 04:09;0;0;"Ok. Sorry about that. Thank you!";;;;"926300367209533440";https://twitter.com/KarinBorjeesson/status/926300367209533440
KarinBorjeesson;2017-11-03 04:09;0;0;"SIGN NOW & tell the FEC social media ads should disclose the same info as other political ads: http:// bit.ly/2yJSb8E via @peoplefor";;@peoplefor;;"926300176758771718";https://twitter.com/KarinBorjeesson/status/926300176758771718
KarinBorjeesson;2017-11-03 04:06;0;0;"Oh shit. Thanks for telling me. I'll tweet it again.";;;;"926299492051189760";https://twitter.com/KarinBorjeesson/status/926299492051189760
KarinBorjeesson;2017-11-03 04:04;0;0;"Fantastic!";;;;"926299015242813441";https://twitter.com/KarinBorjeesson/status/926299015242813441
KarinBorjeesson;2017-11-03 03:43;0;0;"https:// twitter.com/i/moments/9262 26225496018944 …";;;;"926293766067154944";https://twitter.com/KarinBorjeesson/status/926293766067154944
KarinBorjeesson;2017-11-03 03:37;0;0;"SIGN NOW & tell the FEC social media ads should disclose the same info as other political ads: http:// bit.ly/2yJSb8E via @peoplefor";;@peoplefor;;"926292172021927937";https://twitter.com/KarinBorjeesson/status/926292172021927937
KarinBorjeesson;2017-11-03 03:08;1;0;"Of course you're not!";;;;"926284889317572608";https://twitter.com/KarinBorjeesson/status/926284889317572608
KarinBorjeesson;2017-11-03 02:07;5;1;"Sign: Justice for Possum Tortured with Alcohol and Thrown in Trash http:// sumo.ly/IrPQ via @ladyfreethinker";;@ladyfreethinker;;"926269574974238725";https://twitter.com/KarinBorjeesson/status/926269574974238725
KarinBorjeesson;2017-11-03 01:55;0;0;"You're welcome!";;;;"926266617327177729";https://twitter.com/KarinBorjeesson/status/926266617327177729
KarinBorjeesson;2017-11-03 00:34;0;0;"";;;;"926246050276528129";https://twitter.com/KarinBorjeesson/status/926246050276528129
KarinBorjeesson;2017-11-03 00:27;0;0;"Same here.";;;;"926244382659006464";https://twitter.com/KarinBorjeesson/status/926244382659006464
