username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Lars9596;2017-11-03 23:31;0;0;"Willkommen Friedrich Ebert Stiftung, @FES_EU , die größte und älteste sogenannte parteinahe Stiftung in Deutschland. #FES #Bonn #Berlin";;@FES_EU;#FES #Bonn #Berlin;"926592767207313408";https://twitter.com/Lars9596/status/926592767207313408
Lars9596;2017-11-03 23:16;0;3;"Tweet of the Day! @tbgstephen @lazarus06 @ThomasGBauer";;@tbgstephen @lazarus06 @ThomasGBauer;;"926589005717757952";https://twitter.com/Lars9596/status/926589005717757952
Lars9596;2017-11-03 22:58;2;3;"Nun #RogerStone , ehemaliger #Trump -Berater, wurde diese Woche permanent gelöscht. Aber zu 99% hast Du recht. Verliere 30 Follower die Woche.";;;#RogerStone #Trump;"926584488712441863";https://twitter.com/Lars9596/status/926584488712441863
Lars9596;2017-11-03 22:57;0;1;"Das ist bei eine #Quote IMMER so!";;;#Quote;"926584095660003328";https://twitter.com/Lars9596/status/926584095660003328
Lars9596;2017-11-03 22:56;0;22;"Und das als drittstärkste Kraft! #AfD";;;#AfD;"926583918840680449";https://twitter.com/Lars9596/status/926583918840680449
Lars9596;2017-11-03 22:53;0;2;"You sound like a hardcore fan!";;;;"926583146799337474";https://twitter.com/Lars9596/status/926583146799337474
Lars9596;2017-11-03 22:52;1;0;"Ob Harald Schmidt, @BonitoTV , Darüber Lachen Kann? Unfassbar, auch „Harald Schmidt“ auf #Facebook gesperrt! http://www. journalistenwatch.com/2017/11/03/unf assbar-auch-harald-schmidt-auf-facebook-gesperrt/ …";;@BonitoTV;#Facebook;"926582861641211904";https://twitter.com/Lars9596/status/926582861641211904
Lars9596;2017-11-03 22:48;0;5;"If this really made a difference to your life, you should reconsider what you call "life"! #StephenKing #Trump @tbgstephen @mektronik https:// twitter.com/StephenKing/st atus/926577940263030784 …";;@tbgstephen @mektronik;#StephenKing #Trump;"926581754693070850";https://twitter.com/Lars9596/status/926581754693070850
Lars9596;2017-11-03 22:44;0;3;"@lazarus06 Die Kernkompetenz der meisten Politiker ist das Lügen. Die #SPD beweist diese Kompetenz immer wieder.";;@lazarus06;#SPD;"926580765776924672";https://twitter.com/Lars9596/status/926580765776924672
Lars9596;2017-11-03 22:41;4;6;"#Merkel "The Most Powerful Loser In The World"? #Forbes http:// bit.ly/2zbnpIE @ThomasGBauer @tbgstephen @mektronik @danieljohnsalt";;@ThomasGBauer @tbgstephen @mektronik @danieljohnsalt;#Merkel #Forbes;"926580061909766145";https://twitter.com/Lars9596/status/926580061909766145
Lars9596;2017-11-03 22:34;0;2;"#SketchHistory war heute besser als die #HeuteShow (und die war auch OK).";;;#SketchHistory #HeuteShow;"926578334804447233";https://twitter.com/Lars9596/status/926578334804447233
Lars9596;2017-11-03 22:16;0;1;"@lazarus06 @ThomasGBauer #HartAberFair !";;@lazarus06 @ThomasGBauer;#HartAberFair;"926573789848141824";https://twitter.com/Lars9596/status/926573789848141824
Lars9596;2017-11-03 22:12;0;1;"Halb Trump, halb Hefner.";;;;"926572769051062272";https://twitter.com/Lars9596/status/926572769051062272
Lars9596;2017-11-03 22:08;0;4;""Grab them by the pussy!" #Luther "Will die Frau nicht, dann nimm die Magd" #Trump Infotweet via #Heuteshow";;;#Luther #Trump #Heuteshow;"926571912343490560";https://twitter.com/Lars9596/status/926571912343490560
Lars9596;2017-11-03 21:59;0;0;"Irgendwas mit "U". Kann auch was mit "V", wie mit "V-Männer" gewesen sein!";;;;"926569512518012933";https://twitter.com/Lars9596/status/926569512518012933
Lars9596;2017-11-03 21:56;1;0;"Mehr Inder statt Kinder! #ClimateChange #Bonn #Heuteshow";;;#ClimateChange #Bonn #Heuteshow;"926568821154041857";https://twitter.com/Lars9596/status/926568821154041857
Lars9596;2017-11-03 21:53;4;9;"#Tesla keeps its promises: Here the new, improved, #GreenCar for everyone! #Musk pic.twitter.com/gG2dtQ35g4 Info @lazarus06 @mektronik";;@lazarus06 @mektronik;#Tesla #GreenCar #Musk;"926567986303062021";https://twitter.com/Lars9596/status/926567986303062021
Lars9596;2017-11-03 21:45;1;1;"It hurt like hell, because #Hillary was certain of her victory.";;;#Hillary;"926565958189244416";https://twitter.com/Lars9596/status/926565958189244416
Lars9596;2017-11-03 21:40;1;1;"#BTC now traded in #Chicago !";;;#BTC #Chicago;"926564873814859777";https://twitter.com/Lars9596/status/926564873814859777
Lars9596;2017-11-03 21:40;7;15;""Demokratie Leben" mit einer ex #Stasi -Mitarbeiterin! Die Ironie! Besser als die #Heuteshow ! #Kahane";;;#Stasi #Heuteshow #Kahane;"926564667140530176";https://twitter.com/Lars9596/status/926564667140530176
