username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Luluwatching;2017-11-01 05:39;0;0;"Hyperemesis Gravidarum: Extreme Morning Sickness https:// shar.es/1PwZa2 via @LiveScience";;@LiveScience;;"925598173325877248";https://twitter.com/Luluwatching/status/925598173325877248
Luluwatching;2017-11-01 04:29;0;1;"Selective memory of Robert Lee General Kelly kept what he wanted and pushed back what did not served his direction how interesting...";;;;"925580637884600320";https://twitter.com/Luluwatching/status/925580637884600320
Luluwatching;2017-11-01 04:22;0;0;"Will support honey..no one deservers life for a victimless crime seriously";;;;"925578852994375680";https://twitter.com/Luluwatching/status/925578852994375680
Luluwatching;2017-11-01 04:11;0;0;"having problems with sound will retweet prayers";;;;"925575955749498881";https://twitter.com/Luluwatching/status/925575955749498881
Luluwatching;2017-11-01 04:10;0;0;"Hillary was not listening nor talking about business she was more interested with the Clinton Foundation #justathought";;;#justathought;"925575626362417152";https://twitter.com/Luluwatching/status/925575626362417152
Luluwatching;2017-11-01 03:56;0;0;"So, Simple ask the RNC to be prepared for the round table discussions Joy prepares for on aired ethical discussions& responses #womanhood";;;#womanhood;"925572174433406976";https://twitter.com/Luluwatching/status/925572174433406976
Luluwatching;2017-11-01 03:27;0;0;"Happy Birthday you're Hawk Yashar Ali told us to let you know May Allah Jehovah bless you're years Honey";;;;"925564833948413952";https://twitter.com/Luluwatching/status/925564833948413952
Luluwatching;2017-11-01 03:14;0;1;"Blessed are the woman reporter Joy willing to show ethical reporting by asking the question why aren't you're the RNC spokeswoman prepared";;;;"925561660126957568";https://twitter.com/Luluwatching/status/925561660126957568
Luluwatching;2017-11-01 02:44;0;1;"hmm so you're on point";;;;"925554037554139137";https://twitter.com/Luluwatching/status/925554037554139137
Luluwatching;2017-11-01 02:42;0;0;"In a Christian white male culture of denying the existing of Mary, the correcting the region of Jesus genetic are importance for truth";;;;"925553664609091584";https://twitter.com/Luluwatching/status/925553664609091584
Luluwatching;2017-11-01 02:36;0;0;"Tennessee Baptists Denounce Racism as White Lives Matter Gets Ready to Promote White Power on Saturday https://www. christianpost.com/news/tennessee -baptists-denounce-racism-white-lives-matter-white-power-saturday-204436/#.Wfkv5UiVGo0.twitter …";;;#;"925552218861985792";https://twitter.com/Luluwatching/status/925552218861985792
Luluwatching;2017-11-01 02:05;0;0;"12-Y-O Boy Jumps Out of Moving Car After Alleged Gay Gunman Abducts Him, Asks for Kiss https://www. christianpost.com/news/12-y-o-bo y-jumps-out-of-moving-car-after-alleged-gay-gunman-abducts-him-asks-for-kiss-204578/#.Wfkr82Bi-0I.twitter …";;;#;"925544409478893569";https://twitter.com/Luluwatching/status/925544409478893569
Luluwatching;2017-11-01 02:00;0;0;"what have you done for Los Angeles Omar Navarro let me see you clean up that area instead of commenting on it sir make yourself matter";;;;"925543050025295877";https://twitter.com/Luluwatching/status/925543050025295877
Luluwatching;2017-11-01 01:54;0;0;"The term of which I will refuse to rewrite should stop until all facts are in period & if so the man should be shamed by his faith first";;;;"925541465152983042";https://twitter.com/Luluwatching/status/925541465152983042
Luluwatching;2017-11-01 01:50;0;0;"Allah Jehovah is blessed the prayers the battle against evil on so say the angels kiss blessed journey of good our prayers of peace";;;;"925540452387958784";https://twitter.com/Luluwatching/status/925540452387958784
Luluwatching;2017-11-01 01:41;0;1;"Well, has anyone checked the DNA roots of the Las Vegas killer family brother found w/child porno Dylan Roots Family w/drug usages hmm";;;;"925538259836588032";https://twitter.com/Luluwatching/status/925538259836588032
Luluwatching;2017-11-01 01:36;0;0;"Many will disagree with a thought which is how all of us are taught to grow well my grandmother showed me & I shall always loved her";;;;"925537032151224320";https://twitter.com/Luluwatching/status/925537032151224320
Luluwatching;2017-11-01 01:33;0;0;"sweetie you're powering up #coffeeup";;;#coffeeup;"925536283816087552";https://twitter.com/Luluwatching/status/925536283816087552
Luluwatching;2017-11-01 01:32;0;1;"Kate's just soul-less past her by for our alliance are for the souls who are in need of caring give our blood to them #silencedistractors";;;#silencedistractors;"925535992697802752";https://twitter.com/Luluwatching/status/925535992697802752
Luluwatching;2017-11-01 01:23;0;0;"Kate's a Russian bot I thought Russia could better than that soul-less wonder dang";;;;"925533781645254656";https://twitter.com/Luluwatching/status/925533781645254656
