username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MagaliLin;2017-11-03 18:46;0;0;"@Square’s Affirm-like installment loans are designed to help its merchants get paid—fast https://www. fastcompany.com/40436593/jack- dorsey-goes-after-max-levchins-consumer-lending-business …";;@Square;;"926521034253225984";https://twitter.com/MagaliLin/status/926521034253225984
MagaliLin;2017-11-01 17:04;0;0;"Une pratique d’un autre temps, qui n’a plus sa place dans une société dite civilisée. http://www. lemonde.fr/biodiversite/a rticle/2017/11/01/l-abattage-d-un-cerf-lors-d-une-chasse-a-courre-suscite-la-colere-et-l-emoi-de-l-opinion-publique_5208581_1652692.html …";;;;"925770598910918657";https://twitter.com/MagaliLin/status/925770598910918657
MagaliLin;2017-10-28 16:33;0;0;"Nice WE -> Kwakxicolor - Malgré tout (live) https://www. youtube.com/watch?v=n4SX5N pk9O8&sns=tw … via @youtube";;@youtube;;"924313230725517313";https://twitter.com/MagaliLin/status/924313230725517313
MagaliLin;2017-10-28 12:09;0;0;"http://www. lemonde.fr/international/ article/2017/10/26/ingerence-russe-dans-l-election-americaine-twitter-sanctionne-rt-et-sputnik_5206502_3210.html …";;;;"924246795412230144";https://twitter.com/MagaliLin/status/924246795412230144
MagaliLin;2017-10-28 10:35;1;1;"Harvey Weinstein and the Impunity of Powerful Men https://www. newyorker.com/magazine/2017/ 10/30/harvey-weinstein-and-the-impunity-of-powerful-men …";;;;"924223031311990784";https://twitter.com/MagaliLin/status/924223031311990784
MagaliLin;2017-10-25 20:02;0;0;"@Square You’ve got a sister !";;@Square;;"923278619652378624";https://twitter.com/MagaliLin/status/923278619652378624
MagaliLin;2017-10-25 17:16;3;2;"Great #networking series by @its_keenya at @parisforher https:// twitter.com/its_keenya/sta tus/920205890019627009 …";;@its_keenya @parisforher;#networking;"923236929784762368";https://twitter.com/MagaliLin/status/923236929784762368
MagaliLin;2017-10-24 11:07;0;0;"http://www. lemonde.fr/logement/artic le/2017/10/24/baisse-des-apl-et-des-loyers-les-hlm-se-rebiffent_5205040_1653445.html …";;;;"922781595664371712";https://twitter.com/MagaliLin/status/922781595664371712
MagaliLin;2017-10-23 18:38;0;1;"... Et les roses étaient gênées.";;;;"922532584889962497";https://twitter.com/MagaliLin/status/922532584889962497
MagaliLin;2017-10-20 18:29;0;0;"http://www. lemonde.fr/pixels/article /2017/10/18/harcelement-sexuel-twitter-s-apprete-a-durcir-ses-regles_5202562_4408996.html …";;;;"921443384933453824";https://twitter.com/MagaliLin/status/921443384933453824
MagaliLin;2017-10-20 17:49;0;0;"http://www. lemonde.fr/pixels/article /2017/10/20/harcelement-twitter-officialise-et-complete-ses-nouvelles-regles_5203629_4408996.html …";;;;"921433303193935873";https://twitter.com/MagaliLin/status/921433303193935873
MagaliLin;2017-10-20 17:37;0;1;"#FF Bon WE #Ladies ! https:// twitter.com/manat69/status /921266418653556736 …";;;#FF #Ladies;"921430096455577600";https://twitter.com/MagaliLin/status/921430096455577600
MagaliLin;2017-10-18 11:03;0;0;"http://www. lemonde.fr/planete/articl e/2017/10/18/reautorisation-du-glyphosate-a-une-semaine-de-la-decision-la-commission-europeenne-est-isolee_5202339_3244.html …";;;;"920606245534535680";https://twitter.com/MagaliLin/status/920606245534535680
MagaliLin;2017-10-17 10:52;0;0;"http://www. lemonde.fr/europe/article /2017/10/16/daphne-caruana-galizia-celebre-blogueuse-maltaise-tuee-par-une-bombe_5201748_3214.html …";;;;"920241200501854210";https://twitter.com/MagaliLin/status/920241200501854210
MagaliLin;2017-10-17 10:50;0;0;"http://www. lemonde.fr/televisions-ra dio/article/2017/10/17/star-trek-discovery-et-dynastie-nos-series-dans-le-retro_5201791_1655027.html …";;;;"920240538380578816";https://twitter.com/MagaliLin/status/920240538380578816
MagaliLin;2017-10-14 17:13;0;0;"Thanks for your constant support of women and people of colour. It’s great !";;;;"919249880954101760";https://twitter.com/MagaliLin/status/919249880954101760
MagaliLin;2017-10-13 10:37;0;0;"http://www. lemonde.fr/economie/artic le/2017/10/13/le-gouvernement-veut-que-les-grandes-coproprietes-soient-gerees-comme-des-entreprises_5200191_3234.html …";;;;"918787725150642176";https://twitter.com/MagaliLin/status/918787725150642176
MagaliLin;2017-10-11 19:01;0;1;"I 'Certains l’aiment Fip' sur @fipradio http://www. fipradio.fr/player";;@fipradio;;"918189813454573574";https://twitter.com/MagaliLin/status/918189813454573574
MagaliLin;2017-10-11 11:18;1;1;"Il régnait une culture de la complicité et il avait tout une machine pour réduire ces femmes au silence http://www. lemonde.fr/cinema/article /2017/10/11/le-producteur-hollywoodien-harvey-weinstein-desormais-accuse-de-viol_5199112_3476.html …";;;;"918073216614240256";https://twitter.com/MagaliLin/status/918073216614240256
MagaliLin;2017-10-11 11:10;0;0;"http://www. lemonde.fr/cinema/article /2017/10/11/detroit-chronique-d-une-nuit-de-haine-et-de-violence_5199096_3476.html …";;;;"918071317517172736";https://twitter.com/MagaliLin/status/918071317517172736
