username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MandingoLuke;2017-11-03 22:31;0;0;"#1997 #THROWBACK @theCoreyHolcomb #DerayDavis #usa #JERRYSPRINGER #FlashbackFriday #Bergdahl #LilKim https:// youtu.be/GK7ejfNx38g via @YouTube";;@theCoreyHolcomb @YouTube;#1997 #THROWBACK #DerayDavis #usa #JERRYSPRINGER #FlashbackFriday #Bergdahl #LilKim;"926577622296952832";https://twitter.com/MandingoLuke/status/926577622296952832
MandingoLuke;2017-11-03 17:52;0;0;"#BluePill #Actor #Tyrese #BlackFamilies #ChildSupport #System #occult #halloween #re7 #AllSaintsDat https:// youtu.be/rERIcAjijY0 via @YouTube";;@YouTube;#BluePill #Actor #Tyrese #BlackFamilies #ChildSupport #System #occult #halloween #re7 #AllSaintsDat;"926507353310203905";https://twitter.com/MandingoLuke/status/926507353310203905
MandingoLuke;2017-11-03 07:35;0;0;"#TariqNasheed #Tyrese #Terrororganisation #HomosexualityIsDeath #Agenda21 #MILLENNIALS #chemicalhaze https:// youtu.be/S6XgkF3bwGI via @YouTube";;@YouTube;#TariqNasheed #Tyrese #Terrororganisation #HomosexualityIsDeath #Agenda21 #MILLENNIALS #chemicalhaze;"926352212036669441";https://twitter.com/MandingoLuke/status/926352212036669441
MandingoLuke;2017-11-03 05:41;0;0;"#AMERICANTALIBAN #DYLANNROOF #STEPHENPADDOCK @MichaelRapaport #HTGAWM #5150NATION #TYRESE #Scandal #momentum10x #ThorRagnarok #DNAinfo pic.twitter.com/1QP57SeYWQ";;@MichaelRapaport;#AMERICANTALIBAN #DYLANNROOF #STEPHENPADDOCK #HTGAWM #5150NATION #TYRESE #Scandal #momentum10x #ThorRagnarok #DNAinfo;"926323508510101504";https://twitter.com/MandingoLuke/status/926323508510101504
MandingoLuke;2017-11-03 04:09;0;0;"#TheCoreyHolcomb #5150Show #enews #newvideo #rotimi #dre #starzpower #starz #powertv #nigeria #reggae https:// youtu.be/fUZOqy-rzNM via @YouTube";;@YouTube;#TheCoreyHolcomb #5150Show #enews #newvideo #rotimi #dre #starzpower #starz #powertv #nigeria #reggae;"926300395126870016";https://twitter.com/MandingoLuke/status/926300395126870016
MandingoLuke;2017-11-03 02:04;0;0;"#SystemOfADown #Toxicity #StillNigga #HomosexualityIsDeath #Agenda21 #StraightBlackPride #WheresTheLie https:// youtu.be/gRlpR9HrrUs via @YouTube";;@YouTube;#SystemOfADown #Toxicity #StillNigga #HomosexualityIsDeath #Agenda21 #StraightBlackPride #WheresTheLie;"926268838487916549";https://twitter.com/MandingoLuke/status/926268838487916549
MandingoLuke;2017-11-03 01:07;1;0;"#STARWARS #THELASTJEDI #stasis #stasistank #stasispods #cryopod #stasischamber #embryo #stasiscocoon #SPLINTEROFAMINDSEYE #ALIENS #JOHN117 pic.twitter.com/H0Pi5EQull";;;#STARWARS #THELASTJEDI #stasis #stasistank #stasispods #cryopod #stasischamber #embryo #stasiscocoon #SPLINTEROFAMINDSEYE #ALIENS #JOHN117;"926254492424790016";https://twitter.com/MandingoLuke/status/926254492424790016
MandingoLuke;2017-11-03 00:58;1;0;"#DLHughley #NAZI #TRUMP #PAULMANAFORT #OPERATIONMONGOOSE #AMERICANTALIBAN #MKULTRA #MINDCONTROL #OBAMA https:// youtu.be/Xt2fYaY58YM via @YouTube";;@YouTube;#DLHughley #NAZI #TRUMP #PAULMANAFORT #OPERATIONMONGOOSE #AMERICANTALIBAN #MKULTRA #MINDCONTROL #OBAMA;"926252119132463104";https://twitter.com/MandingoLuke/status/926252119132463104
MandingoLuke;2017-11-02 22:27;0;0;"#SystemOfADown #Question #stasis #stasistank #stasispods #cryopod #stasischamber #embryo #stasiscocoon https:// youtu.be/ENBv2i88g6Y via @YouTube";;@YouTube;#SystemOfADown #Question #stasis #stasistank #stasispods #cryopod #stasischamber #embryo #stasiscocoon;"926214252217753601";https://twitter.com/MandingoLuke/status/926214252217753601
MandingoLuke;2017-11-02 19:58;0;0;"#SystemOfADown #LostInHollywood #MimiHaleyi #womenrights #harveyweinstein #sexualassault #gloriaallred https:// youtu.be/bJhAOsTsLXI via @YouTube";;@YouTube;#SystemOfADown #LostInHollywood #MimiHaleyi #womenrights #harveyweinstein #sexualassault #gloriaallred;"926176789071843330";https://twitter.com/MandingoLuke/status/926176789071843330
