username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PartizanLesa;2017-11-02 06:07;0;1;"Радиоэлектронику в перестройку убивали самой первой по всей стране Станкостроение шло следующим... Это были приоритетные цели Пентагона*...";;;;"925967607693565956";https://twitter.com/PartizanLesa/status/925967607693565956
PartizanLesa;2017-11-02 06:00;0;0;"Обычные человеки в 1941м брали винтовки и партизанили... Били фашистов везде, где увидят... Они не ждали когда "Сталин введёт войска"...";;;;"925965926733840384";https://twitter.com/PartizanLesa/status/925965926733840384
PartizanLesa;2017-11-02 05:42;0;0;"Как вариант...";;;;"925961283446411264";https://twitter.com/PartizanLesa/status/925961283446411264
PartizanLesa;2017-11-01 21:25;1;1;"И что предлагают праздновать в ноябре 2017? Разрушение до основания страны и гибель в гражданской войне десятков миллионов русских людей ? https:// twitter.com/USSR_Is_We/sta tus/925725366106324994 …";;;;"925836298006548481";https://twitter.com/PartizanLesa/status/925836298006548481
PartizanLesa;2017-11-01 21:13;3;6;"А эдельвейсовый мёд ещё в продажу не поступал? Его медоносные горные козлы собирают... А потом кепка оденут и сами на базаре продают...";;;;"925833293848825858";https://twitter.com/PartizanLesa/status/925833293848825858
PartizanLesa;2017-11-01 21:10;0;0;"В этом есть и полюсы и минусы.... Лично мне нравится, что я могу пройти рядом, стоять за спиной... и меня никто не узнает...";;;;"925832454526599168";https://twitter.com/PartizanLesa/status/925832454526599168
PartizanLesa;2017-11-01 15:31;1;0;"http:// topnewsrussia.ru/russkij-yazyk- yazyk-bogov-2.html …";;;;"925747240177725442";https://twitter.com/PartizanLesa/status/925747240177725442
PartizanLesa;2017-11-01 15:27;1;4;"Вот так каждый раз медведь как только начитается Конфуция,залезет на дерево и размышляет.Домой после этого на чай с мёдом не дозовёшься... pic.twitter.com/jsjvM7LSF7";;;;"925746060231880706";https://twitter.com/PartizanLesa/status/925746060231880706
PartizanLesa;2017-11-01 15:09;0;1;"ТОС "Солнцепёк"... ( На танчик только приделать...)";;;;"925741574671171584";https://twitter.com/PartizanLesa/status/925741574671171584
PartizanLesa;2017-10-31 05:03;0;3;"Тем, кто огульно хвалит коммунистов, и кто имеет избирательную "память", я бы рекомендовал плотнее изучать журнал КРОКОДИЛ... @krokodil_CCCP https:// twitter.com/krokodil_CCCP/ status/924844264579887105 …";;@krokodil_CCCP;;"925226743677452288";https://twitter.com/PartizanLesa/status/925226743677452288
PartizanLesa;2017-10-31 04:58;0;0;"Во всяком случае у меня регистрация проблем не вызвала. Только письмо на почтовик с подтверждением регистрации пришлось подождать";;;;"925225509331628033";https://twitter.com/PartizanLesa/status/925225509331628033
PartizanLesa;2017-10-30 04:25;0;2;"Президентом - навряд ли. Дурачки в России в президенты не попадают. Даже если они такие подонки как ЕБН. Не удержат власть...";;;;"924854845789622272";https://twitter.com/PartizanLesa/status/924854845789622272
PartizanLesa;2017-10-30 04:16;0;0;"Эвона как... Тогда точно на конной тяге спутник мог бы быть... Если бы не Сталин - не было бы ни СССР ни России... Жаль молодых дурачков...";;;;"924852428205449216";https://twitter.com/PartizanLesa/status/924852428205449216
PartizanLesa;2017-10-30 03:47;1;4;"Разные варианты идиотизма видел, но этот - один из самых самых... Спутник? В 1857м? Интересно, на дровах, угле или на конной тяге?";;;;"924845082846662656";https://twitter.com/PartizanLesa/status/924845082846662656
PartizanLesa;2017-10-29 20:51;0;0;"Это их срач";;;;"924740489227710464";https://twitter.com/PartizanLesa/status/924740489227710464
PartizanLesa;2017-10-29 19:44;0;0;"В таком случае начинаем"шумиху",что из помойного корыта есть нельзя и по минным полям гулять..Найдутся дегенераты которые сделают наперекор";;;;"924723709964881921";https://twitter.com/PartizanLesa/status/924723709964881921
PartizanLesa;2017-10-29 19:42;0;2;"Глупее всего "не видеть", что Поклонская протестовала не только против Матильды, но и против рассадника русофобии в Минкульте...";;;;"924723040793055234";https://twitter.com/PartizanLesa/status/924723040793055234
PartizanLesa;2017-10-29 19:34;1;0;""Интеллигенция" испражняется в "изящной" словесности... Это всё, что нужно знать о "культурной" "элите" нашего времени... Либеральное днище pic.twitter.com/UlfKYdAV22";;;;"924721054152642571";https://twitter.com/PartizanLesa/status/924721054152642571
PartizanLesa;2017-10-29 19:14;0;1;"Гаража? Откуда он столько народу наберёт? Посиделками на кухне обойдутся...";;;;"924716083042504704";https://twitter.com/PartizanLesa/status/924716083042504704
PartizanLesa;2017-10-29 16:28;0;0;"И не путай православие с мракобесием. К православию я равнодушен, а вот психопатов-мракобесов действительно здоровыми людьми не считаю pic.twitter.com/12UXCrWKZb";;;;"924674233627742208";https://twitter.com/PartizanLesa/status/924674233627742208
PartizanLesa;2017-10-29 16:25;0;0;"И где ты тут ненависть к православию видел, аутист, слабоумный? А русофобия тебе где померещилась, а, дегенерат? Автор этих стихов русофоб? pic.twitter.com/HpPZHE1z8m";;;;"924673531375480834";https://twitter.com/PartizanLesa/status/924673531375480834
PartizanLesa;2017-10-29 15:28;0;0;"Да хоть заосторожничайтесь. Ваше коричневое фашистское нутро, и жидофрения - вам уже не одну статью обеспечили... Резвитесь ДО ПОРЫ...";;;;"924659199606444034";https://twitter.com/PartizanLesa/status/924659199606444034
PartizanLesa;2017-10-29 15:20;0;0;"Я всегда предполагал, что фашизм и жидофрения - это психические заболевания. Каждый из них -аутичный психопат тонущий в болоте своих глюков https:// twitter.com/russkoesolnce/ status/924655098483105792 …";;;;"924657149443272705";https://twitter.com/PartizanLesa/status/924657149443272705
PartizanLesa;2017-10-29 15:15;0;0;"Ещё одна влажная мечта жидофреника?Фантазийный аутизм безграничен. А полёт шизоидных "догадок" - не имеет предела... https:// twitter.com/russkoesolnce/ status/924655098483105792 …";;;;"924655936362475520";https://twitter.com/PartizanLesa/status/924655936362475520
PartizanLesa;2017-10-29 15:09;0;0;"Тебя когда за шкварник прихватят за твой фашизм и разжигание розни, и перед следователем будешь такой же смелый? http://www. fsb.ru/fsb/webrecepti on.htm …";;;;"924654420926914560";https://twitter.com/PartizanLesa/status/924654420926914560
PartizanLesa;2017-10-29 15:05;0;1;"Россия твоей никогда не будет... НЕ МЕЧТАЙ Твои братья правосеки в канаве под Донецком догнивают. И ты там будешь, погань нацистская. pic.twitter.com/Wl02mCUAEx";;;;"924653347512217600";https://twitter.com/PartizanLesa/status/924653347512217600
PartizanLesa;2017-10-29 15:01;0;0;"Да уж куда мне до такой фашистской голубятни, как ты, мразь. НАЗНАЧАТЬ в жиды русских, только такие ПОЦреоты как ты могут. Фашня вонючая. pic.twitter.com/KW9ljVzbP6";;;;"924652355123056641";https://twitter.com/PartizanLesa/status/924652355123056641
PartizanLesa;2017-10-29 14:53;0;1;"Давненько голубые"кровавые" НИЦИСТЫ ко мне в ленту не заглядывали Умиляет как эти мрази НАЗНАЧАЮТв жиды русских,не скачущих с ними Клиника https:// twitter.com/russkoesolnce/ status/924643601052852224 …";;;;"924650334378655745";https://twitter.com/PartizanLesa/status/924650334378655745
PartizanLesa;2017-10-29 14:49;0;0;"Запомни мразь, моя Родина Россия таких фашистских выродков как ты в 45м пиздила и впредь будет. Не тебе, мразь русских в жиды НАЗНАЧАТЬ! pic.twitter.com/jxBBhuVlTF";;;;"924649271219146752";https://twitter.com/PartizanLesa/status/924649271219146752
PartizanLesa;2017-10-29 12:22;0;1;"Шероховатости в ритме и рифме есть, но в целом отлично";;;;"924612421112692736";https://twitter.com/PartizanLesa/status/924612421112692736
PartizanLesa;2017-10-29 12:18;0;1;"Знаешь, я бы под каждым словом Есенина сам подписался бы... Ненавижу мерзавцев гадящих в России, и выродков, нацизм выдающих за национализм";;;;"924611521388347392";https://twitter.com/PartizanLesa/status/924611521388347392
PartizanLesa;2017-10-29 12:16;0;0;"Свою жидофрению Есенину не приписывай... pic.twitter.com/hrFJFve9Vj";;;;"924610785887899648";https://twitter.com/PartizanLesa/status/924610785887899648
PartizanLesa;2017-10-29 12:14;0;1;"Скорее всего да...";;;;"924610431385292801";https://twitter.com/PartizanLesa/status/924610431385292801
PartizanLesa;2017-10-29 10:22;0;0;"Партизаны в России - вечны...";;;;"924582159771369473";https://twitter.com/PartizanLesa/status/924582159771369473
PartizanLesa;2017-10-29 09:16;0;0;"Если меня спросят, что будет в России через 100 лет, я скажу - Посиневшие от пьянки "красные" всё так же воюют с "белочками"... pic.twitter.com/B6Amue6UZx";;;;"924565510909505538";https://twitter.com/PartizanLesa/status/924565510909505538
PartizanLesa;2017-10-29 08:41;2;3;"Быков шинкуют, закатывают в банки и пишут - "Говядина"... Ещё можно на фарш перекрутить и котлетки пожарить... Изящно и со вкусом... https:// twitter.com/filippgross/st atus/924310788046770176 …";;;;"924556703395450880";https://twitter.com/PartizanLesa/status/924556703395450880
PartizanLesa;2017-10-29 05:28;0;0;"А деревья то нафига повырубали? Неужели нельзя было хоть часть из них оставить? Да, чистенько стало... Но мёртвый каменный мешок.";;;;"924508262615126016";https://twitter.com/PartizanLesa/status/924508262615126016
PartizanLesa;2017-10-29 05:08;1;3;"Тут и про укру должно быть,и про экономическую и информационную войну, и про Сирию...Места для развития сюжета - полно и только прибавляется pic.twitter.com/6WvN7oRyN1";;;;"924503101733732352";https://twitter.com/PartizanLesa/status/924503101733732352
