username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PiesPeggy;2017-11-03 23:59;0;0;"Yes me too!";;;;"926599818323009536";https://twitter.com/PiesPeggy/status/926599818323009536
PiesPeggy;2017-11-03 21:53;1;2;"Laughter.... the memories. Now I have my grandchild and she brought her whole playroom into the living room. It’s a mess. I love it.";;;;"926568163919011840";https://twitter.com/PiesPeggy/status/926568163919011840
PiesPeggy;2017-11-03 21:48;0;0;"Wow. Love it.";;;;"926566779320598528";https://twitter.com/PiesPeggy/status/926566779320598528
PiesPeggy;2017-11-03 21:43;2;7;"Too little too late but there is always prayer. Through prayers are miracles. Let’s all pray for France.";;;;"926565438791680001";https://twitter.com/PiesPeggy/status/926565438791680001
PiesPeggy;2017-11-03 21:41;0;5;"Amen.";;;;"926564914663059456";https://twitter.com/PiesPeggy/status/926564914663059456
PiesPeggy;2017-11-03 21:40;1;1;"A real sack of";;;;"926564709276327936";https://twitter.com/PiesPeggy/status/926564709276327936
PiesPeggy;2017-11-03 21:39;1;0;"Yes! pic.twitter.com/iH8w4a8viy";;;;"926564577608843264";https://twitter.com/PiesPeggy/status/926564577608843264
PiesPeggy;2017-11-03 21:35;1;1;"The dnc have no moral compass.";;;;"926563491598647297";https://twitter.com/PiesPeggy/status/926563491598647297
PiesPeggy;2017-11-03 21:33;0;0;"I’m not into witch hunting. I want just the real biggies.";;;;"926563047224721408";https://twitter.com/PiesPeggy/status/926563047224721408
PiesPeggy;2017-11-03 21:32;0;1;"It’s time.";;;;"926562772472565760";https://twitter.com/PiesPeggy/status/926562772472565760
PiesPeggy;2017-11-03 21:32;1;1;"Me, I’m fed up with PC stars feeding me garbage. He’s a great actor but replaceable. Everyone is replaceable.Stick to scripts.";;;;"926562668894339072";https://twitter.com/PiesPeggy/status/926562668894339072
PiesPeggy;2017-11-03 21:30;0;0;"Here we go the popular culture churning out slop of the day. Enough already. Jodi you are fine but keep out of pc. I’m sick of it.Every1 is.";;;;"926562143285026816";https://twitter.com/PiesPeggy/status/926562143285026816
