username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Sigizmund;2017-11-03 11:16;0;0;"Правильно..нехер таким уродам ходить по земле...";;;;"926407628531564545";https://twitter.com/Sigizmund/status/926407628531564545
Sigizmund;2017-11-02 15:44;0;0;"Так все на обогреве режима....";;;;"926112763537186821";https://twitter.com/Sigizmund/status/926112763537186821
Sigizmund;2017-11-02 14:24;0;0;"Но газ этот европейский...только из Газпрома...нее не российский..";;;;"926092751111942145";https://twitter.com/Sigizmund/status/926092751111942145
Sigizmund;2017-11-02 14:22;0;0;"Это опять сюр какой то....";;;;"926092081256427520";https://twitter.com/Sigizmund/status/926092081256427520
Sigizmund;2017-11-02 11:53;0;0;"Доброго вечера ,мужики. pic.twitter.com/O3QqdTmKwJ";;;;"926054586632335360";https://twitter.com/Sigizmund/status/926054586632335360
Sigizmund;2017-11-02 11:52;0;0;"За эти камнем в вагине сидит рак... pic.twitter.com/HKWnAvo9D2";;;;"926054386383642624";https://twitter.com/Sigizmund/status/926054386383642624
Sigizmund;2017-11-01 12:40;0;0;"Так это же не их праздник. В день народного единства России?Мишико это зашквар.....";;;;"925704186184060928";https://twitter.com/Sigizmund/status/925704186184060928
Sigizmund;2017-11-01 12:38;0;0;"Это по моему ошибка,хотели написать , УКРАИНА?";;;;"925703586721533952";https://twitter.com/Sigizmund/status/925703586721533952
Sigizmund;2017-11-01 12:32;0;0;"А читает, как настоящий коммунист..";;;;"925702083558477826";https://twitter.com/Sigizmund/status/925702083558477826
Sigizmund;2017-11-01 09:13;0;0;"Радикальный метод..Сибирь,медведи...он только медведя боялся...";;;;"925652118350041088";https://twitter.com/Sigizmund/status/925652118350041088
Sigizmund;2017-11-01 09:04;0;0;"Бляди с ленинградки решили попиариться...";;;;"925649747691692032";https://twitter.com/Sigizmund/status/925649747691692032
Sigizmund;2017-10-30 14:25;0;0;"Я выходные напробовался...пока делаю перерыв...";;;;"925005861965230080";https://twitter.com/Sigizmund/status/925005861965230080
Sigizmund;2017-10-30 14:25;0;1;"Вот кому то повезло....в вендиспансеры выстроились очереди,счастливчиков....";;;;"925005621006610432";https://twitter.com/Sigizmund/status/925005621006610432
Sigizmund;2017-10-30 14:22;0;0;"Янукович 2:0.....";;;;"925005111788802049";https://twitter.com/Sigizmund/status/925005111788802049
Sigizmund;2017-10-30 14:19;0;0;"Дернула пальцем зуб и крикнула"БЛЯ БУДУ"";;;;"925004199523422208";https://twitter.com/Sigizmund/status/925004199523422208
Sigizmund;2017-10-30 14:18;0;2;"Так может давно пора не финансировать их?";;;;"925003919109120000";https://twitter.com/Sigizmund/status/925003919109120000
Sigizmund;2017-10-30 13:32;0;0;"Может про смертную казнь ,лучше подумать...?";;;;"924992358059569153";https://twitter.com/Sigizmund/status/924992358059569153
Sigizmund;2017-10-30 13:28;0;0;"Ха ну наконец то .а то позорили этот знак отличия, мужественных людей.";;;;"924991408145969152";https://twitter.com/Sigizmund/status/924991408145969152
Sigizmund;2017-10-29 14:28;0;0;"Пусть в Мавзолей сходит..и разобьёт бутылку на мостовой...";;;;"924644136208265216";https://twitter.com/Sigizmund/status/924644136208265216
Sigizmund;2017-10-29 14:07;0;0;"Подводные лодки в степях Украины....феерично.";;;;"924638812361445376";https://twitter.com/Sigizmund/status/924638812361445376
Sigizmund;2017-10-29 14:04;0;0;"Вот что означает тариф МТС pic.twitter.com/Vq6vNzxF0v";;;;"924638182209187840";https://twitter.com/Sigizmund/status/924638182209187840
Sigizmund;2017-10-29 13:32;0;0;"Делятся опытом...безмозглые....";;;;"924630092176818179";https://twitter.com/Sigizmund/status/924630092176818179
Sigizmund;2017-10-29 12:02;0;1;"Доколе будем держать..пусть вирус распространяют на Украину..выпустить ....хоть яблок польских потрескается...и мозг получат...";;;;"924607310948859906";https://twitter.com/Sigizmund/status/924607310948859906
Sigizmund;2017-10-29 11:57;0;0;"Ипануться...";;;;"924606186661580800";https://twitter.com/Sigizmund/status/924606186661580800
Sigizmund;2017-10-29 07:51;0;0;"Охеерели.";;;;"924544255439310848";https://twitter.com/Sigizmund/status/924544255439310848
Sigizmund;2017-10-28 18:20;0;0;"А ей сколько лет?20...дуреха ,она не жила при Хрущёве...";;;;"924339983292555265";https://twitter.com/Sigizmund/status/924339983292555265
Sigizmund;2017-10-28 18:18;0;0;"Как я и говорил картонный президент...";;;;"924339564206059521";https://twitter.com/Sigizmund/status/924339564206059521
Sigizmund;2017-10-28 17:55;0;0;"Вы думаете влюбилась,нет ,насосала..";;;;"924333925656420352";https://twitter.com/Sigizmund/status/924333925656420352
Sigizmund;2017-10-27 07:07;0;0;"Освобождения отчего..а это сейчас ,что на Украине?";;;;"923808451049947136";https://twitter.com/Sigizmund/status/923808451049947136
Sigizmund;2017-10-27 07:05;0;1;"Следующие пошли под влияние ......";;;;"923807913268916231";https://twitter.com/Sigizmund/status/923807913268916231
Sigizmund;2017-10-26 18:34;0;0;"Социальные ты опаснее.он не расшатывает страну ..тихий он наркоман.";;;;"923618850301726720";https://twitter.com/Sigizmund/status/923618850301726720
Sigizmund;2017-10-26 17:30;0;0;"Теперь он мудязвон..";;;;"923602684715794432";https://twitter.com/Sigizmund/status/923602684715794432
Sigizmund;2017-10-26 16:14;0;0;"Срочно смотрите первый канал..Горбачев предатель..развалил СССР..показания его личной охраны.";;;;"923583529027624960";https://twitter.com/Sigizmund/status/923583529027624960
Sigizmund;2017-10-25 13:49;0;0;"Тут на Фейсбуке наткнулся в публикации...кандидат в президенты. pic.twitter.com/yhSqwKFmdF";;;;"923184860042276864";https://twitter.com/Sigizmund/status/923184860042276864
Sigizmund;2017-10-24 19:50;0;0;"Страна Лимпопо....";;;;"922913265063116800";https://twitter.com/Sigizmund/status/922913265063116800
Sigizmund;2017-10-24 18:43;0;0;"Это ,что опять блокада?не охеерели?";;;;"922896396008730624";https://twitter.com/Sigizmund/status/922896396008730624
Sigizmund;2017-10-24 18:40;0;0;"А шо,страна уже не агрессор?";;;;"922895540513329152";https://twitter.com/Sigizmund/status/922895540513329152
Sigizmund;2017-10-24 18:37;0;0;"Потому ,что нехер в кастрюле на башке ездить...";;;;"922894925351571456";https://twitter.com/Sigizmund/status/922894925351571456
Sigizmund;2017-10-24 18:33;0;0;"А готов это ведро предоставить...";;;;"922893916550123520";https://twitter.com/Sigizmund/status/922893916550123520
Sigizmund;2017-10-24 18:24;0;0;"Да и нахер там учить ,эту мова.лучшк дома на русском ,по гутарят.";;;;"922891463725379584";https://twitter.com/Sigizmund/status/922891463725379584
Sigizmund;2017-10-24 09:07;0;0;"Собаковед пилять....";;;;"922751479756263424";https://twitter.com/Sigizmund/status/922751479756263424
Sigizmund;2017-10-22 07:34;0;1;"Обученный человек...";;;;"922003132489576448";https://twitter.com/Sigizmund/status/922003132489576448
Sigizmund;2017-10-20 20:49;0;0;"Я же говорил,картонный президент.";;;;"921478487868956673";https://twitter.com/Sigizmund/status/921478487868956673
Sigizmund;2017-10-20 20:45;0;0;"Кастрюли на бошку и скакать ,вашу мать..";;;;"921477536776884224";https://twitter.com/Sigizmund/status/921477536776884224
Sigizmund;2017-10-20 20:27;0;0;"Наливает из графина.жаль ,что мы так так и не услышали начальника транспортного цеха....";;;;"921472866570391552";https://twitter.com/Sigizmund/status/921472866570391552
Sigizmund;2017-10-20 20:12;0;0;"Зачем вы так о людях....";;;;"921469124554960897";https://twitter.com/Sigizmund/status/921469124554960897
Sigizmund;2017-10-19 17:26;0;1;"Точно,флаг держит ВВП!....";;;;"921065073749168129";https://twitter.com/Sigizmund/status/921065073749168129
Sigizmund;2017-10-19 17:22;0;1;"А что так возмущается,она получает 450000...";;;;"921063957372301312";https://twitter.com/Sigizmund/status/921063957372301312
Sigizmund;2017-10-19 17:20;0;0;"Чем они вообще думают...";;;;"921063631357345793";https://twitter.com/Sigizmund/status/921063631357345793
Sigizmund;2017-10-19 08:53;0;0;"ДНР?";;;;"920936034950578176";https://twitter.com/Sigizmund/status/920936034950578176
Sigizmund;2017-10-18 20:03;0;0;"Рекомендую...я плакал....";;;;"920742276221100032";https://twitter.com/Sigizmund/status/920742276221100032
Sigizmund;2017-10-18 19:00;0;0;"Это Юля?";;;;"920726395713740800";https://twitter.com/Sigizmund/status/920726395713740800
Sigizmund;2017-10-18 13:52;0;0;"Боже,ну кто же у нее стилист? pic.twitter.com/oMgOpy39TG";;;;"920648754524499970";https://twitter.com/Sigizmund/status/920648754524499970
Sigizmund;2017-10-18 13:49;0;0;"Так пустотные акт на нейтральную полосу...хоть и жаль";;;;"920647960727379969";https://twitter.com/Sigizmund/status/920647960727379969
Sigizmund;2017-10-18 12:31;0;0;"У них ещё есть должность ИО президента...";;;;"920628521923465218";https://twitter.com/Sigizmund/status/920628521923465218
Sigizmund;2017-10-18 08:35;0;0;"Она сама давно на улицу выходила?";;;;"920568933815595008";https://twitter.com/Sigizmund/status/920568933815595008
Sigizmund;2017-10-17 19:44;0;1;"Картонный президент....";;;;"920375023428349952";https://twitter.com/Sigizmund/status/920375023428349952
Sigizmund;2017-10-17 13:29;0;0;"А других животных не нашлось для выноса....";;;;"920280672543105024";https://twitter.com/Sigizmund/status/920280672543105024
Sigizmund;2017-10-17 13:29;0;0;"Ездил на гей настроли";;;;"920280513692225536";https://twitter.com/Sigizmund/status/920280513692225536
Sigizmund;2017-10-17 09:51;0;0;"Херовая....";;;;"920225716578504704";https://twitter.com/Sigizmund/status/920225716578504704
Sigizmund;2017-10-17 09:49;0;0;"Так вот почему там такое твориться...если у каждого в огороде копнуть.?";;;;"920225352823267329";https://twitter.com/Sigizmund/status/920225352823267329
Sigizmund;2017-10-17 09:46;0;0;"А зачем их здесь кормят...клоуны нужны,так сходите в цирк...";;;;"920224602999132160";https://twitter.com/Sigizmund/status/920224602999132160
Sigizmund;2017-10-17 08:01;0;0;"Так и шо..хунта в Киеве боится собственного народа..не пускают граждан в Киев.";;;;"920198009471856640";https://twitter.com/Sigizmund/status/920198009471856640
Sigizmund;2017-10-16 14:06;0;0;"А как дышал,как дышал.....";;;;"919927590856658944";https://twitter.com/Sigizmund/status/919927590856658944
Sigizmund;2017-10-16 14:00;1;0;"Китайцы сэрр";;;;"919926109478772737";https://twitter.com/Sigizmund/status/919926109478772737
Sigizmund;2017-10-16 09:47;0;0;"А почему они за жопы друг друга не держат...где сплочённый дух...";;;;"919862410663604226";https://twitter.com/Sigizmund/status/919862410663604226
Sigizmund;2017-10-16 09:46;0;0;"Россиянам пох на Иуду...";;;;"919861994542440449";https://twitter.com/Sigizmund/status/919861994542440449
Sigizmund;2017-10-16 08:45;0;0;"Опись и мойся и никого не бойся....";;;;"919846704752611328";https://twitter.com/Sigizmund/status/919846704752611328
Sigizmund;2017-10-16 07:31;0;0;"Это что за гравицап...на Марс готовятся полететь?";;;;"919828144126857216";https://twitter.com/Sigizmund/status/919828144126857216
Sigizmund;2017-10-16 07:30;0;0;"Началось...партизанос...";;;;"919827889356509186";https://twitter.com/Sigizmund/status/919827889356509186
Sigizmund;2017-10-16 07:29;0;1;"На заднем плане ,кто делает селфи... Сверху..";;;;"919827528554024960";https://twitter.com/Sigizmund/status/919827528554024960
Sigizmund;2017-10-16 07:21;0;0;"Это он сученок на варшавке вещает...рядом монетный двор...";;;;"919825492651454465";https://twitter.com/Sigizmund/status/919825492651454465
Sigizmund;2017-10-16 07:19;0;0;"Пусть сначала будут работать нормально,а не собирать очереди на почте..люди по полтора часа стоят ...";;;;"919825006263197696";https://twitter.com/Sigizmund/status/919825006263197696
Sigizmund;2017-10-16 06:14;0;0;"Та нас это кому?штрихкод посмотрите.в России штрих начинается с 46....";;;;"919808660217442304";https://twitter.com/Sigizmund/status/919808660217442304
Sigizmund;2017-10-15 14:26;0;0;"Опять у Хохлов .....";;;;"919570289792552960";https://twitter.com/Sigizmund/status/919570289792552960
Sigizmund;2017-10-15 13:14;0;0;"Потерянное поколение... https:// twitter.com/Neomaster1985/ status/919274426964828162 …";;;;"919552173117267968";https://twitter.com/Sigizmund/status/919552173117267968
Sigizmund;2017-10-15 08:41;0;0;"У проституток не будет отдыха....";;;;"919483324527185920";https://twitter.com/Sigizmund/status/919483324527185920
Sigizmund;2017-10-15 08:40;0;0;"Так она ж сама.....не русская и тем более не украинка...своих называет ж..ами";;;;"919483054556577797";https://twitter.com/Sigizmund/status/919483054556577797
Sigizmund;2017-10-14 19:06;0;0;"Началось...будут раздирать ,кто как успеет..";;;;"919278251230617601";https://twitter.com/Sigizmund/status/919278251230617601
Sigizmund;2017-10-13 08:45;1;0;"Видели там знак(выгул собак запрещен)...... Нарвались.";;;;"918759693648039936";https://twitter.com/Sigizmund/status/918759693648039936
Sigizmund;2017-10-12 17:46;0;0;"Да они все испахабят...";;;;"918533405079425024";https://twitter.com/Sigizmund/status/918533405079425024
Sigizmund;2017-10-12 17:16;0;0;"Вот он идиот....";;;;"918525726789423104";https://twitter.com/Sigizmund/status/918525726789423104
Sigizmund;2017-10-12 15:07;0;0;"Какие вы убогие ушлепков,куражитесь над смертью...";;;;"918493236406247425";https://twitter.com/Sigizmund/status/918493236406247425
Sigizmund;2017-10-12 10:36;0;0;"Ростишки объелся...";;;;"918425008548077568";https://twitter.com/Sigizmund/status/918425008548077568
Sigizmund;2017-10-11 19:35;0;0;"Держи pic.twitter.com/rdIcYraYMc";;;;"918198394010644480";https://twitter.com/Sigizmund/status/918198394010644480
Sigizmund;2017-10-10 20:00;0;0;"А люди этому хлюпику поверили. Он просто хотел для себя больше выгод от испанского правительства.";;;;"917842285378850817";https://twitter.com/Sigizmund/status/917842285378850817
Sigizmund;2017-10-10 18:56;0;0;"Пусть расскажут это Пете...";;;;"917826121688846344";https://twitter.com/Sigizmund/status/917826121688846344
