username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Slesar21;2017-11-03 16:37;0;0;"Это религиозный фетиш";;;;"926488496096804865";https://twitter.com/Slesar21/status/926488496096804865
Slesar21;2017-11-03 14:30;0;0;"Пламенные рэволюционеры тож не одобряют https:// twitter.com/StalinGulag/st atus/926083188367282177 …";;;;"926456461005344768";https://twitter.com/Slesar21/status/926456461005344768
Slesar21;2017-11-03 14:28;0;0;"Хотя я не знаю, в своей жизни общался лишь с несколькими. Чеченов против Путина тож не встречал, а говорят есть такие";;;;"926456114367074304";https://twitter.com/Slesar21/status/926456114367074304
Slesar21;2017-11-03 14:27;0;0;"Им сладко от того социального неравенства , что культивирует Путин: Илита и быдло. Их раздражает равенство людей. айфон - символ успешности";;;;"926455742034571267";https://twitter.com/Slesar21/status/926455742034571267
Slesar21;2017-11-03 14:16;0;0;"С чего это? Че т я как-то либерстов с айфонами не вижу. В основном потреблядей. дагов, чеченов, мажоров.... Мажор весь за Путина";;;;"926452996082470912";https://twitter.com/Slesar21/status/926452996082470912
Slesar21;2017-11-03 14:11;0;0;"Потреблядство. А потом идут и голосуют за Путина";;;;"926451891160182785";https://twitter.com/Slesar21/status/926451891160182785
Slesar21;2017-11-03 12:29;0;0;"Захарченко чтоль? В костюме не узнать";;;;"926426159021199361";https://twitter.com/Slesar21/status/926426159021199361
Slesar21;2017-11-03 12:26;8;5;"Коварные США сделали вирус СПИДа как биологическое оружие против православных людей. Ибо православным пользоваться гандонами грешно!!!";;;;"926425410522484736";https://twitter.com/Slesar21/status/926425410522484736
Slesar21;2017-11-03 12:05;2;1;"По ВатаТВ как само-собой называют РФ "Великой державой", в отличии от всяких там Турций. Как я понял народ они к Великой державе не относят";;;;"926420068879171584";https://twitter.com/Slesar21/status/926420068879171584
Slesar21;2017-11-03 12:03;2;0;"Как это не будем тратить!!! Это ж любимое занятие росгосударства кого-нить присоединить, ну или хотя б подавить!!!!";;;;"926419454048768000";https://twitter.com/Slesar21/status/926419454048768000
Slesar21;2017-11-03 10:34;0;0;"Обманываешь я сча твою ленту читал. Ты почти образец здравомымлия.";;;;"926397160240934912";https://twitter.com/Slesar21/status/926397160240934912
Slesar21;2017-11-03 10:23;0;0;"Все верно делаешь. Не забывай только еще и либерастов обличать";;;;"926394350573096960";https://twitter.com/Slesar21/status/926394350573096960
Slesar21;2017-11-03 10:03;1;1;"Надо довольными быть — не приходится учить чеченский язык принудительно. Пока";;;;"926389477119062016";https://twitter.com/Slesar21/status/926389477119062016
Slesar21;2017-11-03 06:10;0;0;"Западные демократии все больше погружаются в охлократизм. Толпа деньги считать не умеет и газет не читает. Нет уже Рейганов и Рузвельтов";;;;"926330687296299008";https://twitter.com/Slesar21/status/926330687296299008
Slesar21;2017-11-03 06:02;0;0;"Не даст Запад денег. В 90-е не дал, Украине сейчас не дал. Не надо его идеализировать. А так правильно. Чо";;;;"926328733639827457";https://twitter.com/Slesar21/status/926328733639827457
Slesar21;2017-11-03 05:37;0;0;"Ты так-то 1300 читаешь. Время на шпионство остается?";;;;"926322327096307712";https://twitter.com/Slesar21/status/926322327096307712
Slesar21;2017-11-03 05:30;0;0;"Это потому-как, Ёша, ты либералов читаешь. Пропаганда дибилофеодализма может существовать тока информационном вакууме. Слава Навальному!!!";;;;"926320688331452416";https://twitter.com/Slesar21/status/926320688331452416
Slesar21;2017-11-02 18:02;1;1;"pic.twitter.com/K72Rbi8jZV";;;;"926147616538288128";https://twitter.com/Slesar21/status/926147616538288128
Slesar21;2017-11-02 18:02;8;6;"pic.twitter.com/32s8sseNnR";;;;"926147446639558656";https://twitter.com/Slesar21/status/926147446639558656
Slesar21;2017-11-02 05:40;0;8;"Просто Володин с пацанами неплохо "жизнеустроились"";;;;"925960749054341120";https://twitter.com/Slesar21/status/925960749054341120
