username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SunflowerSoul71;2017-11-03 22:15;1;2;"be back in just a bit for scoop. working on something. :)";;;;"926573673481490432";https://twitter.com/SunflowerSoul71/status/926573673481490432
SunflowerSoul71;2017-11-03 22:15;0;1;"sorry - got busy with project. be back after while. and you are welcome! You look good in the sun girl!";;;;"926573546884694019";https://twitter.com/SunflowerSoul71/status/926573546884694019
SunflowerSoul71;2017-11-03 21:56;0;0;"@geokaren Your photo is ADORABLE!";;@geokaren;;"926568692045045760";https://twitter.com/SunflowerSoul71/status/926568692045045760
SunflowerSoul71;2017-11-03 21:55;0;1;"YES and YES! So very wrong!";;;;"926568612680404992";https://twitter.com/SunflowerSoul71/status/926568612680404992
SunflowerSoul71;2017-11-03 21:55;0;1;"Like I always say WE FEEL HER PAIN because it has been our pain too!";;;;"926568530711019520";https://twitter.com/SunflowerSoul71/status/926568530711019520
SunflowerSoul71;2017-11-03 21:55;0;1;"Sure is.";;;;"926568440286064640";https://twitter.com/SunflowerSoul71/status/926568440286064640
SunflowerSoul71;2017-11-03 21:53;0;2;"ME TOO! and so hurt she can't even be minding her own business enjoying her book tour and attacked by her own!";;;;"926568114342506496";https://twitter.com/SunflowerSoul71/status/926568114342506496
SunflowerSoul71;2017-11-03 21:48;0;1;"EXACTLY! You cannot and everyone involved in this KNOWS IT TOO!";;;;"926566880982327296";https://twitter.com/SunflowerSoul71/status/926566880982327296
SunflowerSoul71;2017-11-03 21:48;0;2;"It really is. & hurts so much. As women we especially know what it is to give give give and never be appreciate and eventually thrown away!";;;;"926566659732721664";https://twitter.com/SunflowerSoul71/status/926566659732721664
SunflowerSoul71;2017-11-03 21:40;1;3;"Tom made statement saying Hillary and sanders signed the same contract. Hillary raised money and sanders did not! But yet they kiss his ass";;;;"926564681065656321";https://twitter.com/SunflowerSoul71/status/926564681065656321
SunflowerSoul71;2017-11-03 21:39;1;2;"Don't know what you missed but here is the truth! http:// deepstatenation.com/primary-error- donna-brazile-mixed-up-two-different-clinton-dnc-agreements/ …";;;;"926564551595880449";https://twitter.com/SunflowerSoul71/status/926564551595880449
SunflowerSoul71;2017-11-03 21:39;1;4;"Tom Perez put out a short written statement to DNC members but I said he should do PRESS CONFERENCE so the world knows HRC was slandered!";;;;"926564479932010503";https://twitter.com/SunflowerSoul71/status/926564479932010503
SunflowerSoul71;2017-11-03 21:38;0;2;"He actually WAS doing fundraising off of this. He signed the damn contract. He KNEW the truth. What a guy!";;;;"926564297878196224";https://twitter.com/SunflowerSoul71/status/926564297878196224
SunflowerSoul71;2017-11-03 21:32;0;1;"YES!";;;;"926562797005295616";https://twitter.com/SunflowerSoul71/status/926562797005295616
SunflowerSoul71;2017-11-03 21:32;1;0;"GOP, trump - they don't get the DNC statement.";;;;"926562727627145216";https://twitter.com/SunflowerSoul71/status/926562727627145216
SunflowerSoul71;2017-11-03 21:31;4;5;"Cowardly way out! Ruffles less feathers with Sanders people they have shown the only interest in kissing their asses. https:// twitter.com/LeChatNoire4/s tatus/926562305822875648 …";;;;"926562566989598720";https://twitter.com/SunflowerSoul71/status/926562566989598720
SunflowerSoul71;2017-11-03 21:30;0;0;"Good! I did not watch him for a bit because when he was doing Lawrence show one night he said Hillary was not the right candidate. UGGGHH!";;;;"926562290681425922";https://twitter.com/SunflowerSoul71/status/926562290681425922
SunflowerSoul71;2017-11-03 21:29;18;45;"GOT THAT @BernieSanders sheeple . . . Tom Perez just made statement saying BS had same contract as HRC. Guess which one of the 2 mooched?";;@BernieSanders;;"926562036280184832";https://twitter.com/SunflowerSoul71/status/926562036280184832
SunflowerSoul71;2017-11-03 21:27;0;1;"SHE LIED! and SO DID WARREN! @SenWarren made the media rounds yesterday appearing wherever she could to call Hillary "crooked"!";;@SenWarren;;"926561452374331392";https://twitter.com/SunflowerSoul71/status/926561452374331392
SunflowerSoul71;2017-11-03 21:25;0;0;"@TheView @JoyVBehar @sunny YOU need to NOW read @tomperez statement debunking what Brazile and Warren said. APOLOGIZE to HILLARY on MONDAY!";;@TheView @JoyVBehar @sunny @tomperez;;"926561069316956160";https://twitter.com/SunflowerSoul71/status/926561069316956160
