username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WilliamBighouse;2017-10-31 00:41;0;0;"The sky is falling tactic. Nobody loses access to healthcare. They will be losing INSURANCE. #Obamacare is the keystone to Ins Co. bailouts.";;;#Obamacare;"925160724296544257";https://twitter.com/WilliamBighouse/status/925160724296544257
WilliamBighouse;2017-10-31 00:37;2;1;"Looks like #Podesta & @HillaryClinton are going to have to answer some questions. https:// twitter.com/RightSmartsNew s/status/925159266822049792 …";;@HillaryClinton;#Podesta;"925159858399338496";https://twitter.com/WilliamBighouse/status/925159858399338496
WilliamBighouse;2017-10-31 00:35;0;0;"You got that right!!!! @larryelder hits the nail on the head again! https:// twitter.com/larryelder/sta tus/925158554213916672 …";;@larryelder;;"925159282584309761";https://twitter.com/WilliamBighouse/status/925159282584309761
WilliamBighouse;2017-10-13 17:45;0;0;"@NFL has teamed up with @GeorgeSoros . Nothing good will become of this. #BoycottNFL #ArrestGeorgeSoros #ArrestAlexanderSoros #CorruptLibs https:// twitter.com/kwilli1046/sta tus/916110446003924992 …";;@NFL @GeorgeSoros;#BoycottNFL #ArrestGeorgeSoros #ArrestAlexanderSoros #CorruptLibs;"918895490233716736";https://twitter.com/WilliamBighouse/status/918895490233716736
WilliamBighouse;2017-10-13 17:42;2;4;"Seems like America isn't the only place suffering from rampant Public Corruption. https:// twitter.com/STKnutsen/stat us/918580253676666881 …";;;;"918894708625207297";https://twitter.com/WilliamBighouse/status/918894708625207297
WilliamBighouse;2017-10-13 17:09;8;6;"Breaking News: @realDonaldTrump giving presser on new strategy & policy on #Iran , the single largest state sponsor of Terrorism.";;@realDonaldTrump;#Iran;"918886523508011009";https://twitter.com/WilliamBighouse/status/918886523508011009
WilliamBighouse;2017-10-13 17:07;1;2;"I wonder if @SenFeinstein realizes how stupid she looks when she makes statements like this #DelusionalDiane #DemocratDelusions #OutOfTouch https:// twitter.com/jsn1freeman/st atus/918640320585392129 …";;@SenFeinstein;#DelusionalDiane #DemocratDelusions #OutOfTouch;"918885835524669441";https://twitter.com/WilliamBighouse/status/918885835524669441
WilliamBighouse;2017-10-13 17:00;0;1;"Agreed. Congressional mbrs spending 20-30yrs in Congress has one outcome. Corruption on entirely new levels. OfThePpl, ByThePpl, ForThePpl";;;;"918884219505577984";https://twitter.com/WilliamBighouse/status/918884219505577984
WilliamBighouse;2017-10-13 16:47;0;0;"The many Dems who are philanderers, yet accuse Trump. Usually those accusing are the 1s doing the deed. Not talking abt Victims, but perps.";;;;"918880922920980480";https://twitter.com/WilliamBighouse/status/918880922920980480
WilliamBighouse;2017-10-13 16:43;0;0;"@HarveyWeinstein & @BenAffleck both should be on trial. They hide behind the injustice their money can buy, part of Corrupt Establishment. https:// twitter.com/arttavana/stat us/918585075058360320 …";;@HarveyWeinstein @BenAffleck;;"918879941848109056";https://twitter.com/WilliamBighouse/status/918879941848109056
WilliamBighouse;2017-10-13 16:41;0;0;"To my followers. I apologize for being absent, it is Deer Season here in Texas, & I have been enjoying my favorite pastime. ETADIK @peta";;@peta;;"918879452070924289";https://twitter.com/WilliamBighouse/status/918879452070924289
WilliamBighouse;2017-10-12 19:45;0;0;"JUST IN: Soros Placed $42 MILLION Bet Day Before Vegas Shooting As Profits SOAR https:// conservativedailypost.com/just-in-soros- placed-42-million-bet-day-before-vegas-shooting-as-profits-soar/ …";;;;"918563402389352448";https://twitter.com/WilliamBighouse/status/918563402389352448
WilliamBighouse;2017-10-09 15:16;0;0;"@dallascowboys We already watched Jerry Jones kneel with his team before the Nat'l Anthem. Pretty much sums it up https:// twitter.com/GeorgiaDirtRoa d/status/917402772399624193 …";;@dallascowboys;;"917408430503223296";https://twitter.com/WilliamBighouse/status/917408430503223296
WilliamBighouse;2017-10-03 16:23;1;1;"Interesting anomalies in this pic. Pay note to the date of publication. Prior to the attack? Things that make you go, Hmmmm! https:// twitter.com/Raeakepler/sta tus/915029137714237440 …";;;;"915250898896551937";https://twitter.com/WilliamBighouse/status/915250898896551937
WilliamBighouse;2017-10-03 16:10;0;0;"If you alter your life based on imagined situations. Then you're doing what the fascist left wants you to do. StandUp to the fascist left.";;;;"915247668758290432";https://twitter.com/WilliamBighouse/status/915247668758290432
WilliamBighouse;2017-10-03 16:08;0;0;"She should have been fired. Anyone with deep seated hatred of the left, has psychological problems, and should seek out Psychiatric Trtmnt";;;;"915247099683512320";https://twitter.com/WilliamBighouse/status/915247099683512320
WilliamBighouse;2017-10-03 13:02;0;2;"Gun Registration is first step to #GunControl . Gov't has no business knowing what you own, & how many. Not their function. #2A is pretty clr";;;#GunControl #2A;"915200314449567744";https://twitter.com/WilliamBighouse/status/915200314449567744
WilliamBighouse;2017-10-03 13:00;0;2;"the seller then contacts BATFE, NICS, check you receive, a proceed, Hold, or Do Not Proceed. Fed Gov't, is prevented from maintain registry.";;;;"915199962719428610";https://twitter.com/WilliamBighouse/status/915199962719428610
