username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ZigmundBalash;2017-11-03 20:38;2;3;"Евгений Ройзман решил узнать, каково это быть политическим трупом и троглодитом. pic.twitter.com/g6NRMG6VYM";;;;"926549153534095360";https://twitter.com/ZigmundBalash/status/926549153534095360
ZigmundBalash;2017-11-03 19:24;0;0;"Алексей Алексеевич Венедиктов буянит. pic.twitter.com/OTNoHZ9poN";;;;"926530489787211776";https://twitter.com/ZigmundBalash/status/926530489787211776
ZigmundBalash;2017-11-03 12:33;0;0;"В Пушкинском музее в Москве произошел пожар — Meduza https:// meduza.io/news/2017/11/0 3/v-pushkinskom-muzee-v-moskve-voznik-pozhar?utm_source=t.co&utm_medium=share_twitter&utm_campaign=share … via @meduzaproject Воровской путинизм с его плодами.";;@meduzaproject;;"926427060733607937";https://twitter.com/ZigmundBalash/status/926427060733607937
ZigmundBalash;2017-11-03 10:35;0;1;"И отдельно - его усы :)";;;;"926397356140056576";https://twitter.com/ZigmundBalash/status/926397356140056576
ZigmundBalash;2017-11-03 10:31;0;1;"ФСБ обвинила сторонников Мальцева в подготовке поджогов и нападений на полицию https:// meduza.io/news/2017/11/0 3/fsb-obvinila-storonnikov-maltseva-v-podgotovke-podzhogov-i-napadeniy-na-politsiyu … Бутылки посчитаны, а сподвижники нет.";;;;"926396314241429505";https://twitter.com/ZigmundBalash/status/926396314241429505
ZigmundBalash;2017-11-03 09:29;0;1;"При том, что американцы используют паспорт не так, как россияне.";;;;"926380915915395072";https://twitter.com/ZigmundBalash/status/926380915915395072
ZigmundBalash;2017-11-03 09:28;0;1;"А до этого прямо боролись-боролись.";;;;"926380522137321472";https://twitter.com/ZigmundBalash/status/926380522137321472
ZigmundBalash;2017-11-03 09:24;0;4;"Песков считают пользу РФ неприемлемой. Так вижу.";;;;"926379641119571968";https://twitter.com/ZigmundBalash/status/926379641119571968
ZigmundBalash;2017-11-03 09:22;0;2;"Скоро побежим все дыханием нефтепроводы отогревать.";;;;"926379080265682944";https://twitter.com/ZigmundBalash/status/926379080265682944
ZigmundBalash;2017-11-03 09:20;0;1;"Одно время у меня тоже, я их почистил. Но вот опять просочились.";;;;"926378553377263616";https://twitter.com/ZigmundBalash/status/926378553377263616
ZigmundBalash;2017-11-03 09:14;0;0;"Зато живьем...";;;;"926376962301493248";https://twitter.com/ZigmundBalash/status/926376962301493248
ZigmundBalash;2017-11-03 09:11;0;1;"А то ж.";;;;"926376254596616192";https://twitter.com/ZigmundBalash/status/926376254596616192
ZigmundBalash;2017-11-03 09:11;1;3;"Уже совсем скоро искусственный интеллект нажмет кнопку "дилит" и обнулит Медведева. pic.twitter.com/bTQZsTF2sX";;;;"926376169271939072";https://twitter.com/ZigmundBalash/status/926376169271939072
ZigmundBalash;2017-11-03 09:09;0;0;"Так это он еще когда был жалким порочным язычником. Это можно.";;;;"926375707621588993";https://twitter.com/ZigmundBalash/status/926375707621588993
ZigmundBalash;2017-11-03 09:05;0;1;"Тоже неплохо :)";;;;"926374730084638720";https://twitter.com/ZigmundBalash/status/926374730084638720
