username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
anuytaissak;2017-04-11 09:39;0;0;"Они просто хотели получать не меньше своего руководства.)))";;;;"851731396657897473";https://twitter.com/anuytaissak/status/851731396657897473
anuytaissak;2017-04-11 06:19;0;3;"Когда все отмыто до блеска и прозрачности";;;;"851681035305746432";https://twitter.com/anuytaissak/status/851681035305746432
anuytaissak;2017-04-10 15:31;0;0;"Где водку брали? - Да, у Ельцина...";;;;"851457587522482176";https://twitter.com/anuytaissak/status/851457587522482176
anuytaissak;2017-04-10 11:56;0;0;"Этот еврейск. проект и ставит своей целью наблюден. за уровнем распростр. и знания и русск. языка.А "коньяк и стерлядь" - вымысел, издевка";;;;"851403597376094208";https://twitter.com/anuytaissak/status/851403597376094208
anuytaissak;2017-04-10 11:33;0;2;"Ну, и зачем мы их поддерживаем,притом еще валютой.Уж кур в магазинах полно от многих своих производителей.";;;;"851397766978973702";https://twitter.com/anuytaissak/status/851397766978973702
anuytaissak;2017-04-10 10:56;0;2;"Потом вернется в Россию и будет жаловаться, как его жестоко обманули...";;;;"851388364251156480";https://twitter.com/anuytaissak/status/851388364251156480
anuytaissak;2017-04-10 10:48;0;0;"Прямо переживаю, кем бы он хотел заселить нашу большую страну.";;;;"851386519973748737";https://twitter.com/anuytaissak/status/851386519973748737
anuytaissak;2017-04-10 10:39;2;0;"Блондинка сама попала под влияние. Муж - хабадник.";;;;"851384187865231361";https://twitter.com/anuytaissak/status/851384187865231361
anuytaissak;2017-04-10 09:10;0;0;"Южной Корее надо больше бояться своего непредсказуемого заморского босса.";;;;"851361821642686464";https://twitter.com/anuytaissak/status/851361821642686464
anuytaissak;2017-04-10 09:07;0;0;"Когда за спиной ротшильды тычут в спину..";;;;"851360956819148800";https://twitter.com/anuytaissak/status/851360956819148800
anuytaissak;2017-04-10 08:47;1;1;"На корпоративах бы что- ли высказался. Сразу в цель.";;;;"851355995825680385";https://twitter.com/anuytaissak/status/851355995825680385
anuytaissak;2017-04-10 08:23;0;0;"И теперь государство будет лет 15 кормить, лечить, выгуливать этих уродов. А народ за это платить.";;;;"851349968413753345";https://twitter.com/anuytaissak/status/851349968413753345
anuytaissak;2017-04-10 08:12;0;0;""Тотальный диктат"";;;;"851347132283998208";https://twitter.com/anuytaissak/status/851347132283998208
anuytaissak;2017-04-09 11:21;0;0;"Страшное для всего мира в том, что КНДР не промолчит в ответ.";;;;"851032223876829184";https://twitter.com/anuytaissak/status/851032223876829184
anuytaissak;2017-04-08 07:57;0;0;"Женщины согласны с этим унижением - мешком на голове и балахоном на теле.";;;;"850618464461049856";https://twitter.com/anuytaissak/status/850618464461049856
anuytaissak;2017-04-07 11:59;0;0;"Израиль и сам делает вылазки в Сирию...мечтает о чужой земле и нефти.";;;;"850317201303318529";https://twitter.com/anuytaissak/status/850317201303318529
anuytaissak;2017-04-07 11:52;1;0;"Кажется, верит один Путин.";;;;"850315381503864835";https://twitter.com/anuytaissak/status/850315381503864835
anuytaissak;2017-04-07 11:43;0;0;"Халявная поездка в Израиль ..аж сотня желающих( с верой в бабло).";;;;"850313151711236096";https://twitter.com/anuytaissak/status/850313151711236096
anuytaissak;2017-04-07 11:25;0;1;"И чего мы так скорбели о Талькове...мразь оказалась еще та.";;;;"850308573980749824";https://twitter.com/anuytaissak/status/850308573980749824
anuytaissak;2017-04-07 10:05;0;0;"Власти спят и видят , когда русских станет все меньше и меньше в новохазарии.";;;;"850288479024164864";https://twitter.com/anuytaissak/status/850288479024164864
