username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
aziza_mir98;2017-10-17 04:07;0;0;"Участвуйте в опросах https:// vk.cc/7etbTH";;;;"920139217514172417";https://twitter.com/aziza_mir98/status/920139217514172417
aziza_mir98;2017-09-24 16:45;0;0;"Азиза отметила своё местоположение https:// vk.cc/79aNSl";;;;"911995113508831237";https://twitter.com/aziza_mir98/status/911995113508831237
aziza_mir98;2017-09-03 11:53;0;0;"Актуальненько... https:// vk.cc/74gXGF";;;;"904311382459416576";https://twitter.com/aziza_mir98/status/904311382459416576
aziza_mir98;2017-08-21 07:45;0;1;"#территорияавангарда #20.08.2017. #аренаомск https:// vk.cc/71cTVV";;;# #20 #;"899537938085818369";https://twitter.com/aziza_mir98/status/899537938085818369
aziza_mir98;2017-08-03 05:00;0;0;"Кто хочет сделать заказ по каталогу https:// vk.com/album-11150451 8_246106288 … / Пишите мне в лс https:// vk.cc/6X6YHE";;;;"892973424829771778";https://twitter.com/aziza_mir98/status/892973424829771778
aziza_mir98;2017-07-31 12:35;0;0;"Я уже использую карту Тинькофф Банка. Присоединяйся, чтобы получить кэшбек, скидки и бонусы. https:// vk.cc/6WusrT";;;;"892000743598829568";https://twitter.com/aziza_mir98/status/892000743598829568
aziza_mir98;2017-07-09 08:06;0;0;"Погуляли хорошо #8июля #деньсемьи https:// vk.cc/6RmidL";;;#8 #;"883960523217403904";https://twitter.com/aziza_mir98/status/883960523217403904
aziza_mir98;2017-07-03 12:47;0;0;"https:// vk.cc/6Q0kad";;;;"881856993501294592";https://twitter.com/aziza_mir98/status/881856993501294592
aziza_mir98;2017-07-02 09:02;0;1;"Марк Шмаков / Кайрат Шакенов / Максим Сопотовский / Поля Якутович / Артём Шевелёв / &#10084.. https:// vk.cc/6PIRp9";;;#10084;"881438040002088960";https://twitter.com/aziza_mir98/status/881438040002088960
aziza_mir98;2017-07-02 08:46;0;1;"Школьники мои https:// vk.cc/6PIBmK";;;;"881433927977762816";https://twitter.com/aziza_mir98/status/881433927977762816
aziza_mir98;2017-06-30 19:46;0;1;"https:// vk.cc/6Pq028";;;;"880875134197870593";https://twitter.com/aziza_mir98/status/880875134197870593
aziza_mir98;2017-06-30 19:40;0;1;"https:// vk.cc/6PpWKT";;;;"880873777562832900";https://twitter.com/aziza_mir98/status/880873777562832900
aziza_mir98;2017-06-28 14:18;0;1;"Не верится, что уже последние денечки.. #месяцпролетел #скоровсезакончится #будуоченьскучать #увидемсячерез1 ,5месяца https:// vk.cc/6OS283";;;# # # #;"880067805369876480";https://twitter.com/aziza_mir98/status/880067805369876480
aziza_mir98;2017-06-28 14:18;0;0;"Не верится, что уже последние денечки.. #месяцпролетел #скоровсезакончится #будуоченьскучать #увидемсячерез1 ,5месяца https:// vk.cc/6OS283";;;# # # #;"880067805260984320";https://twitter.com/aziza_mir98/status/880067805260984320
aziza_mir98;2017-06-26 12:06;0;1;"Аттестация)))) https:// vk.cc/6OmeGu";;;;"879309882045992960";https://twitter.com/aziza_mir98/status/879309882045992960
aziza_mir98;2017-06-22 14:28;0;1;"#лагерьткд #дети #лето #работаемотдыхаем #всепрекрасно https:// vk.cc/6Nt9TH";;;# # # # #;"877895982691876864";https://twitter.com/aziza_mir98/status/877895982691876864
aziza_mir98;2017-06-22 14:28;0;1;"#лагерьткд #дети #лето #работаемотдыхаем #всепрекрасно https:// vk.cc/6Nt9TH";;;# # # # #;"877895982490427393";https://twitter.com/aziza_mir98/status/877895982490427393
aziza_mir98;2017-06-21 17:59;0;1;"#лагерьткд #омск #скорпион #сегоднябылтяжелыйдень #ноонзапомнитсянадолго #топовыеребята #бандакоманда https:// vk.cc/6Ngtjh";;;# # # # # # #;"877586716449689600";https://twitter.com/aziza_mir98/status/877586716449689600
aziza_mir98;2017-06-20 14:10;0;0;"Родныыыые моииии https:// vk.cc/6MXonN";;;;"877166858834763776";https://twitter.com/aziza_mir98/status/877166858834763776
aziza_mir98;2017-06-18 19:19;0;1;"детки -конфетки https:// vk.cc/6MwD3t";;;;"876519815913058304";https://twitter.com/aziza_mir98/status/876519815913058304
aziza_mir98;2017-06-18 18:32;0;1;"Этот малой ходячий угар / / Порой и не знаешь че он ляпнет / #Соколик https:// vk.cc/6Mw1hF";;;#;"876507937992265736";https://twitter.com/aziza_mir98/status/876507937992265736
aziza_mir98;2017-06-16 17:19;0;0;"мои новые ноготочки https:// vk.cc/6M3eED";;;;"875764829478428673";https://twitter.com/aziza_mir98/status/875764829478428673
aziza_mir98;2017-06-15 05:15;0;0;"https:// vk.cc/6LDUbb";;;;"875220164857307136";https://twitter.com/aziza_mir98/status/875220164857307136
aziza_mir98;2017-06-13 19:13;0;1;"Лаааагерь Деееети https:// vk.cc/6LkGSo";;;;"874706405093253120";https://twitter.com/aziza_mir98/status/874706405093253120
aziza_mir98;2017-06-12 09:51;0;0;"/ #МамаОмск #Лето2017 https:// vk.cc/6KXzHi";;;# #;"874202417830785024";https://twitter.com/aziza_mir98/status/874202417830785024
aziza_mir98;2017-06-07 17:49;0;0;"братишка https:// vk.cc/6JQSBp";;;;"872510967476871168";https://twitter.com/aziza_mir98/status/872510967476871168
aziza_mir98;2017-06-07 14:20;0;0;"скучаю по тому дню... https:// vk.cc/6JNDdw";;;;"872458270782500865";https://twitter.com/aziza_mir98/status/872458270782500865
aziza_mir98;2017-06-07 14:05;0;0;"https:// vk.cc/6JNpZi";;;;"872454593627774976";https://twitter.com/aziza_mir98/status/872454593627774976
aziza_mir98;2017-06-01 10:13;0;0;"#лаагерь #ткд https:// vk.cc/6IapFW";;;# #;"870221804819886080";https://twitter.com/aziza_mir98/status/870221804819886080
aziza_mir98;2017-05-31 11:46;0;0;"https:// vk.cc/6HUSDX";;;;"869882716401139712";https://twitter.com/aziza_mir98/status/869882716401139712
aziza_mir98;2017-05-29 09:27;0;0;"#пошливмузей #18ФК #гуляяяем #наулицетеплоо https:// vk.cc/6Hlsa2";;;# #18 # #;"869122991933837313";https://twitter.com/aziza_mir98/status/869122991933837313
aziza_mir98;2017-05-27 15:47;0;0;"Мне с тобою хорошооо #хомячокмой https:// vk.cc/6GXNxZ";;;#;"868493872472743936";https://twitter.com/aziza_mir98/status/868493872472743936
aziza_mir98;2017-05-27 08:59;0;0;"#18ФК #ОПК1 #подведениеитоговгода https:// vk.cc/6GSwfB";;;#18 # #;"868391113610207233";https://twitter.com/aziza_mir98/status/868391113610207233
aziza_mir98;2017-05-23 18:05;0;1;"Родной зал. Родные стены. Родные люди. Как же я скучала..... https:// vk.cc/6G2vZG";;;;"867079013034065921";https://twitter.com/aziza_mir98/status/867079013034065921
aziza_mir98;2017-05-14 18:19;0;0;"Мои родные https:// vk.cc/6DMWlB";;;;"863821120436350977";https://twitter.com/aziza_mir98/status/863821120436350977
aziza_mir98;2017-05-13 15:11;0;0;"Девчули моиииии https:// vk.cc/6DuuqU";;;;"863411388840017921";https://twitter.com/aziza_mir98/status/863411388840017921
aziza_mir98;2017-04-30 15:57;0;0;"#выходные / #хорошийдень / #какмалонужнодлясчастья https:// vk.cc/6A7bWQ";;;# # #;"858711928092450820";https://twitter.com/aziza_mir98/status/858711928092450820
aziza_mir98;2017-04-28 13:21;0;0;"#девочкитакиедевочки #ктонеработаеттотнеест #наконецтовыходные #шаурмапападёнер #миссиявыполнена #шикарныйдень https:// vk.cc/6zAykv";;;# # # # # #;"857947768618455040";https://twitter.com/aziza_mir98/status/857947768618455040
aziza_mir98;2017-04-22 12:54;0;0;"https:// vk.cc/6xW84P";;;;"855766792505044992";https://twitter.com/aziza_mir98/status/855766792505044992
aziza_mir98;2017-04-21 11:11;0;0;"#опк1 #юбилейколледжа #145лет #практика #судьи #18фк https:// vk.cc/6xDSch";;;# # #145 # # #18;"855378483018686465";https://twitter.com/aziza_mir98/status/855378483018686465
aziza_mir98;2017-04-20 01:18;0;0;"/ Жизнь состоит не только из фотографий. / Я решила тоже поучаствовать в.. https:// vk.cc/6xfvzD";;;;"854866907236900865";https://twitter.com/aziza_mir98/status/854866907236900865
aziza_mir98;2017-04-08 16:19;0;0;"#учеба #мытакустали #когдаужелето #хочуотдыхать https:// vk.cc/6uaCR8";;;# # # #;"850745041165463552";https://twitter.com/aziza_mir98/status/850745041165463552
aziza_mir98;2017-04-01 17:27;0;0;"#соревки#чипсфо#омск#краснаязвезда#скорпион#таеквондомфт#март2017 https:// vk.cc/6seZuk";;;# # # # # # #;"848225380507029504";https://twitter.com/aziza_mir98/status/848225380507029504
aziza_mir98;2017-03-25 12:17;0;0;"#ангар #ночьстудентов https:// vk.cc/6q7qur";;;# #;"845610686763995136";https://twitter.com/aziza_mir98/status/845610686763995136
aziza_mir98;2017-03-23 23:02;0;0;"#doski #omsk #17.03.17 https:// vk.cc/6pHWaB";;;#doski #omsk #17;"845048165967577088";https://twitter.com/aziza_mir98/status/845048165967577088
aziza_mir98;2017-03-21 15:57;0;0;"На соревнованиях по тхэквондо у омичей конкурентов не было https:// vk.cc/6oNIBZ";;;;"844216443323539458";https://twitter.com/aziza_mir98/status/844216443323539458
aziza_mir98;2017-03-21 15:31;0;0;"#весеннийсад#фоточки#иэтотолькополовина#омск#мега https:// vk.cc/6p2pte";;;# # # # #;"844209845242859524";https://twitter.com/aziza_mir98/status/844209845242859524
aziza_mir98;2017-03-13 15:42;0;0;"#провокация#фотостудияЛофт#девичник#работка https:// vk.cc/6mJNOR";;;# # # #;"841313621191872513";https://twitter.com/aziza_mir98/status/841313621191872513
aziza_mir98;2017-03-09 15:57;0;0;"#ангар #8марта #ночьстудентов #омск https:// vk.cc/6lAT68";;;# #8 # #;"839867726730526720";https://twitter.com/aziza_mir98/status/839867726730526720
aziza_mir98;2017-03-07 18:07;0;0;"Всех прекрасных представительниц слабого пола с праздником / #8марта #явесна #мега #в .. https:// vk.cc/6l4ckM";;;#8 # # #;"839175633590759424";https://twitter.com/aziza_mir98/status/839175633590759424
aziza_mir98;2017-03-05 13:52;1;3;"Скучала по вам, мои истерички Лола Мирзоева / Кристина Мирзоева https:// vk.cc/6kq7La";;;;"838386717988175872";https://twitter.com/aziza_mir98/status/838386717988175872
aziza_mir98;2017-03-03 05:42;0;0;"#практика#первыеуроки#началка https:// vk.cc/6jJNR1";;;# # #;"837538631002669056";https://twitter.com/aziza_mir98/status/837538631002669056
aziza_mir98;2017-02-23 07:50;0;0;"#тигрули#18ФК#гимнастика https:// vk.cc/6hr9Bu";;;# #18 #;"834671750231293952";https://twitter.com/aziza_mir98/status/834671750231293952
aziza_mir98;2017-02-02 18:13;0;0;"https:// vk.cc/6bmstx";;;;"827218312341880832";https://twitter.com/aziza_mir98/status/827218312341880832
aziza_mir98;2017-01-30 17:51;0;0;"#пары#выживаютсильнейшие#опк1#18фк https:// vk.cc/6aqxlL";;;# # # #18;"826125723500953600";https://twitter.com/aziza_mir98/status/826125723500953600
aziza_mir98;2017-01-25 14:43;0;0;"#архив#1сентября https:// vk.cc/68Xc1l";;;# #1;"824266487686897665";https://twitter.com/aziza_mir98/status/824266487686897665
aziza_mir98;2017-01-23 19:00;0;1;"#сестрички#Мирзоевы / #скородр#февральскиебабы https:// vk.cc/68rWfk";;;# # # #;"823606250646753286";https://twitter.com/aziza_mir98/status/823606250646753286
aziza_mir98;2017-01-19 12:48;0;0;"#пары#учёба#опк1 https:// vk.cc/67eJsR";;;# # #;"822063098827771905";https://twitter.com/aziza_mir98/status/822063098827771905
aziza_mir98;2017-01-16 09:47;0;0;"https:// vk.cc/66moMk";;;;"820930462004690944";https://twitter.com/aziza_mir98/status/820930462004690944
aziza_mir98;2017-01-16 08:58;0;0;"#Coach Зюзя / #Coach Вадя / #Coach Ляля / #Coach Кристик / #мытипагрибы#https:// vk.cc/66lCKo";;;#Coach #Coach #Coach #Coach # #https;"820918112073773057";https://twitter.com/aziza_mir98/status/820918112073773057
aziza_mir98;2017-01-15 16:10;0;0;"Дорогуша моя https:// vk.cc/66c1NR";;;;"820664408854724612";https://twitter.com/aziza_mir98/status/820664408854724612
aziza_mir98;2017-01-10 15:11;0;0;"меня взломали..";;;;"818837631404490752";https://twitter.com/aziza_mir98/status/818837631404490752
aziza_mir98;2017-01-06 17:54;0;0;"Родные мои Катюха Андрюша Ден Санёк / #покаканикулысобрались#следующийразбудетнескоро#номывсеравнолюбимдругдр.. https:// vk.cc/63Olz6";;;# # #;"817429134649466882";https://twitter.com/aziza_mir98/status/817429134649466882
aziza_mir98;2017-01-01 19:32;0;0;"А к нам на тренировку приходил Дед Мороз)))) / #нг#2к17 https:// vk.cc/62FfQ8";;;# #2;"815641852221292544";https://twitter.com/aziza_mir98/status/815641852221292544
aziza_mir98;2017-01-01 17:33;0;0;"Родные мои Нг вместе / Люблю вас https:// vk.cc/62DYkr";;;;"815611932606611458";https://twitter.com/aziza_mir98/status/815611932606611458
aziza_mir98;2016-12-30 18:01;0;0;"Малышня моя https:// vk.cc/62fiGu";;;;"814894192547729408";https://twitter.com/aziza_mir98/status/814894192547729408
aziza_mir98;2016-12-29 05:50;0;0;"ЧиП Омской области 25.12.2016 / #судьи #taekwondo #itf#mft @Красная Звезда https:// vk.cc/61Q4EY";;@;# #taekwondo #itf #mft;"814347732030726145";https://twitter.com/aziza_mir98/status/814347732030726145
aziza_mir98;2016-12-26 17:46;0;0;"Буду скучать по вам! Счастливого нового года! Желаю хорошо вам отдохну.. https:// vk.cc/61fr4u";;;;"813440980821114880";https://twitter.com/aziza_mir98/status/813440980821114880
aziza_mir98;2016-12-25 15:53;0;0;"Соревки https:// vk.cc/60XVrK";;;;"813049928444428288";https://twitter.com/aziza_mir98/status/813049928444428288
aziza_mir98;2016-12-17 17:10;0;0;"Я его до сих пор люблю, но я не могу сказать ему об этом...";;;;"810170385115258880";https://twitter.com/aziza_mir98/status/810170385115258880
aziza_mir98;2016-12-11 17:49;0;0;"Эрикамоя https:// vk.cc/5XlPgl";;;;"808005732088090625";https://twitter.com/aziza_mir98/status/808005732088090625
aziza_mir98;2016-12-11 17:43;0;0;"#заимои #18фк #тииигр https:// vk.cc/5XlKln";;;# #18 #;"808004343215562752";https://twitter.com/aziza_mir98/status/808004343215562752
aziza_mir98;2016-12-11 14:03;0;0;"https:// vk.cc/5XicR4";;;;"807948994345373697";https://twitter.com/aziza_mir98/status/807948994345373697
aziza_mir98;2016-12-07 12:03;0;0;"Россияне будут отдыхать в Новый год девять дней подряд https:// vk.cc/5WcZfs";;;;"806469099207491584";https://twitter.com/aziza_mir98/status/806469099207491584
aziza_mir98;2016-12-04 12:33;0;0;"https:// vk.cc/5VoRnh";;;;"805389456077373440";https://twitter.com/aziza_mir98/status/805389456077373440
aziza_mir98;2016-11-05 09:28;0;1;"Пальчиками по коже -ведь мы тааак похожи @Нефтяники https://www. instagram.com/p/BMbGbMDAlaV/";;@;;"794833791571345408";https://twitter.com/aziza_mir98/status/794833791571345408
aziza_mir98;2016-10-31 19:28;0;0;"Just posted a photo https://www. instagram.com/p/BMPTFekgzFl/";;;;"793172782620246016";https://twitter.com/aziza_mir98/status/793172782620246016
