username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bigd_page;2017-11-03 02:51;1;3;"Deep.... I'm so proud to see Women with more on there mind than Brazilian but lifts and soft porn on ABC CBS and NBC";;;;"926280600226533376";https://twitter.com/bigd_page/status/926280600226533376
bigd_page;2017-11-02 22:46;1;5;"My Special gifts From God Most High! pic.twitter.com/7Ebk5LtUvZ";;;;"926219100736622592";https://twitter.com/bigd_page/status/926219100736622592
bigd_page;2017-11-02 22:43;2;7;"I'm proud of this young man...Real talk! pic.twitter.com/r2LIpg9KV6";;;;"926218298064240641";https://twitter.com/bigd_page/status/926218298064240641
bigd_page;2017-11-02 22:41;0;3;"That's my boy!!!!! #44 pic.twitter.com/lTGfEK4zMy";;;#44;"926217827798929408";https://twitter.com/bigd_page/status/926217827798929408
bigd_page;2017-11-02 17:24;1;2;"Big plays Bud";;;;"926137835190718465";https://twitter.com/bigd_page/status/926137835190718465
bigd_page;2017-11-02 17:14;0;2;"I blinked and she was a young lady...... Time waits for no man....! pic.twitter.com/l8UfzS11PJ";;;;"926135480076394496";https://twitter.com/bigd_page/status/926135480076394496
bigd_page;2017-11-02 17:09;0;0;"Hind sight is 20/20";;;;"926134231776092160";https://twitter.com/bigd_page/status/926134231776092160
bigd_page;2017-11-02 17:00;0;2;"My babies did the Ol' Man right last night My favorite gift ! #@bigd_page pic.twitter.com/DN7YrywETc";;@bigd_page;#;"926131861381963776";https://twitter.com/bigd_page/status/926131861381963776
bigd_page;2017-11-02 16:48;1;1;"Y'all made my night Son";;;;"926128862173519873";https://twitter.com/bigd_page/status/926128862173519873
bigd_page;2017-11-02 16:47;0;1;"pic.twitter.com/EIlHp9dhLU";;;;"926128701531742209";https://twitter.com/bigd_page/status/926128701531742209
bigd_page;2017-11-02 16:47;0;1;"pic.twitter.com/cD8QTpMxCA";;;;"926128594367205376";https://twitter.com/bigd_page/status/926128594367205376
bigd_page;2017-11-02 16:42;0;1;"pic.twitter.com/ianyWiLzy5";;;;"926127410625564682";https://twitter.com/bigd_page/status/926127410625564682
bigd_page;2017-11-01 14:21;0;2;"Love you more than mere words can convey Son...The Most High's Greatest gifts to a wretch like e..Thank you&TMH";;;;"925729434656788482";https://twitter.com/bigd_page/status/925729434656788482
bigd_page;2017-10-30 14:14;0;1;"";;;;"925002968939757568";https://twitter.com/bigd_page/status/925002968939757568
bigd_page;2017-10-30 14:00;0;1;"@ShaunKing I was surely thinking and wondering the same thing when I saw that pic w white guy standing and all the rest kneeling SMH";;@ShaunKing;;"924999426585911296";https://twitter.com/bigd_page/status/924999426585911296
bigd_page;2017-10-30 13:36;2;4;"pic.twitter.com/OtdehiW0Zd";;;;"924993308656533505";https://twitter.com/bigd_page/status/924993308656533505
bigd_page;2017-10-30 03:06;0;0;"Lions ain't shit...pay offs but y'all don't believe me! trained not to drop balls but just let it go!Gtfo";;;;"924834798283182080";https://twitter.com/bigd_page/status/924834798283182080
bigd_page;2017-10-30 02:47;0;1;"One of my favs";;;;"924829973998981120";https://twitter.com/bigd_page/status/924829973998981120
bigd_page;2017-10-29 22:10;0;0;"pic.twitter.com/UFHKB9JHOW";;;;"924760383465885696";https://twitter.com/bigd_page/status/924760383465885696
bigd_page;2017-10-29 22:01;0;0;"That was deep for you to say that!";;;;"924758147859927040";https://twitter.com/bigd_page/status/924758147859927040
