username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
crochetgirlnga;2017-11-03 23:53;0;0;""In the U.S. market for human bodies, anyone can sell the donated dead" http://www. reuters.com/investigates/s pecial-report/usa-bodies-brokers … via @SpecialReports";;@SpecialReports;;"926598121664270338";https://twitter.com/crochetgirlnga/status/926598121664270338
crochetgirlnga;2017-11-03 23:52;0;0;"holy shit! did you know this? https:// twitter.com/Reuters/status /922795988540121088 …";;;;"926597975052255232";https://twitter.com/crochetgirlnga/status/926597975052255232
crochetgirlnga;2017-11-03 23:50;0;0;"hol'up! there's someone on twitter named jesus christ? #ilovepresents on fridays! @RogueAltGov https:// twitter.com/GiGiHadid/stat us/925776591292108802 …";;@RogueAltGov;#ilovepresents;"926597461895991298";https://twitter.com/crochetgirlnga/status/926597461895991298
crochetgirlnga;2017-11-03 23:34;2;4;"30 years after atlantas missing & murdered...black, female & her life didn't matter. do #BlackLivesMatter @SocialIssueNews https:// twitter.com/wsbtv/status/9 26564844760903680 …";;@SocialIssueNews;#BlackLivesMatter;"926593536543330306";https://twitter.com/crochetgirlnga/status/926593536543330306
crochetgirlnga;2017-11-03 23:31;0;0;"and this... @maddow is why irs & state charges haven't been filed. let's call them #PostPardonsyndrome for ensuring jail time. https:// twitter.com/thehill/status /926565423658696704 …";;@maddow;#PostPardonsyndrome;"926592784034926598";https://twitter.com/crochetgirlnga/status/926592784034926598
crochetgirlnga;2017-11-03 23:15;0;0;"@SenorPatronATL tf?! https:// twitter.com/wsbtv/status/9 26568452759932928 …";;@SenorPatronATL;;"926588769360367616";https://twitter.com/crochetgirlnga/status/926588769360367616
crochetgirlnga;2017-11-03 22:58;0;1;"@SocialIssueNews #Blackcodes https:// twitter.com/GLFOP/status/9 26492769551515648 …";;@SocialIssueNews;#Blackcodes;"926584326610935808";https://twitter.com/crochetgirlnga/status/926584326610935808
crochetgirlnga;2017-11-03 22:55;0;0;"and it's friday #MuellerIsComing #MuellerTime https:// twitter.com/Amy_Siskind/st atus/926486367235903488 …";;;#MuellerIsComing #MuellerTime;"926583650220761089";https://twitter.com/crochetgirlnga/status/926583650220761089
crochetgirlnga;2017-11-03 03:47;0;0;"why? "Officer accidentally fired weapon in Las Vegas gunman’s Mandalay Bay suite" https:// lvrj.com/post/1226698 @reviewjournal";;@reviewjournal;;"926294812990627840";https://twitter.com/crochetgirlnga/status/926294812990627840
crochetgirlnga;2017-10-29 00:00;0;1;"#GyreeDurante pic.twitter.com/g5X93U4O2N";;;#GyreeDurante;"924425790879657984";https://twitter.com/crochetgirlnga/status/924425790879657984
crochetgirlnga;2017-10-28 23:38;0;0;"#oscarssowhite";;;#oscarssowhite;"924420156448821248";https://twitter.com/crochetgirlnga/status/924420156448821248
crochetgirlnga;2017-10-28 23:17;0;0;"still haven't forgiven CNN for hiring idiots... and being idiots. https:// pagesix.com/2016/06/23/cnn -couldnt-wait-to-spend-500k-on-corey-lewandowski/ …";;;;"924414943046393856";https://twitter.com/crochetgirlnga/status/924414943046393856
crochetgirlnga;2017-10-28 23:13;0;0;"you KNOW this right? @SenatorIsakson @Perduesenate https:// twitter.com/JRubinBlogger/ status/924314270023802880 …";;@SenatorIsakson @Perduesenate;;"924413721329524736";https://twitter.com/crochetgirlnga/status/924413721329524736
crochetgirlnga;2017-10-28 23:09;0;0;"very well made! @TheDailyShow @Trevornoah https:// twitter.com/sugarman_jim/s tatus/924370135124656128 …";;@TheDailyShow @Trevornoah;;"924412808208494593";https://twitter.com/crochetgirlnga/status/924412808208494593
crochetgirlnga;2017-10-28 20:45;0;0;"this thread & video. the music alone... https:// twitter.com/CawthronPeter/ status/924367927557713925 …";;;;"924376650653077504";https://twitter.com/crochetgirlnga/status/924376650653077504
crochetgirlnga;2017-10-28 19:48;0;0;"$10K reward on abused beagles. murdered black folks average $2,000. they're trying harder to solve dog abuse! http://www. ajc.com/news/local/10k -reward-offered-for-information-abused-dogs-found-dekalb/RttE6bmml8CoAIQrSZAj2O/ …";;;;"924362175770169345";https://twitter.com/crochetgirlnga/status/924362175770169345
