username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
eduard2667;2017-11-03 14:53;0;1;"Больше похоже на 80-е !";;;;"926462349627838464";https://twitter.com/eduard2667/status/926462349627838464
eduard2667;2017-11-03 08:29;0;0;"Оставить в покое !";;;;"926365705733312514";https://twitter.com/eduard2667/status/926365705733312514
eduard2667;2017-11-03 08:28;1;1;"Ксюшадь бля ! https:// twitter.com/Sergei_Altai/s tatus/924942073232613376 …";;;;"926365401721790464";https://twitter.com/eduard2667/status/926365401721790464
eduard2667;2017-11-02 16:11;0;0;"Чё придурок? Это наша история ! Внуки должны смотреть !";;;;"926119471382753280";https://twitter.com/eduard2667/status/926119471382753280
eduard2667;2017-11-02 14:54;0;0;"Х#й им, это моё мнение! Заварил кашу, пусть выхлебает !";;;#;"926100186967040000";https://twitter.com/eduard2667/status/926100186967040000
eduard2667;2017-11-02 14:49;0;0;"Галстук ему голубой !";;;;"926098843183321091";https://twitter.com/eduard2667/status/926098843183321091
eduard2667;2017-11-02 12:39;0;0;"Прищепку госдепу на обе грибы! А не Крым !";;;;"926066275884982272";https://twitter.com/eduard2667/status/926066275884982272
eduard2667;2017-11-02 12:15;0;0;"Предлагаю Поклонскую забальзамировать и рядом с Лениным положить !";;;;"926060243343290370";https://twitter.com/eduard2667/status/926060243343290370
eduard2667;2017-11-02 10:22;0;0;"А что за расизм? Берега попутали?";;;;"926031746596065280";https://twitter.com/eduard2667/status/926031746596065280
eduard2667;2017-11-02 10:12;1;2;"Ну и презик этот Сэм ! Фак им в руки !";;;;"926029199793704960";https://twitter.com/eduard2667/status/926029199793704960
eduard2667;2017-11-02 10:10;0;3;"Фины, убивайте всех своих агитаторов !!! И будет Ленинградская область-Финский район !";;;;"926028741708517377";https://twitter.com/eduard2667/status/926028741708517377
eduard2667;2017-11-02 10:05;0;0;"Сука, а вдруг это мой дед был !";;;;"926027458473857025";https://twitter.com/eduard2667/status/926027458473857025
eduard2667;2017-11-02 10:03;0;1;"А кто внизу пальцем тыкает?";;;;"926027016352215040";https://twitter.com/eduard2667/status/926027016352215040
eduard2667;2017-11-02 10:00;0;0;"Пипец Хельсинкам !!!";;;;"926026108172201984";https://twitter.com/eduard2667/status/926026108172201984
eduard2667;2017-11-02 09:53;1;1;"Хохлы???";;;;"926024521576001537";https://twitter.com/eduard2667/status/926024521576001537
eduard2667;2017-11-02 08:54;0;0;"Ну не надо всех Арабов под одну гребёнку ! Не дай Бог никому такую судьбу !";;;;"926009702252761088";https://twitter.com/eduard2667/status/926009702252761088
eduard2667;2017-11-01 14:19;0;0;"Это фашисты!";;;;"925729058981384194";https://twitter.com/eduard2667/status/925729058981384194
eduard2667;2017-11-01 11:41;0;0;"Блять! Блевать!";;;;"925689241346150400";https://twitter.com/eduard2667/status/925689241346150400
eduard2667;2017-11-01 09:05;0;0;"Лайк сисям!";;;;"925650031717371904";https://twitter.com/eduard2667/status/925650031717371904
eduard2667;2017-11-01 09:03;0;0;"Ксюшади!!!";;;;"925649390676643840";https://twitter.com/eduard2667/status/925649390676643840
eduard2667;2017-11-01 07:29;0;0;"Вечная память !!!";;;;"925625716317851649";https://twitter.com/eduard2667/status/925625716317851649
eduard2667;2017-11-01 07:26;0;1;"Тинькова закрыть!!!";;;;"925625136178515968";https://twitter.com/eduard2667/status/925625136178515968
eduard2667;2017-11-01 07:08;0;0;"И в облаках!";;;;"925620604199370752";https://twitter.com/eduard2667/status/925620604199370752
eduard2667;2017-11-01 07:08;0;0;"Он в тумане не работает!";;;;"925620440135069696";https://twitter.com/eduard2667/status/925620440135069696
eduard2667;2017-11-01 07:01;0;0;"На небеса?";;;;"925618686882443264";https://twitter.com/eduard2667/status/925618686882443264
eduard2667;2017-10-30 16:47;0;0;"Аляску ещё вернуть надо !";;;;"925041497686372353";https://twitter.com/eduard2667/status/925041497686372353
eduard2667;2017-10-30 08:43;0;0;"404 не лечится, снести нафиг!";;;;"924919580929265664";https://twitter.com/eduard2667/status/924919580929265664
eduard2667;2017-10-30 08:40;0;0;"Так некуда, сибирь освоена, если на Чукотку!";;;;"924918822909415425";https://twitter.com/eduard2667/status/924918822909415425
eduard2667;2017-10-30 08:38;0;0;"А губа то не треснет?";;;;"924918480499077120";https://twitter.com/eduard2667/status/924918480499077120
eduard2667;2017-10-29 10:22;0;2;"Нефиг маму обижать!";;;;"924582155984031745";https://twitter.com/eduard2667/status/924582155984031745
eduard2667;2017-10-27 09:35;0;0;"Понял, бочка!";;;;"923845679075741696";https://twitter.com/eduard2667/status/923845679075741696
eduard2667;2017-10-27 09:34;0;0;"Чё за х**ня на колёсах?";;;;"923845461743734784";https://twitter.com/eduard2667/status/923845461743734784
eduard2667;2017-10-26 07:40;0;0;"Какой нах КПСС со статуей свободы!";;;;"923454273031229440";https://twitter.com/eduard2667/status/923454273031229440
eduard2667;2017-10-26 06:19;0;0;"Мало подорвали, если ещё пишет!";;;;"923433830580674560";https://twitter.com/eduard2667/status/923433830580674560
eduard2667;2017-10-26 06:17;0;1;"Дебил!";;;;"923433342304964608";https://twitter.com/eduard2667/status/923433342304964608
eduard2667;2017-10-26 06:01;0;0;"А трусы то где были?";;;;"923429236093878273";https://twitter.com/eduard2667/status/923429236093878273
eduard2667;2017-10-25 16:30;0;0;"Халуи пиндосовские!";;;;"923225348812214274";https://twitter.com/eduard2667/status/923225348812214274
eduard2667;2017-10-25 15:10;0;0;"Аляску на Родину !!!";;;;"923205147865632768";https://twitter.com/eduard2667/status/923205147865632768
eduard2667;2017-10-25 06:42;0;1;"Лошадь хрен с кем перепутаешь!";;;;"923077285103783936";https://twitter.com/eduard2667/status/923077285103783936
eduard2667;2017-10-25 06:34;0;0;"Хрен ей а не власть !";;;;"923075247682871296";https://twitter.com/eduard2667/status/923075247682871296
eduard2667;2017-10-25 06:17;0;0;"Так застрелили её 23 дня.";;;;"923070884360998912";https://twitter.com/eduard2667/status/923070884360998912
eduard2667;2017-10-24 16:38;0;1;"Ну хочет баба опозориться !!!";;;;"922864883280044033";https://twitter.com/eduard2667/status/922864883280044033
eduard2667;2017-10-24 15:31;1;1;"Видимо пацан не в том месте поставил! А может блондинка!";;;;"922848050279837696";https://twitter.com/eduard2667/status/922848050279837696
eduard2667;2017-10-24 15:26;1;1;"Санёк, твои слова да Богу в ушки!!!";;;;"922846747512229888";https://twitter.com/eduard2667/status/922846747512229888
eduard2667;2017-10-24 15:23;1;1;"Правильные слова !!!";;;;"922845926179426305";https://twitter.com/eduard2667/status/922845926179426305
eduard2667;2017-10-24 15:22;0;0;"У нас и покруче бывает!";;;;"922845750450704385";https://twitter.com/eduard2667/status/922845750450704385
eduard2667;2017-10-24 15:21;0;1;"А номера чё не сняли?";;;;"922845457579151360";https://twitter.com/eduard2667/status/922845457579151360
eduard2667;2017-10-24 15:17;0;1;"У меня родственники в Мелитополе, перестали общаться ! Огарчуха! Народ зазомбировали!";;;;"922844581770813441";https://twitter.com/eduard2667/status/922844581770813441
eduard2667;2017-10-24 15:10;0;0;"Я думаю не Тибет, а тебят во все щ---ли!";;;;"922842811631747074";https://twitter.com/eduard2667/status/922842811631747074
eduard2667;2017-10-24 15:08;0;0;"Зачем так оскорблять не зная человека !";;;;"922842129638068224";https://twitter.com/eduard2667/status/922842129638068224
eduard2667;2017-10-24 15:05;0;0;"Здорова Марусь!";;;;"922841586416877570";https://twitter.com/eduard2667/status/922841586416877570
eduard2667;2017-10-24 15:05;0;0;"Да и х с ними!";;;;"922841388773007360";https://twitter.com/eduard2667/status/922841388773007360
eduard2667;2017-10-24 15:03;0;0;"АК-47 лучший автомат, 7,62 !";;;;"922840932403351553";https://twitter.com/eduard2667/status/922840932403351553
eduard2667;2017-10-24 15:00;0;0;"Мочить уродов!!!";;;;"922840194205863939";https://twitter.com/eduard2667/status/922840194205863939
eduard2667;2017-10-24 14:39;0;2;"Нихуя себе, уже продали хохляндию?";;;;"922834826146865153";https://twitter.com/eduard2667/status/922834826146865153
eduard2667;2017-10-24 14:32;1;1;"Нехуй прыгать куда не зовут!";;;;"922833217656426496";https://twitter.com/eduard2667/status/922833217656426496
eduard2667;2017-10-24 14:30;0;0;"А мордву слабо показать ?";;;;"922832759919390722";https://twitter.com/eduard2667/status/922832759919390722
eduard2667;2017-10-24 14:28;0;0;"Пропал Максим, да и хуй с ним !";;;;"922832275292803073";https://twitter.com/eduard2667/status/922832275292803073
eduard2667;2017-10-24 14:25;0;0;"Придурок на дороге !";;;;"922831296178610176";https://twitter.com/eduard2667/status/922831296178610176
eduard2667;2017-10-24 14:23;0;0;"А мне пох, я в розетке !";;;;"922831030679232513";https://twitter.com/eduard2667/status/922831030679232513
