username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
folkdoc8;2017-11-03 21:29;0;0;"#TrumpRussia I hear #Drumpf plans a meet & greet w/ #Putin (wait for it) in #vietnam !! on #asiatrip #Lockhimup #Mueller #Putinspuppet pic.twitter.com/jBfoNvupqH";;;#TrumpRussia #Drumpf #Putin #vietnam #asiatrip #Lockhimup #Mueller #Putinspuppet;"926562096493617153";https://twitter.com/folkdoc8/status/926562096493617153
folkdoc8;2017-11-03 21:15;0;0;"#TrumpCrimeFamily #lockthemup #ivanka House Arrest Ankle Bracelets Made In China #GPSTracker #IvankaTrump #javanka #MuellerInvestigation pic.twitter.com/4RUEsM7ojF";;;#TrumpCrimeFamily #lockthemup #ivanka #GPSTracker #IvankaTrump #javanka #MuellerInvestigation;"926558357758119943";https://twitter.com/folkdoc8/status/926558357758119943
folkdoc8;2017-11-03 21:05;0;0;"#karma #stopkillingbrownpipo #korea #vietnam #gulfwars #WarGames A strange game.The only winning move is not to play. #Peace #EnoughSaid pic.twitter.com/2QazASbNiP";;;#karma #stopkillingbrownpipo #korea #vietnam #gulfwars #WarGames #Peace #EnoughSaid;"926555864680583168";https://twitter.com/folkdoc8/status/926555864680583168
folkdoc8;2017-11-03 18:11;0;0;"& due to #bonespurs #Drumpf received a deferment and will not be going to #vietnam #Trumpasia pic.twitter.com/cHrlH9wlac";;;#bonespurs #Drumpf #vietnam #Trumpasia;"926512111097929728";https://twitter.com/folkdoc8/status/926512111097929728
folkdoc8;2017-11-03 13:14;0;0;"All of you #trumpsupporters brainwashed with shit in the membrane need to help #MASA Make #Amerikkkka smart again pic.twitter.com/GDHfFWY4dH";;;#trumpsupporters #MASA #Amerikkkka;"926437391300165632";https://twitter.com/folkdoc8/status/926437391300165632
folkdoc8;2017-11-03 04:30;1;0;"#SarahHuckabeeSanders AKA Shitstorm #liarliar #trumpsbeeotch We the taxpayers of your $165,000 salary expect truth Not #alternativefacts pic.twitter.com/7xevSiuIcb";;;#SarahHuckabeeSanders #liarliar #trumpsbeeotch #alternativefacts;"926305661587247105";https://twitter.com/folkdoc8/status/926305661587247105
folkdoc8;2017-11-03 03:31;0;0;"#impeachpence #PenceKnew #PenceMustGo #MuellerInvestigation #Treason #ManafortIndictment pic.twitter.com/ig5WYww8KY";;;#impeachpence #PenceKnew #PenceMustGo #MuellerInvestigation #Treason #ManafortIndictment;"926290616920748033";https://twitter.com/folkdoc8/status/926290616920748033
folkdoc8;2017-11-02 22:51;0;1;""Deshaun Watson" BleacherReport said: #Kaepernick will eventually sign, but only if there is a rash of injuries. Well?";;;#Kaepernick;"926220368527937538";https://twitter.com/folkdoc8/status/926220368527937538
folkdoc8;2017-11-02 22:34;4;5;"nation’s top law enforcement officer, apparently failed to tell the truth #sessions #sessionslied #sessionlies #lockhimup #sessionstrump pic.twitter.com/vAnLzo4jTn";;;#sessions #sessionslied #sessionlies #lockhimup #sessionstrump;"926215992233156608";https://twitter.com/folkdoc8/status/926215992233156608
folkdoc8;2017-11-02 21:29;0;0;"$ & Oil roots of all evil-In our entire 240 year existence, only been at COMPLETE peace 4 a total of 18 yrs #capitalism needs wars pic.twitter.com/VdndkGpHER";;;#capitalism;"926199607910072320";https://twitter.com/folkdoc8/status/926199607910072320
folkdoc8;2017-11-02 20:27;0;0;"I'm tired of seeing her wearing that #choker makes me want 2 choke her #SarahHuckabeeSanders #liarliar #SarahSanders #Theresistance #drumpf pic.twitter.com/E4p6Inc9jw";;;#choker #SarahHuckabeeSanders #liarliar #SarahSanders #Theresistance #drumpf;"926183905216122880";https://twitter.com/folkdoc8/status/926183905216122880
folkdoc8;2017-11-02 20:14;0;0;"Been waiting for this...Her parents get my stamp of approval for this gag #trumphalloween #Dotard #creepy #NotMyPresident #theresistance pic.twitter.com/sCva1MtiDk";;;#trumphalloween #Dotard #creepy #NotMyPresident #theresistance;"926180707956903937";https://twitter.com/folkdoc8/status/926180707956903937
folkdoc8;2017-11-02 18:10;0;0;"#KaraWalker #JohnKelly https://www. washingtoncitypaper.com/arts/museums-g alleries/article/20980750/kara-walker-harpers-pictorial-history-of-the-civil-war-annotated-reviewed … The war’s outcome meant drastically different things for whites & African-Americans #Resist";;;#KaraWalker #JohnKelly #Resist;"926149552100528128";https://twitter.com/folkdoc8/status/926149552100528128
folkdoc8;2017-11-02 17:58;0;0;"#RobertELee #confederacy #johnkelly #johnkellyisaracist #drumpf #theresistance https:// twitter.com/JoeNBC/status/ 925673624857726976 …";;;#RobertELee #confederacy #johnkelly #johnkellyisaracist #drumpf #theresistance;"926146478736801792";https://twitter.com/folkdoc8/status/926146478736801792
folkdoc8;2017-11-02 17:30;2;1;"#LiarInChief "Those who lie, twist life so that it looks tasty to the lazy & ignorant" #LiarLiar #alternativefacts #Drumpf #TheResistance pic.twitter.com/QEfO8GaYNj";;;#LiarInChief #LiarLiar #alternativefacts #Drumpf #TheResistance;"926139553173340160";https://twitter.com/folkdoc8/status/926139553173340160
folkdoc8;2017-11-02 16:14;0;0;"#Eagles added another weapon to their offensive arsenal #NFL #MiamiDolphins #JayAjayi pic.twitter.com/TWcVObHN5m";;;#Eagles #NFL #MiamiDolphins #JayAjayi;"926120232292364288";https://twitter.com/folkdoc8/status/926120232292364288
folkdoc8;2017-11-02 14:43;0;0;"#PapaJohns #Littlecaesars #PizzaGateLite #philanthropy NOT #savagecapitalism #kleptocracy #Theresistance pic.twitter.com/ODUwszQDKm";;;#PapaJohns #Littlecaesars #PizzaGateLite #philanthropy #savagecapitalism #kleptocracy #Theresistance;"926097478050615297";https://twitter.com/folkdoc8/status/926097478050615297
folkdoc8;2017-11-02 14:37;0;0;"#TakeaKnee Pass up visit to #WhiteHouse to shake #Tinyhands of #DotardTrump Way to go! #Dodgers #StandTogether still an epic #Series pic.twitter.com/ivHHpKZVQn";;;#TakeaKnee #WhiteHouse #Tinyhands #DotardTrump #Dodgers #StandTogether #Series;"926095834579652609";https://twitter.com/folkdoc8/status/926095834579652609
