username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
godisfaith_;2016-07-08 18:30;0;0;"all cops are fuck asses";;;;"751483553339224064";https://twitter.com/godisfaith_/status/751483553339224064
godisfaith_;2016-07-08 18:29;1;5;"all cops r bastards. Their "good" cops keep their mouths shut when it comes to tyranny n police state in America";;;;"751483390474395648";https://twitter.com/godisfaith_/status/751483390474395648
godisfaith_;2016-07-08 18:28;1;0;"fuck cops. ALL cops are bastards";;;;"751483173800861697";https://twitter.com/godisfaith_/status/751483173800861697
godisfaith_;2016-07-08 18:28;0;5;"fuck the police";;;;"751483104854847488";https://twitter.com/godisfaith_/status/751483104854847488
godisfaith_;2016-07-08 18:28;0;0;"disgusting pigs.";;;;"751483050362413057";https://twitter.com/godisfaith_/status/751483050362413057
godisfaith_;2016-07-08 18:26;1;5;"I live in America. The highest prison population in THE WORLD. Where do you live ?";;;;"751482571716857857";https://twitter.com/godisfaith_/status/751482571716857857
godisfaith_;2016-07-08 18:25;2;7;"they're pussies who think they have extra rights due to their state appointed guns n badges";;;;"751482400819949568";https://twitter.com/godisfaith_/status/751482400819949568
godisfaith_;2016-07-08 18:25;3;6;"fuck your cops. You must live in an area where they don't drive around beating ppl";;;;"751482272583262208";https://twitter.com/godisfaith_/status/751482272583262208
godisfaith_;2016-07-08 17:43;6;11;"FUCK THE COPS";;;;"751471714387660800";https://twitter.com/godisfaith_/status/751471714387660800
godisfaith_;2016-07-08 17:43;2;6;"there are no more good cops. If you think otherwise you're still sleeping. Wake up you're ASLEEP";;;;"751471685929279489";https://twitter.com/godisfaith_/status/751471685929279489
godisfaith_;2016-07-08 17:42;3;13;"there are no good cops anymore. If you think otherwise you're still seeping. Wake up";;;;"751471496841666560";https://twitter.com/godisfaith_/status/751471496841666560
godisfaith_;2016-07-08 17:40;2;18;"a good cop resists tyranny in America";;;;"751471095694303232";https://twitter.com/godisfaith_/status/751471095694303232
godisfaith_;2016-07-08 17:40;5;26;"no good cops left. Fuck the police";;;;"751471000869449728";https://twitter.com/godisfaith_/status/751471000869449728
godisfaith_;2016-07-08 17:40;6;32;"all cops are bastards";;;;"751470946314178560";https://twitter.com/godisfaith_/status/751470946314178560
godisfaith_;2016-07-08 17:39;13;62;"fuck the police";;;;"751470889682644992";https://twitter.com/godisfaith_/status/751470889682644992
godisfaith_;2016-07-08 17:35;0;1;"Jesus is the son of God an we can know God through him. God is within us all, we are all sons";;;;"751469760945147905";https://twitter.com/godisfaith_/status/751469760945147905
godisfaith_;2016-07-08 17:26;0;0;"Oh wow https:// twitter.com/syndicalisms/s tatus/751276831685259264 …";;;;"751467389846298624";https://twitter.com/godisfaith_/status/751467389846298624
godisfaith_;2016-07-08 17:25;1;1;"@4_RealHill they should be resisting tyranny. The "good" cops r state paid thugs who keep their mouths shut.";;@4_RealHill;;"751467235500187650";https://twitter.com/godisfaith_/status/751467235500187650
godisfaith_;2016-07-08 17:24;1;1;"@4_RealHill no cops are good. Just cause they don't beat the shot out of people don't make em good cops";;@4_RealHill;;"751466898546536449";https://twitter.com/godisfaith_/status/751466898546536449
godisfaith_;2016-07-08 17:18;0;0;"so arrest me I'm a criminal";;;;"751465545493471232";https://twitter.com/godisfaith_/status/751465545493471232
godisfaith_;2016-07-08 17:14;0;0;"I'm still amazed. Idk how this happened";;;;"751464474956017664";https://twitter.com/godisfaith_/status/751464474956017664
godisfaith_;2016-07-08 17:09;0;0;"there are no more freedoms. Comply with government or face the consequences";;;;"751463153305735168";https://twitter.com/godisfaith_/status/751463153305735168
godisfaith_;2016-07-08 17:08;0;0;"leaders of America are charged with felonies";;;;"751463018945327104";https://twitter.com/godisfaith_/status/751463018945327104
godisfaith_;2016-07-07 02:27;0;0;"they don't experience life from a broader perspective.";;;;"750878817023954944";https://twitter.com/godisfaith_/status/750878817023954944
godisfaith_;2016-07-07 02:26;1;0;"people don't consider a bigger picture. Humanity. They want to live as character on an individual level day to day";;;;"750878610743971840";https://twitter.com/godisfaith_/status/750878610743971840
godisfaith_;2016-07-06 21:06;0;0;"when will the vicious cycle end";;;;"750797971835334656";https://twitter.com/godisfaith_/status/750797971835334656
godisfaith_;2016-07-06 21:02;0;0;"you can always explore the earth. The internet isn't an experience, get your asses out there";;;;"750797042901934080";https://twitter.com/godisfaith_/status/750797042901934080
