username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
igap;2017-11-03 21:02;0;0;"Э слышь блядь";;;;"926555123853164544";https://twitter.com/igap/status/926555123853164544
igap;2017-11-03 21:01;0;2;"Усиливается плановое говноебство";;;;"926554854893539328";https://twitter.com/igap/status/926554854893539328
igap;2017-11-03 20:26;0;0;"вы чё по больному начали то а";;;;"926546157651812354";https://twitter.com/igap/status/926546157651812354
igap;2017-11-03 20:06;0;1;"у тебя новый лак?";;;;"926541134695890944";https://twitter.com/igap/status/926541134695890944
igap;2017-11-03 17:12;0;0;"(((";;;;"926497335290540038";https://twitter.com/igap/status/926497335290540038
igap;2017-11-03 17:09;3;10;"Сталингулаг пиздит шутки «Пермской школы» из 2011 года";;;;"926496482269843459";https://twitter.com/igap/status/926496482269843459
igap;2017-11-03 14:49;1;3;"Артподготовка — это когда тебя в жопу ебут";;;;"926461316403023872";https://twitter.com/igap/status/926461316403023872
igap;2017-11-03 11:02;0;0;"Кровавый режим репрессирует бедных мальцевских ребятушек, которые ни в чем не виноваты, а оружие им всем и везде подбрасывают опера";;;;"926404327677353984";https://twitter.com/igap/status/926404327677353984
igap;2017-11-03 08:43;0;0;"Нолан гений";;;;"926369136107835392";https://twitter.com/igap/status/926369136107835392
igap;2017-11-03 07:08;0;0;"Инвесторы видимо";;;;"926345347387011072";https://twitter.com/igap/status/926345347387011072
igap;2017-11-03 07:06;0;0;"Да там в реплаях парад";;;;"926344836260810752";https://twitter.com/igap/status/926344836260810752
igap;2017-11-03 06:56;0;1;"У Papá 4/10";;;;"926342330268962816";https://twitter.com/igap/status/926342330268962816
igap;2017-11-02 21:00;0;3;"Усиливается плановое говноебство";;;;"926192378691641344";https://twitter.com/igap/status/926192378691641344
igap;2017-11-02 17:37;2;2;"Интересная какая тема с флешмобом Овечкина разворачивается — https://www. instagram.com/p/Ba_72RJBE8h/ pic.twitter.com/XbdLiiCPn8";;;;"926141153992429568";https://twitter.com/igap/status/926141153992429568
igap;2017-11-02 15:48;1;3;"Люблю позалипать в инсте в профилях с ноготочками, кератинками, гиалуронками и прочим(((";;;;"926113849048207362";https://twitter.com/igap/status/926113849048207362
igap;2017-11-02 15:30;1;2;"А Навальный уже в очереди за айфонами зачекинился? Че там еще хайповое ща?";;;;"926109298484301831";https://twitter.com/igap/status/926109298484301831
igap;2017-11-02 12:37;5;5;"Кекнул с этой таблички по согласованиям ивентов Навального. Либералы уже во власти, слишком много свободы что-то для поехавших pic.twitter.com/YtZpML9N4W";;;;"926065671741562880";https://twitter.com/igap/status/926065671741562880
igap;2017-11-02 11:43;0;0;"— А почему в треке «Пидор» сообщается, что 31?";;;;"926052184843833346";https://twitter.com/igap/status/926052184843833346
igap;2017-11-02 10:57;0;2;"Люся Штейн: Кто угодно лучше Путина";;;;"926040464419098624";https://twitter.com/igap/status/926040464419098624
igap;2017-11-02 10:39;0;2;"пишу с Марса уже";;;;"926036011179827201";https://twitter.com/igap/status/926036011179827201
igap;2017-11-02 10:39;1;0;"да потому что видео все смотрят с мобил, только дауны до сих пор пользуются ПК";;;;"926035952103034880";https://twitter.com/igap/status/926035952103034880
igap;2017-11-02 10:31;0;0;"А у тебя телефон в горизонтальном режиме что ли всегда используется?";;;;"926034122656673792";https://twitter.com/igap/status/926034122656673792
igap;2017-11-02 10:20;0;0;"Схуяли это нельзя?";;;;"926031190771077120";https://twitter.com/igap/status/926031190771077120
igap;2017-11-02 07:30;0;3;"опять народ не тот";;;;"925988457876467713";https://twitter.com/igap/status/925988457876467713
igap;2017-11-02 07:24;32;95;">Tesla зафиксировала худшие квартальные показатели в истории но ведь Илон... гений...";;;;"925986880289636352";https://twitter.com/igap/status/925986880289636352
igap;2017-11-02 07:12;0;0;"четвертый(((";;;;"925983983585976321";https://twitter.com/igap/status/925983983585976321
igap;2017-11-01 21:00;0;1;"Усиливается плановое говноебство";;;;"925830025915576320";https://twitter.com/igap/status/925830025915576320
igap;2017-11-01 20:23;0;0;"ТАСС лежит?";;;;"925820585522941952";https://twitter.com/igap/status/925820585522941952
igap;2017-11-01 20:06;0;0;"блядь физрук пиздец";;;;"925816250017681408";https://twitter.com/igap/status/925816250017681408
igap;2017-11-01 19:36;0;0;"Вдова погибшего на Арбате гаишника опровергла компенсацию в 4 млн руб. от ФСБ";;;;"925808670763601925";https://twitter.com/igap/status/925808670763601925
igap;2017-11-01 16:31;0;2;"Я буду яйцо вкрутую… и сваренный всмятку клитор";;;;"925762354339512322";https://twitter.com/igap/status/925762354339512322
igap;2017-11-01 16:30;0;0;"Наш редактор Султан провел сутки с новым — десятым — айфоном. И делится первыми впечатлениями";;;;"925761918543040513";https://twitter.com/igap/status/925761918543040513
igap;2017-11-01 16:25;0;8;"По словам девушки, которая работала с актером, Хоффман ей сказал: «Я буду яйцо вкрутую… и сваренный всмятку клитор»";;;;"925760686357139456";https://twitter.com/igap/status/925760686357139456
igap;2017-11-01 15:12;0;2;"Хватать баб за жопу — это для пидоров.";;;;"925742441273221120";https://twitter.com/igap/status/925742441273221120
igap;2017-11-01 15:12;0;0;"!!!!!";;;;"925742375435231232";https://twitter.com/igap/status/925742375435231232
igap;2017-11-01 15:09;0;1;"пушем с пометкой молния";;;;"925741637787111424";https://twitter.com/igap/status/925741637787111424
igap;2017-11-01 15:04;0;0;"да даже для медузы охуеть какое дно";;;;"925740312449961987";https://twitter.com/igap/status/925740312449961987
igap;2017-11-01 15:03;3;6;"ЦИТАТА СУКА ПО ТВИТЕРУ https:// twitter.com/meduzaproject/ status/925678380544032768 …";;;;"925740001014493184";https://twitter.com/igap/status/925740001014493184
igap;2017-11-01 13:14;4;22;"Питер - город, в котором невозможно уснуть и просто нереально проснуться.";;;;"925712645210206213";https://twitter.com/igap/status/925712645210206213
igap;2017-10-31 21:00;0;2;"Усиливается плановое говноебство";;;;"925467475818569733";https://twitter.com/igap/status/925467475818569733
igap;2017-10-31 15:38;0;0;"У клятi";;;;"925386533141610496";https://twitter.com/igap/status/925386533141610496
igap;2017-10-31 15:02;0;7;"Давно про хохлов ниче не слышно, даже переживать за них начал";;;;"925377471419244544";https://twitter.com/igap/status/925377471419244544
igap;2017-10-31 12:39;0;1;"Султан Сулейманов решил обогатить свой лексикон и попросил друзей и знакомых в фейсбуке вспомнить синонимы слову «собака».";;;;"925341422357827584";https://twitter.com/igap/status/925341422357827584
igap;2017-10-31 12:38;0;1;"готова концепция регионального турне по кухне и коридору";;;;"925341087950168064";https://twitter.com/igap/status/925341087950168064
igap;2017-10-31 12:36;0;0;"#КУСЬ2018";;;#;"925340644708700160";https://twitter.com/igap/status/925340644708700160
