username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ispotify1;2017-11-03 22:56;0;0;"";;;;"926583775802347520";https://twitter.com/ispotify1/status/926583775802347520
ispotify1;2017-11-03 19:11;1;1;"Conservatives introduce measure demanding Mueller's resignation - http:// goo.gl/news/bsmD2 via http:// news.google.com";;;;"926527154380255232";https://twitter.com/ispotify1/status/926527154380255232
ispotify1;2017-11-03 18:18;0;0;"Hey Villa Costa Norte thanks for the follow!";;;;"926513962891530240";https://twitter.com/ispotify1/status/926513962891530240
ispotify1;2017-11-03 09:18;0;0;"Hey Arthur thanks for the follow!";;;;"926378012752347136";https://twitter.com/ispotify1/status/926378012752347136
ispotify1;2017-11-03 04:47;0;0;"Funny she wasn’t able to @RaiseUpfor15";;@RaiseUpfor15;;"926309954516119555";https://twitter.com/ispotify1/status/926309954516119555
ispotify1;2017-11-03 04:35;1;1;"Democrats express outrage over allegations of early party control for Clinton in 2016 - http:// goo.gl/news/HYgWm via http:// news.google.com";;;;"926306791515881472";https://twitter.com/ispotify1/status/926306791515881472
ispotify1;2017-11-03 04:32;2;1;"pic.twitter.com/tCpYIGnLUW";;;;"926306138274041856";https://twitter.com/ispotify1/status/926306138274041856
ispotify1;2017-11-03 04:23;1;1;"https:// twitter.com/newshour/statu s/926209457683599361 …";;;;"926303872146132993";https://twitter.com/ispotify1/status/926303872146132993
ispotify1;2017-11-03 04:22;1;1;"https:// twitter.com/newshour/statu s/926209457683599361 … @dccc @NPR @TIME @TwitterMoments @SenSanders @SenWarren @cspan @NewsHour @TheView @HLNTV @ABC @NBCBLK @KillerMike";;@dccc @NPR @TIME @TwitterMoments @SenSanders @SenWarren @cspan @NewsHour @TheView @HLNTV @ABC @NBCBLK @KillerMike;;"926303569053212672";https://twitter.com/ispotify1/status/926303569053212672
ispotify1;2017-11-03 04:21;1;1;"#ThorRagnarok https:// twitter.com/newshour/statu s/926209457683599361 …";;;#ThorRagnarok;"926303192350109697";https://twitter.com/ispotify1/status/926303192350109697
ispotify1;2017-11-03 04:20;1;1;"#LVPhantoms https:// twitter.com/newshour/statu s/926209457683599361 …";;;#LVPhantoms;"926303162574802944";https://twitter.com/ispotify1/status/926303162574802944
ispotify1;2017-11-03 04:20;1;1;"#Jets https:// twitter.com/newshour/statu s/926209457683599361 …";;;#Jets;"926303133713739776";https://twitter.com/ispotify1/status/926303133713739776
ispotify1;2017-11-03 04:20;1;1;"#SEAvVAN https:// twitter.com/newshour/statu s/926209457683599361 …";;;#SEAvVAN;"926303087840628737";https://twitter.com/ispotify1/status/926303087840628737
ispotify1;2017-11-03 04:20;1;1;"#Scandal https:// twitter.com/newshour/statu s/926209457683599361 …";;;#Scandal;"926303055016026112";https://twitter.com/ispotify1/status/926303055016026112
ispotify1;2017-11-03 04:20;1;1;"#CallItWhatYouWant https:// twitter.com/newshour/statu s/926209457683599361 …";;;#CallItWhatYouWant;"926303011453984768";https://twitter.com/ispotify1/status/926303011453984768
ispotify1;2017-11-03 04:20;1;1;"#fightdirty https:// twitter.com/newshour/statu s/926209457683599361 …";;;#fightdirty;"926302976905568256";https://twitter.com/ispotify1/status/926302976905568256
ispotify1;2017-11-03 04:20;1;1;"#HTGAWM https:// twitter.com/newshour/statu s/926209457683599361 …";;;#HTGAWM;"926302944160571392";https://twitter.com/ispotify1/status/926302944160571392
ispotify1;2017-11-03 04:19;1;2;"Won’t participate in this bullshit till ic some real change";;;;"926302752627666944";https://twitter.com/ispotify1/status/926302752627666944
ispotify1;2017-11-03 04:18;1;2;"I have no confidences in any of you";;;;"926302628811804672";https://twitter.com/ispotify1/status/926302628811804672
ispotify1;2017-11-03 04:18;1;4;"@SenWarren @SenSanders Given the fact that both sides cheated u need to implement election reform immediately @dccc @TwitterMoments @NAACP";;@SenWarren @SenSanders @dccc @TwitterMoments @NAACP;;"926302505780350976";https://twitter.com/ispotify1/status/926302505780350976
ispotify1;2017-11-03 04:10;1;2;"@NYCMayor @njdotcom @GovernorTomWolf @mcall @Ed_Pawlowski @thehill @TwitterMoments @nytimes @nbcsandiego";;@NYCMayor @njdotcom @GovernorTomWolf @mcall @Ed_Pawlowski @thehill @TwitterMoments @nytimes @nbcsandiego;;"926300496083738624";https://twitter.com/ispotify1/status/926300496083738624
