username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jetta1p;2017-11-03 21:24;0;0;"@ivorybrooks1 https:// twitter.com/plies/status/9 25883819923828752 …";;@ivorybrooks1;;"926560741846634496";https://twitter.com/jetta1p/status/926560741846634496
jetta1p;2017-11-03 21:22;0;0;"@ivorybrooks1 Thanks for the Follow!! #GlobalMajority";;@ivorybrooks1;#GlobalMajority;"926560230342840320";https://twitter.com/jetta1p/status/926560230342840320
jetta1p;2017-11-02 22:04;0;1;"@PeterMerlinCane Thanks for the Follow!";;@PeterMerlinCane;;"926208481937543168";https://twitter.com/jetta1p/status/926208481937543168
jetta1p;2017-11-01 18:05;0;0;"@foxconncon Thanks for the Follow!";;@foxconncon;;"925785919097069568";https://twitter.com/jetta1p/status/925785919097069568
jetta1p;2017-10-31 04:16;0;0;"You said it Sis! https:// twitter.com/HeyMissNona/st atus/925105884992335872 …";;;;"925214867069554688";https://twitter.com/jetta1p/status/925214867069554688
jetta1p;2017-10-30 16:15;0;1;"@CousinSyl Nice Picture!!!";;@CousinSyl;;"925033466978283526";https://twitter.com/jetta1p/status/925033466978283526
jetta1p;2017-10-30 15:39;0;0;"Where did all the Photoshopped "news" releases come from? Real research could be your True Friend Hit me up when you get back to reality, SL";;;;"925024391624298497";https://twitter.com/jetta1p/status/925024391624298497
jetta1p;2017-10-30 15:03;0;0;"Well,... what's going on in the Twitterverse???!!!!!!";;;;"925015368447545344";https://twitter.com/jetta1p/status/925015368447545344
jetta1p;2017-10-28 16:54;0;0;"Cancel the rest of the season, IDGAF https:// twitter.com/AdamSchefter/s tatus/923982850394910725 …";;;;"924318502823055360";https://twitter.com/jetta1p/status/924318502823055360
jetta1p;2017-10-28 16:47;0;0;"I said this yesterday while listening to @Deanofcomedy https:// twitter.com/RippDemUp/stat us/924311846907203586 …";;@Deanofcomedy;;"924316615021342720";https://twitter.com/jetta1p/status/924316615021342720
jetta1p;2017-10-28 16:40;0;0;"He's been less credible ever since that day. Can't stand him or Heilemann.";;;;"924314957122072576";https://twitter.com/jetta1p/status/924314957122072576
jetta1p;2017-10-27 20:23;0;0;"Loving the fucc this segment! https:// twitter.com/SXMUrbanView/s tatus/924006603312971776 …";;;;"924008572803080192";https://twitter.com/jetta1p/status/924008572803080192
jetta1p;2017-10-27 20:07;0;0;"This is a fake account, right? https:// twitter.com/TishaWa8/statu s/922282773024591873 …";;;;"924004546900385793";https://twitter.com/jetta1p/status/924004546900385793
jetta1p;2017-10-27 05:26;0;0;"No plainer said Mark!";;;;"923782844157227009";https://twitter.com/jetta1p/status/923782844157227009
jetta1p;2017-10-27 00:49;0;1;"He's definitely on dope then. https:// twitter.com/IRCards3/statu s/923709801791553537 …";;;;"923713286583005184";https://twitter.com/jetta1p/status/923713286583005184
jetta1p;2017-10-27 00:37;0;0;"Hey, I Can Play This Game Too, Guys http://www. theroot.com/hey-i-can-play -this-game-too-guys-1819822866?utm_medium=sharefromsite&utm_source=The_Root_twitter … via @TheRoot";;@TheRoot;;"923710332425551872";https://twitter.com/jetta1p/status/923710332425551872
jetta1p;2017-10-27 00:18;0;0;"Youth is in demand. https:// twitter.com/LouisFarrakhan /status/923600767205937152 …";;;;"923705320475574274";https://twitter.com/jetta1p/status/923705320475574274
