username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jSpechal;2017-11-03 15:55;0;0;"Suspected as much when he threw his hat in the ring";;;;"926477945853669377";https://twitter.com/jSpechal/status/926477945853669377
jSpechal;2017-11-03 15:41;0;0;"yeah, I think it was stated back then to be a temporary fix. They can do this & as teams meets requirement";;;;"926474311979892737";https://twitter.com/jSpechal/status/926474311979892737
jSpechal;2017-11-03 15:22;0;4;"I wonder why USSF never created a D2 league. See which teams in NASL & USL Indies meet D2 requirements & put in a D2 not NASL/USL";;;;"926469709272317955";https://twitter.com/jSpechal/status/926469709272317955
jSpechal;2017-11-03 10:33;0;0;"well these business fail because they are never welcoming unless you look like a hipster";;;;"926396964564062215";https://twitter.com/jSpechal/status/926396964564062215
jSpechal;2017-10-30 21:08;0;1;"#worklife #Setlife https://www. pscp.tv/w/bMY64DY5MjY3 MHwxcm14UE9sWGJiTUpOeSoo4SsuPDI0gH0QewF8M490Lgof7UDxoGOWoohIRDo= …";;;#worklife #Setlife;"925107242847821824";https://twitter.com/jSpechal/status/925107242847821824
jSpechal;2017-10-27 19:31;0;0;"#MoreForMBC";;;#MoreForMBC;"923995620221898752";https://twitter.com/jSpechal/status/923995620221898752
jSpechal;2017-10-22 12:28;1;5;"just another example of why owners helping teams to stay afloat until local investors is not a bad idea for the NASL";;;;"922077214333652993";https://twitter.com/jSpechal/status/922077214333652993
jSpechal;2017-10-17 21:41;0;0;"cause, it’s a nonsense question in middle of playoffs.";;;;"920404386500792321";https://twitter.com/jSpechal/status/920404386500792321
jSpechal;2017-10-14 12:57;0;1;"Wish you would repeatedly say this daily. #growthegame";;;#growthegame;"919185463776284678";https://twitter.com/jSpechal/status/919185463776284678
jSpechal;2017-10-05 12:23;0;0;"As always https:// twitter.com/deray/status/9 15590818018283521 …";;;;"915915437472403456";https://twitter.com/jSpechal/status/915915437472403456
jSpechal;2017-10-05 01:45;0;0;"@hpsupport [Type issue here] #hpAIOipk pic.twitter.com/XbkSx3OFIh";;@hpsupport;#hpAIOipk;"915754689492393984";https://twitter.com/jSpechal/status/915754689492393984
jSpechal;2017-09-30 15:15;0;0;"Fry this bitch-ass. I'll do it for free. https:// twitter.com/theroot/status /914142855513432064 …";;;;"914146691472920577";https://twitter.com/jSpechal/status/914146691472920577
jSpechal;2017-09-30 15:02;0;0;"Or when you have $$$ you create your own world w/people willingly playing their respective roles. https:// twitter.com/burkeanbeer/st atus/914103401683841025 …";;;;"914143508507873281";https://twitter.com/jSpechal/status/914143508507873281
jSpechal;2017-09-23 14:38;0;0;"I hope you are correct, https:// twitter.com/jfreewright/st atus/911461997732012032 …";;;;"911600759715827713";https://twitter.com/jSpechal/status/911600759715827713
jSpechal;2017-09-21 03:26;0;1;"Man, I'm really fortunate to be working in a collaborative environment w/pros. Today was just fucking money,not just $. #worklife #setlife";;;#worklife #setlife;"910706667226112001";https://twitter.com/jSpechal/status/910706667226112001
jSpechal;2017-09-20 11:10;0;0;"No doubt all we'll hear is how bad the NASL is.";;;;"910461048238563328";https://twitter.com/jSpechal/status/910461048238563328
jSpechal;2017-09-20 11:05;0;0;"How so? the prospect of NISA talking up pro/rel w/a willing NASL is a factor in USSF decision";;;;"910459989147443200";https://twitter.com/jSpechal/status/910459989147443200
jSpechal;2017-09-20 01:44;0;1;"Sadly, NASL can win & lose if court forces USSF to do away w/Division sanctionings";;;;"910318758530560000";https://twitter.com/jSpechal/status/910318758530560000
jSpechal;2017-09-18 01:20;0;0;"I have to rethink my idea of what is food";;;;"909588025126080513";https://twitter.com/jSpechal/status/909588025126080513
jSpechal;2017-09-18 01:17;0;1;"This is just appetizers, the concept of a meal in America is ridiculous pic.twitter.com/gUjGH3Civi";;;;"909587167734898688";https://twitter.com/jSpechal/status/909587167734898688
