username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lipilyut;2017-11-03 11:27;0;0;"ну тогда все ок. Собака есть?))";;;;"926410597431939078";https://twitter.com/lipilyut/status/926410597431939078
lipilyut;2017-11-03 11:25;0;0;"удобства есть в доме?";;;;"926410069301919744";https://twitter.com/lipilyut/status/926410069301919744
lipilyut;2017-11-03 07:39;0;2;"резиновый нацюцюрник";;;;"926353136171798528";https://twitter.com/lipilyut/status/926353136171798528
lipilyut;2017-11-02 19:39;0;0;"Это способ самоутвердиться. Сепар и трус. А тут он может себя проявить -"хозяин" в колымаге! И вот это чмо хамит человеку видевшему смерть";;;;"926171846000676864";https://twitter.com/lipilyut/status/926171846000676864
lipilyut;2017-11-02 09:53;0;0;"Знакомый был в Египте, русских не было. Англичане, немцы, несколько поляков. Отдохнул отлично.";;;;"926024560687935488";https://twitter.com/lipilyut/status/926024560687935488
lipilyut;2017-11-01 12:02;2;0;"Они книги читают, пишут письма на русском? Им лень лишний раз мозг напрячь. Идиоті";;;;"925694602585223168";https://twitter.com/lipilyut/status/925694602585223168
lipilyut;2017-10-31 13:22;0;0;"Почему никто из патриотов не блокирует ахметовские облэнерго?";;;;"925352229053267968";https://twitter.com/lipilyut/status/925352229053267968
lipilyut;2017-10-31 09:11;0;1;".... и закрьвается";;;;"925289003552735233";https://twitter.com/lipilyut/status/925289003552735233
lipilyut;2017-10-31 08:04;0;0;"Это значит купить новые?";;;;"925272130702532611";https://twitter.com/lipilyut/status/925272130702532611
lipilyut;2017-10-30 12:10;0;0;"моя собака их очень любит. Но она и говяжью берцовую кость разгрызает легко))";;;;"924971803814047746";https://twitter.com/lipilyut/status/924971803814047746
lipilyut;2017-10-30 10:34;0;0;"Где возмущенные протестующие возле фабрики Конти?";;;;"924947533666930689";https://twitter.com/lipilyut/status/924947533666930689
lipilyut;2017-10-30 08:50;0;0;"Может средняя да.Но на дан момент произошел перекос:многим категориям бюджетников подняли зарплату,тогда как в реальн секторе она минимальна";;;;"924921358299095040";https://twitter.com/lipilyut/status/924921358299095040
lipilyut;2017-10-30 08:12;0;2;"Значит точно есть.";;;;"924911843633704962";https://twitter.com/lipilyut/status/924911843633704962
lipilyut;2017-10-30 07:17;8;4;"Одно ёбнутое создание мне еще в2003г. оворило, что вРошен кровь младенцев добавляют.Это хуйло завсегдатай СвятогорскЛавры,типа торский казак";;;;"924898102565330949";https://twitter.com/lipilyut/status/924898102565330949
lipilyut;2017-10-27 06:38;0;1;"донашивает за старшим братом)";;;;"923800946609618944";https://twitter.com/lipilyut/status/923800946609618944
lipilyut;2017-10-25 10:50;0;0;"Ще кращім був би Огризко.";;;;"923139623517327360";https://twitter.com/lipilyut/status/923139623517327360
lipilyut;2017-10-25 08:40;0;0;"мы пригласили друзей и союзников на наш праздник. Какое ваше дело кого сосед приглашает к себе домой? Вас-то не зовут.";;;;"923106996190146560";https://twitter.com/lipilyut/status/923106996190146560
lipilyut;2017-10-25 08:38;0;0;"Красную площадь топтали китайские войска))";;;;"923106383003836416";https://twitter.com/lipilyut/status/923106383003836416
lipilyut;2017-10-20 17:52;0;5;"А по поводу порезанных на металл заводов кацапами и шахт затопленных тебе вопрос задать.";;;;"921433904426438656";https://twitter.com/lipilyut/status/921433904426438656
lipilyut;2017-10-20 17:47;0;1;"Кацапы еще не все украденные деньги на олимпиаде нашли, а все туда же- "в Украине нарушения"! Отъебитесь от нас.";;;;"921432618264129537";https://twitter.com/lipilyut/status/921432618264129537
