username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
maschuma;2017-10-30 13:04;0;0;"Das ist Quatsch.";;;;"924985396622233600";https://twitter.com/maschuma/status/924985396622233600
maschuma;2017-10-23 16:31;0;0;"Dummschwätzer.";;;;"922500663124381697";https://twitter.com/maschuma/status/922500663124381697
maschuma;2017-10-21 13:11;0;0;"Die lassen sich ganz einfach nichts vorschreiben.";;;;"921725635453685760";https://twitter.com/maschuma/status/921725635453685760
maschuma;2017-10-21 13:10;0;2;"Da kriegt der Pate wieder Schnappatmung.";;;;"921725373443919872";https://twitter.com/maschuma/status/921725373443919872
maschuma;2017-10-18 14:29;0;0;"Hä?! Dummschwätzer.";;;;"920658043280297984";https://twitter.com/maschuma/status/920658043280297984
maschuma;2017-10-18 14:28;0;0;"Hä?! Dummschwätzer.";;;;"920657754544574465";https://twitter.com/maschuma/status/920657754544574465
maschuma;2017-10-18 14:26;0;0;"Kleiner Klugscheißer.";;;;"920657270727434240";https://twitter.com/maschuma/status/920657270727434240
maschuma;2017-10-18 14:22;0;0;"Wenn man den Türken nicht alle fünf Minuten auf die Pfoten haut, machen die bloß Blödsinn.";;;;"920656339927527424";https://twitter.com/maschuma/status/920656339927527424
maschuma;2017-10-18 14:14;0;0;"Für Zyklon B gib das keinen Unterschied.";;;;"920654247015931904";https://twitter.com/maschuma/status/920654247015931904
maschuma;2017-10-08 11:46;0;1;"Halt einfach das Maul.";;;;"916993092707868672";https://twitter.com/maschuma/status/916993092707868672
maschuma;2017-10-08 11:36;0;1;"Ein Dritte-Welt-Staat, in dem sich ein Schwerstverbrecher zum Präsidenten hochputscht?!";;;;"916990794007040000";https://twitter.com/maschuma/status/916990794007040000
maschuma;2017-10-07 14:19;0;1;"Dort, wo man Schwerstverbrecher zu Präsidenten macht.";;;;"916669277641506817";https://twitter.com/maschuma/status/916669277641506817
maschuma;2017-09-28 09:23;0;0;"Bringen nichts. Kosten nur. Steuerverschwendung pur.";;;;"913333292786753536";https://twitter.com/maschuma/status/913333292786753536
maschuma;2017-09-27 15:04;0;0;"Oh, oh, das wird doch nichts.";;;;"913056777062830080";https://twitter.com/maschuma/status/913056777062830080
maschuma;2017-09-27 14:57;0;1;"Kurz vor hundert.";;;;"913055086846332928";https://twitter.com/maschuma/status/913055086846332928
maschuma;2017-09-27 14:57;0;0;"Lover?! Wohl eher Höhlenforscher.";;;;"913054968768319488";https://twitter.com/maschuma/status/913054968768319488
maschuma;2017-09-27 13:36;0;0;"Scherz. Oder?!";;;;"913034609448882177";https://twitter.com/maschuma/status/913034609448882177
maschuma;2017-09-27 09:43;0;0;"Hä?!";;;;"912975978007277569";https://twitter.com/maschuma/status/912975978007277569
