username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
monicamontes081;2017-11-03 23:44;1;1;"A mi me encanta tal cual como es.... https:// twitter.com/AndresFelipe/s tatus/926594606640324608 …";;;;"926595950386216960";https://twitter.com/monicamontes081/status/926595950386216960
monicamontes081;2017-11-03 23:40;0;0;"https:// twitter.com/hmezar/status/ 926594346526433280 …";;;;"926594884466769921";https://twitter.com/monicamontes081/status/926594884466769921
monicamontes081;2017-11-03 20:35;0;1;"Disculpe!! ¿Cual falso mesias? El SANTOS. Que usted venera y adora. Callece, que lo sacaron fue x LOCO.. https:// twitter.com/Kalicheboy/sta tus/926546177583206402 …";;;;"926548393488474115";https://twitter.com/monicamontes081/status/926548393488474115
monicamontes081;2017-11-03 18:49;1;0;"Colombia necesita oxígeno https://www. grandesmedios.com/colombia-neces ita-oxigeno/ … vía @GrandesMedios";;@GrandesMedios;;"926521840499089408";https://twitter.com/monicamontes081/status/926521840499089408
monicamontes081;2017-11-03 18:33;1;0;"Anunciamos a Colombia que @TimoFARC es nuestro candidato a la presidencia. #FARCEsperanzaDelPueblo https://www. state.gov/j/inl/narc/rew ards/115287.htm …";;@TimoFARC;#FARCEsperanzaDelPueblo;"926517622023352321";https://twitter.com/monicamontes081/status/926517622023352321
monicamontes081;2017-11-03 18:32;2;0;"Tarea de ser candidato presidencial q me delegó el partido la desempeñaré con amor, entusiasmo y fe en la victoria. https://www. state.gov/j/inl/narc/rew ards/115287.htm …";;;;"926517376677539840";https://twitter.com/monicamontes081/status/926517376677539840
monicamontes081;2017-11-03 18:29;17;13;"Sr. @JuanRealDC https:// twitter.com/marc_gonsalves /status/888519883742355456 …";;@JuanRealDC;;"926516618972356614";https://twitter.com/monicamontes081/status/926516618972356614
monicamontes081;2017-11-03 18:27;0;1;"https:// twitter.com/JuanRealDC/sta tus/926515305261752320 …";;;;"926516251039621120";https://twitter.com/monicamontes081/status/926516251039621120
monicamontes081;2017-11-03 18:26;1;0;"Sres.de la @FiscaliaCol y para que dicen que "Noticia Falsa" SI A LA FINAL SI. VA PRESO. O ES Q YA NO.TIENE ANTECEDENTES COMO #Timochenko https:// twitter.com/FiscaliaCol/st atus/926174779408896001 …";;@FiscaliaCol;#Timochenko;"926516047666143237";https://twitter.com/monicamontes081/status/926516047666143237
monicamontes081;2017-11-03 18:19;5;1;"Sr. Real. Mirè aún vigente. https://www. state.gov/j/inl/narc/rew ards/115287.htm …";;;;"926514226029584384";https://twitter.com/monicamontes081/status/926514226029584384
monicamontes081;2017-11-03 18:05;1;0;"Porque sè. creeè que Harà otra reforma tributaria para el 2018. https:// twitter.com/guillermobonne 1/status/926510193625784325 …";;;;"926510677401001985";https://twitter.com/monicamontes081/status/926510677401001985
monicamontes081;2017-11-03 17:54;1;1;"@Santiago7373737 @Setulus1 @ricardopuentesm @DanielPalam @SamuelHoyosM @_El_Patriota @EDR_CD @fairwitness8 @lof4ever http:// laotracara.co/destacados/las -farc-piden-500-camionetas-blindadas/ …";;@Santiago7373737 @Setulus1 @ricardopuentesm @DanielPalam @SamuelHoyosM @_El_Patriota @EDR_CD @fairwitness8 @lof4ever;;"926507859386535936";https://twitter.com/monicamontes081/status/926507859386535936
monicamontes081;2017-11-03 17:50;2;1;"@omarbula @AlvaroUribeVel @ALVAROHPRADA @cmbustamante @CGurisattiNTN24 @RafaNietoLoaiza @SdrodriguezT @HugoSilvaZ @ANGELOFRANCOS @ChriGarces https:// twitter.com/monicamontes08 1/status/926505653610442753 …";;@omarbula @AlvaroUribeVel @ALVAROHPRADA @cmbustamante @CGurisattiNTN24 @RafaNietoLoaiza @SdrodriguezT @HugoSilvaZ @ANGELOFRANCOS @ChriGarces;;"926506783560077312";https://twitter.com/monicamontes081/status/926506783560077312
monicamontes081;2017-11-03 17:45;1;0;"Las Farc piden 500 camionetas blindadas, 2 helicópteros y lanchas para su campaña política http:// laotracara.co/destacados/las -farc-piden-500-camionetas-blindadas/ … vía @laotracara_co";;@laotracara_co;;"926505653610442753";https://twitter.com/monicamontes081/status/926505653610442753
monicamontes081;2017-11-03 17:35;0;1;"Camila - Mientes https:// youtu.be/xftFxCYQTdk vía @YouTube";;@YouTube;;"926503150781128704";https://twitter.com/monicamontes081/status/926503150781128704
monicamontes081;2017-11-03 17:32;0;0;"a quién beneficia? https:// twitter.com/bbcmundo/statu s/926499492198789120 …";;;;"926502364005232640";https://twitter.com/monicamontes081/status/926502364005232640
monicamontes081;2017-11-03 17:29;0;1;"Son By Four - A Puro Dolor https:// youtu.be/kAKVT1HWNsg vía @YouTube";;@YouTube;;"926501489220243456";https://twitter.com/monicamontes081/status/926501489220243456
monicamontes081;2017-11-03 17:09;0;0;"Jueves | La Oreja de Van Gogh https:// youtu.be/jzvnFbsXxxA vía @YouTube";;@YouTube;;"926496511491543041";https://twitter.com/monicamontes081/status/926496511491543041
monicamontes081;2017-11-03 17:08;0;0;"#CosasQueNoSirvenParaNada Y......................... pic.twitter.com/a93QgmPLis";;;#CosasQueNoSirvenParaNada;"926496377173086208";https://twitter.com/monicamontes081/status/926496377173086208
monicamontes081;2017-11-03 17:07;0;1;"#CosasQueNoSirvenParaNada la coalición del MAL... pic.twitter.com/Q79FkgXEGI";;;#CosasQueNoSirvenParaNada;"926496162319826945";https://twitter.com/monicamontes081/status/926496162319826945
