username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mpaden2002;2017-11-02 01:00;0;0;"This better be on next week or heads are going to roll! no pressure though";;;;"925890393048264706";https://twitter.com/mpaden2002/status/925890393048264706
mpaden2002;2017-11-01 18:50;0;1;"";;;;"925797174461566976";https://twitter.com/mpaden2002/status/925797174461566976
mpaden2002;2017-11-01 16:40;0;0;"New episode pushed to next week,reruns go against baseball. New episode next week";;;;"925764568101670912";https://twitter.com/mpaden2002/status/925764568101670912
mpaden2002;2017-11-01 16:32;0;0;"Its pushed back a week because of baseball";;;;"925762389961854976";https://twitter.com/mpaden2002/status/925762389961854976
mpaden2002;2017-10-31 19:37;0;1;"I love these!";;;;"925446772419383299";https://twitter.com/mpaden2002/status/925446772419383299
mpaden2002;2017-10-30 20:52;0;0;"I hope you weren't giving someone directions, or they will be mega confused.";;;;"925103085168492544";https://twitter.com/mpaden2002/status/925103085168492544
mpaden2002;2017-10-29 15:49;0;1;"Feel better soon, Holly!";;;;"924664432189493251";https://twitter.com/mpaden2002/status/924664432189493251
mpaden2002;2017-10-29 01:18;0;1;"";;;;"924445189179133958";https://twitter.com/mpaden2002/status/924445189179133958
mpaden2002;2017-10-27 01:10;0;2;"love it!";;;;"923718607485497345";https://twitter.com/mpaden2002/status/923718607485497345
mpaden2002;2017-10-23 17:26;0;1;"#YR good grief cane is an idiot";;;#YR;"922514538829893639";https://twitter.com/mpaden2002/status/922514538829893639
mpaden2002;2017-10-23 17:21;0;1;"Thank you, Holly!";;;;"922513295168466944";https://twitter.com/mpaden2002/status/922513295168466944
mpaden2002;2017-10-23 17:14;0;0;"";;;;"922511609771249665";https://twitter.com/mpaden2002/status/922511609771249665
mpaden2002;2017-10-23 17:00;0;1;"@ChrisLMcKenna Guess who's birthday is today!";;@ChrisLMcKenna;;"922508005291241472";https://twitter.com/mpaden2002/status/922508005291241472
mpaden2002;2017-10-23 01:56;0;1;"No need to apologize, So sorry about your father, thoughts and prayers to you and your family.";;;;"922280436277145603";https://twitter.com/mpaden2002/status/922280436277145603
mpaden2002;2017-10-21 00:24;0;0;"yikes, I had to do questions and about 3 chapters of reading last night. Not fun.";;;;"921532509468483584";https://twitter.com/mpaden2002/status/921532509468483584
mpaden2002;2017-10-20 23:33;0;3;"same here, putting off doing homework working next few days.";;;;"921519670238306304";https://twitter.com/mpaden2002/status/921519670238306304
mpaden2002;2017-10-20 22:05;0;2;"@HurtigN @Mssteph8 @heidi_raab @cherylfreas Hey all!";;@HurtigN @Mssteph8 @heidi_raab @cherylfreas;;"921497560740659202";https://twitter.com/mpaden2002/status/921497560740659202
mpaden2002;2017-10-19 19:53;0;1;"you deserve it! so far so good.";;;;"921102008907714560";https://twitter.com/mpaden2002/status/921102008907714560
mpaden2002;2017-10-18 16:47;0;2;"@ChrisLMcKenna happy birthday!";;@ChrisLMcKenna;;"920692701225472002";https://twitter.com/mpaden2002/status/920692701225472002
mpaden2002;2017-10-18 01:19;0;1;"@ChrisLMcKenna especially excited to see #SealTeamCBS , it reminds me of state of affairs.";;@ChrisLMcKenna;#SealTeamCBS;"920459173808295936";https://twitter.com/mpaden2002/status/920459173808295936
mpaden2002;2017-10-17 04:26;0;0;"Hmm wonder how many times that line has been used.";;;;"920143862714204161";https://twitter.com/mpaden2002/status/920143862714204161
mpaden2002;2017-10-17 04:03;0;2;"You killed it, well done!";;;;"920138235078152192";https://twitter.com/mpaden2002/status/920138235078152192
mpaden2002;2017-10-17 03:07;0;0;"@ChrisLMcKenna #lucifer damn it gotta get up super early tomorrow but can't miss a live tweet. Will regret it tomorrow but don't care.";;@ChrisLMcKenna;#lucifer;"920124084331122688";https://twitter.com/mpaden2002/status/920124084331122688
mpaden2002;2017-10-17 01:01;0;2;"@ChrisLMcKenna #Lucifer Rivers is one slippery dude..";;@ChrisLMcKenna;#Lucifer;"920092253762281472";https://twitter.com/mpaden2002/status/920092253762281472
mpaden2002;2017-10-17 00:54;0;1;"@ChrisLMcKenna #Lucifer lordy rivers is taking is beating..";;@ChrisLMcKenna;#Lucifer;"920090528187912192";https://twitter.com/mpaden2002/status/920090528187912192
mpaden2002;2017-10-16 03:40;0;1;"";;;;"919770094774956033";https://twitter.com/mpaden2002/status/919770094774956033
mpaden2002;2017-10-13 21:34;0;2;"Can't wait!";;;;"918953200484585472";https://twitter.com/mpaden2002/status/918953200484585472
mpaden2002;2017-10-12 21:42;1;0;"#yr I wish they'd get rid of Juliet";;;#yr;"918592652408434688";https://twitter.com/mpaden2002/status/918592652408434688
mpaden2002;2017-10-12 21:38;0;1;"I had to ask, I wasn't sure.";;;;"918591830383648768";https://twitter.com/mpaden2002/status/918591830383648768
mpaden2002;2017-10-12 21:27;0;1;"That's a good photo!";;;;"918589069998911489";https://twitter.com/mpaden2002/status/918589069998911489
mpaden2002;2017-10-12 18:19;1;2;"Right, they are trying to make the nick/victor the old adam/victor. Nick isn't strong enough to carry that weight. #YR";;;#YR;"918541741489311744";https://twitter.com/mpaden2002/status/918541741489311744
mpaden2002;2017-10-12 06:05;0;2;"Stop demonizing victims and putting the monsters on pedestals.";;;;"918357050945687552";https://twitter.com/mpaden2002/status/918357050945687552
mpaden2002;2017-10-10 23:55;0;1;"#YR loss, go Greg!";;;#YR;"917901421642645504";https://twitter.com/mpaden2002/status/917901421642645504
mpaden2002;2017-10-10 03:45;0;1;"@ChrisLMcKenna yes saw the #Lucifer preview, can't wait for the episode!";;@ChrisLMcKenna;#Lucifer;"917596957241167873";https://twitter.com/mpaden2002/status/917596957241167873
mpaden2002;2017-10-10 01:08;0;0;"That could apply to a lot more than the claw";;;;"917557424600399872";https://twitter.com/mpaden2002/status/917557424600399872
mpaden2002;2017-10-10 00:22;0;2;"Hopefully cane needs to wake up#yr";;;#yr;"917545764326273024";https://twitter.com/mpaden2002/status/917545764326273024
mpaden2002;2017-10-10 00:14;0;2;"Colin sees right thru her. #yr";;;#yr;"917543889279500288";https://twitter.com/mpaden2002/status/917543889279500288
mpaden2002;2017-10-08 23:42;0;1;"Totally agreed!";;;;"917173360924049408";https://twitter.com/mpaden2002/status/917173360924049408
mpaden2002;2017-10-08 18:23;0;1;"These two I swear..";;;;"917093104456314880";https://twitter.com/mpaden2002/status/917093104456314880
mpaden2002;2017-10-07 03:06;0;1;"This almost says, say yes or else.";;;;"916499943120130048";https://twitter.com/mpaden2002/status/916499943120130048
