username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pdemps4247;2017-11-03 02:56;0;0;"Hey girl good thing u were not in the people store the kitty wouldnt have made it";;;;"926281858534596609";https://twitter.com/pdemps4247/status/926281858534596609
pdemps4247;2017-11-03 02:54;0;1;"In Jesus name he can n he will. Keep in mind the enemy job is to discredit. We're on watch";;;;"926281469114372096";https://twitter.com/pdemps4247/status/926281469114372096
pdemps4247;2017-11-02 02:46;0;0;"This is when u really have too be thankful show forgiveness n do ir best God got it";;;;"925916927142383621";https://twitter.com/pdemps4247/status/925916927142383621
pdemps4247;2017-11-01 10:46;2;2;"When they have their picnics n allow their children to witness the lynching. Dont forget accusing black men of rape. Very";;;;"925675474730278912";https://twitter.com/pdemps4247/status/925675474730278912
pdemps4247;2017-11-01 02:49;0;2;"Police need to look at unsolved cases shes cray cray";;;;"925555276501213184";https://twitter.com/pdemps4247/status/925555276501213184
pdemps4247;2017-11-01 00:28;0;2;"Her dad is a preacher he nevet taught her anything";;;;"925519915364290560";https://twitter.com/pdemps4247/status/925519915364290560
pdemps4247;2017-11-01 00:09;0;0;"Wow";;;;"925515098478833665";https://twitter.com/pdemps4247/status/925515098478833665
pdemps4247;2017-10-31 11:46;0;0;"I thought about his stsnce in the war thats what made them he was beginning to dip into their . Prison system today";;;;"925328139156443136";https://twitter.com/pdemps4247/status/925328139156443136
pdemps4247;2017-10-31 11:44;0;0;"Listen to the drum majors instinct powerful";;;;"925327631779758080";https://twitter.com/pdemps4247/status/925327631779758080
pdemps4247;2017-10-31 02:48;0;0;"I loved ur film I was beautiful";;;;"925192747295871004";https://twitter.com/pdemps4247/status/925192747295871004
pdemps4247;2017-10-30 23:58;0;4;"God Guide the hands of the surgeon n all the people working with him in Jesus Name Amen";;;;"925149899762622465";https://twitter.com/pdemps4247/status/925149899762622465
pdemps4247;2017-10-29 21:28;0;0;"The rest of them feel the same u birds of a feather do what";;;;"924749734153281536";https://twitter.com/pdemps4247/status/924749734153281536
pdemps4247;2017-10-29 02:32;1;5;"POC children r still suffering. I wonder how many opiod families served on jurors to convict POC with addiction.";;;;"924463943581659136";https://twitter.com/pdemps4247/status/924463943581659136
pdemps4247;2017-10-29 02:02;0;0;"Perfect time to reevaluate ur speeding guys no more football wives no more debt no more cars jewlery xtra girlfriends";;;;"924456269511057408";https://twitter.com/pdemps4247/status/924456269511057408
pdemps4247;2017-10-28 10:58;0;0;"U will get the money keep pushing it will happen.";;;;"924228803269885952";https://twitter.com/pdemps4247/status/924228803269885952
pdemps4247;2017-10-28 02:34;0;0;"Hes not the problem its the ones who said AMEN";;;;"924102056109101058";https://twitter.com/pdemps4247/status/924102056109101058
pdemps4247;2017-10-28 01:22;0;0;"She did smh";;;;"924083802372214784";https://twitter.com/pdemps4247/status/924083802372214784
pdemps4247;2017-10-28 01:21;0;0;"They cant the inmates r running it";;;;"924083715806060544";https://twitter.com/pdemps4247/status/924083715806060544
pdemps4247;2017-10-28 00:42;1;0;"They dont have thos carry baskets so ur stuck. I try to go in with an attitude so I wont spend my mobey";;;;"924073867609382912";https://twitter.com/pdemps4247/status/924073867609382912
pdemps4247;2017-10-28 00:38;0;1;"Remember when u called Pres BO an ass on morning Joe?";;;;"924072819008397313";https://twitter.com/pdemps4247/status/924072819008397313
pdemps4247;2017-10-28 00:32;0;0;"No thats when they put their heads together to start private prisons.";;;;"924071331305525248";https://twitter.com/pdemps4247/status/924071331305525248
pdemps4247;2017-10-27 03:22;0;0;"Girl I think he's a little cray cray!";;;;"923751808627101696";https://twitter.com/pdemps4247/status/923751808627101696
pdemps4247;2017-10-27 01:50;0;8;"He had a real big mouth on morning joe when he called Pres BO an ass should've been kicked off the air then.";;;;"923728655586594817";https://twitter.com/pdemps4247/status/923728655586594817
pdemps4247;2017-10-25 23:52;0;0;"Where do u purchase these suits beautiful";;;;"923336610976067584";https://twitter.com/pdemps4247/status/923336610976067584
pdemps4247;2017-10-25 22:51;0;1;"He's Able";;;;"923321227296591872";https://twitter.com/pdemps4247/status/923321227296591872
pdemps4247;2017-10-25 02:53;0;0;"Interesting article didnt know anything about the steel industry. Learned something new tonight. Thxs for sharing";;;;"923019630112903168";https://twitter.com/pdemps4247/status/923019630112903168
pdemps4247;2017-10-25 01:58;0;0;"Look at the patents n police this is not the first time they got into trouble they had a pass. Dont like too see young people go to prison";;;;"923005809834860545";https://twitter.com/pdemps4247/status/923005809834860545
pdemps4247;2017-10-25 00:41;1;0;"I wish they would ban cell phones from schools. The phones create way too much drama. The phone wasnt her problem other problems";;;;"922986504368082944";https://twitter.com/pdemps4247/status/922986504368082944
pdemps4247;2017-10-24 13:22;0;2;"I realize that we dont forgive ourselves thats important prayong grace.";;;;"922815657649102850";https://twitter.com/pdemps4247/status/922815657649102850
pdemps4247;2017-10-24 02:48;0;0;"They've gone too smn what makes me mad is when women sit there n go along. Shame on the lady DJ";;;;"922655989186355200";https://twitter.com/pdemps4247/status/922655989186355200
pdemps4247;2017-10-24 01:16;0;1;"Pray everything will come to pass God got it";;;;"922632773944463360";https://twitter.com/pdemps4247/status/922632773944463360
pdemps4247;2017-10-24 01:03;1;0;"They don't have the taste i remember has a kid";;;;"922629529272770560";https://twitter.com/pdemps4247/status/922629529272770560
pdemps4247;2017-10-24 00:40;0;1;"Interesting.";;;;"922623852697542656";https://twitter.com/pdemps4247/status/922623852697542656
pdemps4247;2017-10-23 23:41;0;0;"No";;;;"922609031855984640";https://twitter.com/pdemps4247/status/922609031855984640
pdemps4247;2017-10-23 23:39;0;1;"Dont rush ur years it goes fast. Enjoy urself one day at a time";;;;"922608509895806976";https://twitter.com/pdemps4247/status/922608509895806976
pdemps4247;2017-10-23 20:27;0;2;"Sometimes thigs happen NFL never saw this coming. 40 million dollar train is coming to an end #TakeAKneeNFL";;;#TakeAKneeNFL;"922560098865635328";https://twitter.com/pdemps4247/status/922560098865635328
pdemps4247;2017-10-23 20:24;0;0;"They haven't worked in 8 yrs they dont care its the people who keep voting them in. What's the Dems doing havent seen one";;;;"922559445414137856";https://twitter.com/pdemps4247/status/922559445414137856
pdemps4247;2017-10-23 20:19;0;1;"Who's going to watch #TakeAKneeNFL";;;#TakeAKneeNFL;"922558206546718725";https://twitter.com/pdemps4247/status/922558206546718725
pdemps4247;2017-10-22 23:57;0;0;"I was thinking the same thing";;;;"922250632375033857";https://twitter.com/pdemps4247/status/922250632375033857
pdemps4247;2017-10-21 14:09;2;1;"The not so popular guys women use they rather go with someone else hubby or guy but keep the hard working guy to help financially.";;;;"921740249625178112";https://twitter.com/pdemps4247/status/921740249625178112
