username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
putfearlast1994;2017-11-03 00:29;0;0;"Don't get lost in this world";;;;"926244915473985538";https://twitter.com/putfearlast1994/status/926244915473985538
putfearlast1994;2017-11-03 00:21;0;0;"The worst is yet to come";;;;"926242977407754240";https://twitter.com/putfearlast1994/status/926242977407754240
putfearlast1994;2017-11-03 00:20;0;0;"#DontThinkICanLiveWithout Chances!";;;#DontThinkICanLiveWithout;"926242640416460800";https://twitter.com/putfearlast1994/status/926242640416460800
putfearlast1994;2017-11-03 00:18;0;1;""How the woman of my dreams become a fucking nightmare!"";;;;"926242090606039040";https://twitter.com/putfearlast1994/status/926242090606039040
putfearlast1994;2017-10-31 23:30;0;0;"#PlacesAPumpkinDoesntBelong In the white house pic.twitter.com/h6Sfzyzo0C";;;#PlacesAPumpkinDoesntBelong;"925505232334880768";https://twitter.com/putfearlast1994/status/925505232334880768
putfearlast1994;2017-10-31 23:27;0;0;"#PlacesAPumpkinDoesntBelong In beer";;;#PlacesAPumpkinDoesntBelong;"925504646260625408";https://twitter.com/putfearlast1994/status/925504646260625408
putfearlast1994;2017-10-31 02:36;0;0;"Like these dudes would pop a female in the head cause she said “fuck you”.... When I say pop, I mean blow their heads back.";;;;"925189825522782208";https://twitter.com/putfearlast1994/status/925189825522782208
putfearlast1994;2017-10-31 02:34;0;0;"I’m saying, ignorant, no values, no respect for woman, or their self. I’m not boosting, only stating the facts of this generation.";;;;"925189203725516800";https://twitter.com/putfearlast1994/status/925189203725516800
putfearlast1994;2017-10-31 00:10;3;4;"You are your worst enemy.";;;;"925153052503543808";https://twitter.com/putfearlast1994/status/925153052503543808
putfearlast1994;2017-10-30 09:45;1;1;"Be better being you.";;;;"924935379739906053";https://twitter.com/putfearlast1994/status/924935379739906053
putfearlast1994;2017-10-30 01:00;1;1;"My beautiful and gifted daughter Kylie #BlackGirlMagic #BlackGirlsRock #thinkpositive #youarebeautiful pic.twitter.com/FS9FtfQh13";;;#BlackGirlMagic #BlackGirlsRock #thinkpositive #youarebeautiful;"924803139278180353";https://twitter.com/putfearlast1994/status/924803139278180353
putfearlast1994;2017-10-30 00:57;1;1;"Follow anybody you retweet or like this";;;;"924802291684790274";https://twitter.com/putfearlast1994/status/924802291684790274
putfearlast1994;2017-10-30 00:00;1;1;"Be strong and ready";;;;"924787941481775105";https://twitter.com/putfearlast1994/status/924787941481775105
putfearlast1994;2017-10-29 23:07;1;1;"That inner voice is the true you.";;;;"924774627905335301";https://twitter.com/putfearlast1994/status/924774627905335301
putfearlast1994;2017-10-29 20:23;1;1;"Nice ridding beat #hiphopbeats #hiphopjazz #pflbeat #pflbeats #putfearlastbeats pic.twitter.com/57JPP5KZZ1";;;#hiphopbeats #hiphopjazz #pflbeat #pflbeats #putfearlastbeats;"924733510514028545";https://twitter.com/putfearlast1994/status/924733510514028545
putfearlast1994;2017-10-29 20:00;1;1;"#BearsVsSaints Fuck!! Bears...";;;#BearsVsSaints;"924727766678933504";https://twitter.com/putfearlast1994/status/924727766678933504
putfearlast1994;2017-10-29 19:59;0;0;"#BearsVsSaints we need a TD #beardown";;;#BearsVsSaints #beardown;"924727452940816389";https://twitter.com/putfearlast1994/status/924727452940816389
