username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sergnovik86;2017-09-30 16:36;0;1;"Секретный рецепт как похудеть к лету)))";;;;"914167033197101056";https://twitter.com/sergnovik86/status/914167033197101056
sergnovik86;2017-09-30 16:33;0;0;"Тараканьи лапки, секиль старой бабки, ведро воды и куй труды, охапку да и плов готов";;;;"914166249587867650";https://twitter.com/sergnovik86/status/914166249587867650
sergnovik86;2017-09-28 15:18;0;1;"Эй чёйта происходит то?";;;;"913422750781444099";https://twitter.com/sergnovik86/status/913422750781444099
sergnovik86;2017-09-28 13:06;0;0;"Тонущий парик";;;;"913389397667667968";https://twitter.com/sergnovik86/status/913389397667667968
sergnovik86;2017-09-28 11:39;3;1;"Ммммммда! По моему перегиб на лицо! Сами же религию похабят(((";;;;"913367665347047424";https://twitter.com/sergnovik86/status/913367665347047424
sergnovik86;2017-09-27 20:16;1;0;"А ведь уже пора спать то!)!)!)";;;;"913135401921077248";https://twitter.com/sergnovik86/status/913135401921077248
sergnovik86;2017-09-23 16:09;3;8;"pic.twitter.com/w3GYLnUOPd";;;;"911623506881843202";https://twitter.com/sergnovik86/status/911623506881843202
sergnovik86;2017-09-22 17:53;2;3;"Осень пора цветов!)))";;;;"911287434419286016";https://twitter.com/sergnovik86/status/911287434419286016
sergnovik86;2017-09-22 17:43;2;5;"А вот племянница букет собрала сегодня pic.twitter.com/2xAeM1m58A";;;;"911284744700284930";https://twitter.com/sergnovik86/status/911284744700284930
sergnovik86;2017-09-22 17:40;1;2;"За что спасибо?";;;;"911284078707662855";https://twitter.com/sergnovik86/status/911284078707662855
sergnovik86;2017-09-22 14:23;3;4;"pic.twitter.com/hYzZgYb6JX";;;;"911234407964520449";https://twitter.com/sergnovik86/status/911234407964520449
sergnovik86;2017-09-20 15:14;0;1;"В этом нет ничего странного веди шизофреник это тот кто немного разбирается в происходящем, а вот псих это тот кто уже во всем разобрался!";;;;"910522676065730567";https://twitter.com/sergnovik86/status/910522676065730567
sergnovik86;2017-09-20 14:33;0;1;"Вы уже рядом pic.twitter.com/DARKpsqwsP";;;;"910512201911406593";https://twitter.com/sergnovik86/status/910512201911406593
sergnovik86;2017-09-20 04:25;1;2;"Доброе утро!)))) А я спать)))) pic.twitter.com/h5JAlFAiMd";;;;"910359233190858761";https://twitter.com/sergnovik86/status/910359233190858761
sergnovik86;2017-09-18 18:29;0;1;"По моему он чего хотел то и добился";;;;"909846817474584576";https://twitter.com/sergnovik86/status/909846817474584576
sergnovik86;2017-09-18 18:25;0;1;"Выпрашивал попугай на прямую)))";;;;"909845767195684864";https://twitter.com/sergnovik86/status/909845767195684864
sergnovik86;2017-09-18 18:21;0;1;"Я б не смог так как он)))";;;;"909844855261712384";https://twitter.com/sergnovik86/status/909844855261712384
sergnovik86;2017-09-18 14:23;6;13;"Когда в глазах вдруг что то потухает Со временем скучать перестают Вы видели как люди догорают? Не ждите они больше не придут";;;;"909784971476455424";https://twitter.com/sergnovik86/status/909784971476455424
sergnovik86;2017-09-18 06:19;0;0;"Сегодня день рождения моего отца! Его не стало в мой день рождения (((, мне тогда было 19";;;;"909663175737561088";https://twitter.com/sergnovik86/status/909663175737561088
sergnovik86;2017-09-18 06:16;2;0;"Есть же и такие стихи))) pic.twitter.com/tOGL6VodDr";;;;"909662305876611072";https://twitter.com/sergnovik86/status/909662305876611072
sergnovik86;2017-09-18 06:12;2;1;"Конечно хорошо))) по другому и быть не может pic.twitter.com/Mzh7237BFz";;;;"909661461475205121";https://twitter.com/sergnovik86/status/909661461475205121
sergnovik86;2017-09-18 05:58;0;1;"А ты не грусти";;;;"909657915694489602";https://twitter.com/sergnovik86/status/909657915694489602
sergnovik86;2017-09-18 05:53;0;0;"Не теряет своей актуальности уже больше ста лет!";;;;"909656667020722176";https://twitter.com/sergnovik86/status/909656667020722176
sergnovik86;2017-09-17 16:18;0;1;"Приятного аппетита)))";;;;"909451502351212550";https://twitter.com/sergnovik86/status/909451502351212550
sergnovik86;2017-09-17 16:15;0;0;"Ммммммм))) вкусно наверно!)))";;;;"909450639096328192";https://twitter.com/sergnovik86/status/909450639096328192
sergnovik86;2017-09-17 16:09;0;0;"С сыром все?";;;;"909449243106140160";https://twitter.com/sergnovik86/status/909449243106140160
sergnovik86;2017-09-17 14:43;0;0;"Чтоб ты добавила?";;;;"909427594885570560";https://twitter.com/sergnovik86/status/909427594885570560
sergnovik86;2017-09-17 14:41;0;0;"Думаешь что категорий больше чем три?";;;;"909426976057896960";https://twitter.com/sergnovik86/status/909426976057896960
sergnovik86;2017-09-17 06:41;0;1;"Что ж! Попробуем)))";;;;"909306259597398017";https://twitter.com/sergnovik86/status/909306259597398017
sergnovik86;2017-09-17 06:38;1;0;"Доброе утро!))) Я тебе всегда улыбаюсь pic.twitter.com/kvzy4PePsK";;;;"909305496850624512";https://twitter.com/sergnovik86/status/909305496850624512
sergnovik86;2017-09-16 12:13;0;0;"Вредины вроде тебя";;;;"909027568116002816";https://twitter.com/sergnovik86/status/909027568116002816
sergnovik86;2017-09-16 11:57;0;2;"Смотрю сама не успеваешь";;;;"909023475985272833";https://twitter.com/sergnovik86/status/909023475985272833
sergnovik86;2017-09-15 14:07;0;0;"";;;;"908693741569011712";https://twitter.com/sergnovik86/status/908693741569011712
sergnovik86;2017-09-15 14:04;0;0;"Наверное ДА!!!))))";;;;"908692969724809216";https://twitter.com/sergnovik86/status/908692969724809216
sergnovik86;2017-09-15 14:02;0;0;"Когда же там закончатся дураки ?";;;;"908692479930720257";https://twitter.com/sergnovik86/status/908692479930720257
