username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
shylohg;2017-11-03 20:06;1;1;"Vegas Massacre Investigation Blown WIDE OPEN After What Was Caught On Ru... https:// youtu.be/0iY0sNfZVOc via @YouTube";;@YouTube;;"926541057617285120";https://twitter.com/shylohg/status/926541057617285120
shylohg;2017-11-03 18:37;1;1;"URGENT!! A Message to Antifa: You are Walking Into a TRAP Nov 4 https:// youtu.be/1qynkR1eSpk via @YouTube";;@YouTube;;"926518627062439936";https://twitter.com/shylohg/status/926518627062439936
shylohg;2017-11-03 18:27;0;0;"Prince William warns there are too many humans https:// youtu.be/NQf-MTDzLkw via @YouTube";;@YouTube;;"926516267862904832";https://twitter.com/shylohg/status/926516267862904832
shylohg;2017-11-03 18:21;0;0;"Republicans just introduced bill to remove special counsel Mueller from the Trump-Russia investigation (via @BIAUS ) https://www. businessinsider.com.au/republicans-in troduce-bill-to-remove-bob-mueller-from-special-counsel-2017-11 …";;@BIAUS;;"926514630771511301";https://twitter.com/shylohg/status/926514630771511301
shylohg;2017-11-03 16:11;0;0;"“Bowe Bergdahl to serve no prison time, judge rules” https:// twitter.com/i/moments/9264 74888801644546 …";;;;"926482019160412160";https://twitter.com/shylohg/status/926482019160412160
shylohg;2017-11-03 10:53;0;0;"Trey Gowdy: Mueller ‘Broke Law’ Leaking Trump Russia Charges - #SeekingTheTruth https://www. seekingthetruth.info/trey-gowdy-mue ller-broke-law-leaking-trump-russia-charges/ …";;;#SeekingTheTruth;"926401951767638016";https://twitter.com/shylohg/status/926401951767638016
shylohg;2017-11-03 10:34;0;0;"Violent Cop - Canned for Evil Act - Cries About Being Treated Unfairly! - #SeekingTheTruth https://www. seekingthetruth.info/violent-cop-ca nned-for-evil-act-cries-about-being-treated-unfairly/ …";;;#SeekingTheTruth;"926397181615099904";https://twitter.com/shylohg/status/926397181615099904
shylohg;2017-11-03 10:20;0;0;"WATCH LIVE: Justice Dept. news conference Alton Sterling investigation https:// youtu.be/Qc1_g2AkAro via @YouTube";;@YouTube;;"926393692633686016";https://twitter.com/shylohg/status/926393692633686016
shylohg;2017-11-03 10:18;0;1;"UPDATE: Alton Sterling’s Family Seeks Videos Not Made Public https:// blackbutterfly7.wordpress.com/2017/10/30/upd ate-alton-sterlings-family-seeks-videos-not-made-public/ … via @XenaBb7";;@XenaBb7;;"926393179078905856";https://twitter.com/shylohg/status/926393179078905856
shylohg;2017-11-03 10:18;0;1;"Trump Campaign Adviser Pleads Guilty; Manafort Indicted on conspiracy - ABC News https:// blackbutterfly7.wordpress.com/2017/10/30/tru mp-campaign-adviser-pleads-guilty-manafort-indicted-on-conspiracy-abc-news/ … via @XenaBb7";;@XenaBb7;;"926393100100042752";https://twitter.com/shylohg/status/926393100100042752
shylohg;2017-11-03 10:18;0;1;"Utah Nurse Alex Wubbels Agrees To Half Million Dollar Settlement. She Is Paying It Forward. https:// blackbutterfly7.wordpress.com/2017/11/01/uta h-nurse-alex-wubbels-agrees-to-half-million-dollar-settlement-she-is-paying-it-forward/ … via @XenaBb7";;@XenaBb7;;"926393037676253184";https://twitter.com/shylohg/status/926393037676253184
shylohg;2017-11-03 10:17;0;1;"Some Civil War Reading for those Who Dare Question Trump, Kelly, and Sanders https:// blackbutterfly7.wordpress.com/2017/11/01/som e-civil-war-reading-for-those-who-dare-question-trump-kelly-and-sanders/ … via @XenaBb7";;@XenaBb7;;"926392831194947584";https://twitter.com/shylohg/status/926392831194947584
shylohg;2017-11-03 09:15;0;0;"Sheriff Joe Lombardo's interview part 2 http://www. clipsyndicate.com/video/play/715 3848 …";;;;"926377228434333696";https://twitter.com/shylohg/status/926377228434333696
