username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stetskevich2013;2017-11-03 13:31;0;4;"Вопрос вопросик. ПОЧЕМУ "следствие" выясняет ТОЛЬКО пост фактум? Значит следствие паразитирует на казнокрадах. Живёт за счёт казнокрадов.";;;;"926441701417340928";https://twitter.com/stetskevich2013/status/926441701417340928
stetskevich2013;2017-11-03 12:55;0;0;"Путин Не нравится? Значит нравятся ублюдки горбач-ебн?";;;;"926432700231225345";https://twitter.com/stetskevich2013/status/926432700231225345
stetskevich2013;2017-11-03 10:57;0;2;"Я УМОЛЯЮ ВАС, говорить на ВСЕХ передачах. Иначе ПУСТОЗВОНЫ-станкевичи-гозманы возьмут верх. Удавить тварей, простите мне мой французский.";;;;"926403047294685189";https://twitter.com/stetskevich2013/status/926403047294685189
stetskevich2013;2017-11-03 10:36;0;0;"Тогда нужно действовать методами коммунистов, то есть УНИЧТОЖИТЬ под КОРЕНЬ всех бунтарей.";;;;"926397711242481664";https://twitter.com/stetskevich2013/status/926397711242481664
stetskevich2013;2017-11-03 10:33;0;0;"Продукция Голливуда, это "продукция" для дебилов.";;;;"926396979323789313";https://twitter.com/stetskevich2013/status/926396979323789313
stetskevich2013;2017-11-03 10:30;0;0;"И одна и другая президент племени Умба-Юмба. Или Дом-3 для неполноценных дебилов.";;;;"926396260143202304";https://twitter.com/stetskevich2013/status/926396260143202304
stetskevich2013;2017-11-03 10:25;0;1;"Россия АТАКУЕТ....";;;;"926394986102390794";https://twitter.com/stetskevich2013/status/926394986102390794
stetskevich2013;2017-11-03 10:23;0;0;"Какая разница? После предложения собчихи, я НЕ удивлюсь, если баллотироваться будут проститутки с панели. А чем они хуже собчихи?";;;;"926394505422671872";https://twitter.com/stetskevich2013/status/926394505422671872
stetskevich2013;2017-11-03 10:11;0;0;"Для аутодафе.";;;;"926391361993093122";https://twitter.com/stetskevich2013/status/926391361993093122
stetskevich2013;2017-11-03 10:10;0;3;"#времяпокажет Уважаемая Редакция, когда Вы приглашаете "экспертов", ТРЕБУЙТЕ от них справку из психдиспансера, т.к. оХара БЕЗ справки.";;;#;"926391163619299328";https://twitter.com/stetskevich2013/status/926391163619299328
